"","x"
"26",0
"314",0
"8639",0
"1591",0
"1594",0
"10993",1
"6818",0
"89874",0
"55293",1
"3945",2
"92483",0
"160287",0
"3948",0
"3939",2
"134526",0
"51",1
"95",0
"50",2
"48",0
"8309",0
"52",2
"55",0
"788",2
"9194",0
"55902",0
"9123",0
"6566",1
"57835",0
"65985",1
"8671",1
"438",0
"1571",0
"4967",0
"100",2
"8050",2
"1738",2
"3177",1
"1743",2
"126",0
"205",0
"128",2
"204",2
"130",0
"127",0
"131",0
"124",0
"125",0
"26289",0
"137872",0
"1312",0
"50808",0
"262",2
"117247",0
"222",0
"113",2
"218",1
"108",0
"220",0
"221",0
"114",0
"111",0
"3242",0
"115",0
"18",0
"109",0
"55811",0
"196883",0
"2531",1
"107",0
"23498",0
"112",0
"55268",0
"51166",0
"2030",1
"883",0
"1644",1
"4129",0
"9154",0
"64078",0
"4128",0
"9153",1
"10165",1
"55315",1
"8604",1
"245972",0
"2572",0
"9114",2
"11164",1
"2571",0
"952",1
"51380",0
"1375",0
"533",2
"2805",2
"50617",0
"1374",0
"2806",2
"8659",0
"126129",0
"10312",2
"6817",0
"535",0
"127124",0
"523",2
"1376",1
"6799",0
"9060",0
"8992",2
"9061",2
"158",2
"9550",2
"4363",2
"529",2
"6822",0
"6573",0
"146712",1
"528",1
"316",0
"10678",2
"6571",0
"6570",0
"10331",0
"51382",2
"2348",0
"90423",0
"534",0
"374907",0
"2352",1
"51606",2
"11041",0
"93010",0
"9296",2
"79369",0
"4125",2
"954",0
"79814",1
"53947",1
"51146",1
"28",0
"953",0
"206358",1
"957",0
"56895",0
"6540",0
"137964",1
"129642",0
"956",0
"955",1
"6539",0
"56894",1
"10555",0
"55326",1
"10554",0
"6529",0
"6538",0
"10449",2
"38",2
"64850",0
"377841",-1
"3032",2
"292",2
"293",2
"64902",0
"3030",2
"189",0
"291",1
"39",2
"30",2
"32",1
"9197",1
"4126",0
"3073",0
"3074",2
"79611",0
"10606",0
"8706",0
"84532",2
"64841",2
"55577",2
"5238",0
"8705",0
"9487",1
"10317",0
"162417",0
"43",0
"6572",1
"84002",0
"47",2
"570",0
"3141",1
"54187",2
"140679",0
"26503",1
"54",1
"8424",0
"51205",0
"53630",0
"140838",1
"622",1
"36",1
"34",2
"84129",1
"23743",0
"80724",1
"635",0
"27034",1
"10599",0
"28976",0
"1244",1
"35",0
"3712",1
"1607",0
"8714",0
"28234",0
"644",2
"1468",1
"8402",1
"64849",0
"645",1
"9488",0
"1610",0
"10380",1
"686",1
"1645",0
"2745",2
"1109",0
"8884",2
"80704",0
"51022",2
"51733",0
"7108",1
"6718",0
"8528",0
"6510",1
"50814",1
"3295",2
"6307",2
"6509",2
"1632",0
"56301",0
"492",0
"10455",2
"490",0
"6520",1
"1633",2
"211",2
"493",2
"6319",0
"9415",1
"491",0
"23464",0
"3992",0
"212",0
"8694",1
"847",2
"84649",0
"1716",2
"6546",0
"6547",0
"54407",2
"6541",2
"6543",1
"6515",2
"59272",0
"84889",0
"6517",0
"81539",2
"340024",0
"6513",0
"55089",0
"1718",1
"2538",0
"1581",0
"57818",0
"92579",0
"1373",0
"873",0
"11254",0
"57393",0
"6542",0
"84706",0
"1717",0
"2875",0
"8560",2
"10423",2
"123099",0
"92745",0
"10991",1
"1040",0
"11309",1
"8760",2
"284273",0
"6783",0
"1723",1
"10327",2
"10390",1
"56994",0
"1807",0
"64781",2
"1809",0
"8854",0
"1808",2
"10087",2
"23539",1
"6565",0
"9023",0
"224",0
"501",0
"2224",2
"1103",1
"29958",0
"60386",0
"223",2
"216",0
"162466",1
"84920",0
"5130",0
"9468",0
"6579",0
"217",0
"219",1
"79087",0
"239",0
"6555",0
"6554",1
"26002",0
"1621",0
"8647",0
"247",0
"7299",0
"55349",0
"6530",1
"246",0
"6531",0
"6581",0
"240",0
"231",2
"8574",2
"23600",1
"1119",0
"1120",2
"5224",1
"60482",0
"6582",1
"115286",1
"5223",2
"6584",0
"669",2
"271",1
"6820",1
"4597",0
"51071",2
"10948",0
"19",0
"272",1
"1806",1
"270",0
"7083",0
"290",0
"1118",0
"7084",0
"54682",0
"27159",0
"3704",2
"279",1
"277",1
"1854",2
"10682",2
"9058",1
"276",1
"278",1
"1892",2
"549",2
"11136",0
"6519",0
"1962",0
"280",1
"6576",1
"1891",2
"1160",0
"11001",0
"1159",0
"548596",0
"1152",1
"1158",0
"5172",0
"65010",1
"10998",1
"113451",0
"53919",0
"9057",0
"384",2
"28231",1
"54675",1
"10257",0
"10559",2
"445",1
"28232",0
"55907",2
"2108",2
"8034",0
"2109",2
"83884",0
"10166",1
"8824",0
"410",0
"2110",1
"51805",0
"55500",2
"427",2
"55224",0
"51004",0
"10229",1
"9962",0
"2181",0
"9245",0
"2650",1
"51301",0
"2182",0
"9963",0
"2180",1
"192134",1
"386757",0
"80150",0
"51703",2
"81616",0
"23305",0
"440",2
"6535",1
"1384",1
"116285",0
"6583",0
"5167",0
"790",1
"5169",0
"54898",0
"6511",0
"1431",2
"6785",1
"6505",0
"54677",0
"60481",2
"6507",1
"79071",1
"1579",0
"6512",0
"2194",0
"6506",0
"376497",0
"10999",0
"525",0
"11000",0
"230",0
"226",2
"527",2
"8140",2
"229",0
"23545",1
"5207",0
"526",2
"23428",1
"5208",0
"1036",0
"245973",0
"5210",1
"8789",1
"5209",2
"124935",1
"2203",1
"2235",0
"23657",0
"57379",0
"2629",0
"10840",0
"26301",0
"79901",0
"978",0
"7371",2
"83549",0
"7915",1
"125061",0
"4329",0
"51727",2
"1719",2
"129607",0
"2356",1
"2731",0
"29988",1
"275",1
"2653",2
"1609",0
"155184",-1
"2651",0
"6514",0
"6518",0
"8525",1
"66035",0
