"","x"
"26",0
"314",0
"8639",0
"1591",0
"1594",0
"10993",0
"6818",1
"89874",0
"55293",0
"3945",3
"92483",0
"160287",0
"3948",0
"3939",3
"134526",0
"51",1
"95",0
"50",3
"48",0
"8309",0
"52",3
"55",0
"788",3
"9194",0
"55902",1
"9123",0
"6566",1
"57835",0
"65985",3
"8671",0
"438",0
"1571",0
"4967",1
"100",3
"8050",3
"1738",3
"3177",0
"1743",3
"126",0
"205",0
"128",1
"204",3
"130",0
"127",0
"131",0
"124",0
"125",0
"26289",1
"137872",1
"1312",1
"50808",1
"262",3
"117247",0
"222",0
"113",1
"218",0
"108",0
"220",0
"221",0
"114",0
"111",0
"3242",0
"115",0
"18",0
"109",0
"55811",0
"196883",0
"2531",1
"107",0
"23498",0
"112",1
"55268",3
"51166",0
"2030",1
"883",0
"1644",0
"4129",0
"9154",0
"64078",0
"4128",0
"9153",1
"10165",0
"55315",0
"8604",1
"245972",0
"2572",0
"9114",3
"11164",3
"2571",0
"952",3
"51380",3
"1375",3
"533",3
"2805",1
"50617",0
"1374",0
"2806",3
"8659",0
"126129",0
"10312",3
"6817",3
"535",0
"127124",0
"523",0
"1376",0
"6799",3
"9060",0
"8992",3
"9061",3
"158",3
"9550",3
"4363",0
"529",3
"6822",0
"6573",1
"146712",0
"528",0
"316",0
"10678",3
"6571",0
"6570",0
"10331",1
"51382",1
"2348",0
"90423",1
"534",0
"374907",0
"2352",0
"51606",3
"11041",0
"93010",0
"9296",3
"79369",0
"4125",3
"954",1
"79814",3
"53947",1
"51146",0
"28",0
"953",0
"206358",0
"957",0
"56895",0
"6540",0
"137964",0
"129642",0
"956",0
"955",1
"6539",0
"56894",0
"10555",1
"55326",1
"10554",1
"6529",0
"6538",0
"10449",1
"38",1
"64850",0
"377841",0
"3032",3
"292",3
"293",3
"64902",0
"3030",3
"189",0
"291",1
"39",3
"30",3
"32",0
"9197",0
"4126",1
"3073",1
"3074",3
"79611",0
"10606",1
"8706",0
"84532",1
"64841",0
"55577",3
"5238",1
"8705",0
"9487",0
"10317",0
"162417",0
"43",0
"6572",0
"84002",1
"47",3
"570",0
"3141",1
"54187",3
"140679",0
"26503",1
"54",1
"8424",0
"51205",0
"53630",0
"140838",1
"622",1
"36",1
"34",3
"84129",1
"23743",0
"80724",0
"635",0
"27034",3
"10599",0
"28976",1
"1244",0
"35",0
"3712",0
"1607",0
"8714",0
"28234",0
"644",3
"1468",0
"8402",3
"64849",0
"645",1
"9488",1
"1610",0
"10380",0
"686",0
"1645",0
"2745",3
"1109",0
"8884",3
"80704",0
"51022",3
"51733",0
"7108",0
"6718",0
"8528",0
"6510",1
"50814",1
"3295",1
"6307",3
"6509",0
"1632",1
"56301",1
"492",0
"10455",0
"490",3
"6520",3
"1633",3
"211",3
"493",1
"6319",0
"9415",0
"491",0
"23464",0
"3992",0
"212",0
"8694",0
"847",3
"84649",1
"1716",3
"6546",0
"6547",0
"54407",3
"6541",1
"6543",0
"6515",3
"59272",0
"84889",0
"6517",0
"81539",3
"340024",1
"6513",1
"55089",0
"1718",1
"2538",0
"1581",0
"57818",0
"92579",1
"1373",0
"873",1
"11254",0
"57393",0
"6542",0
"84706",1
"1717",1
"2875",1
"8560",3
"10423",3
"123099",0
"92745",1
"10991",0
"1040",0
"11309",0
"8760",1
"284273",0
"6783",0
"1723",1
"10327",3
"10390",0
"56994",0
"1807",0
"64781",3
"1809",0
"8854",0
"1808",3
"10087",3
"23539",0
"6565",0
"9023",3
"224",1
"501",0
"2224",3
"1103",0
"29958",0
"60386",1
"223",3
"216",0
"162466",0
"84920",1
"5130",0
"9468",0
"6579",0
"217",0
"219",1
"79087",1
"239",0
"6555",0
"6554",0
"26002",0
"1621",1
"8647",0
"247",0
"7299",0
"55349",0
"6530",0
"246",0
"6531",0
"6581",0
"240",0
"231",3
"8574",3
"23600",1
"1119",1
"1120",3
"5224",0
"60482",0
"6582",0
"115286",3
"5223",3
"6584",0
"669",1
"271",3
"6820",0
"4597",0
"51071",3
"10948",3
"19",0
"272",0
"1806",0
"270",0
"7083",1
"290",0
"1118",0
"7084",1
"54682",0
"27159",0
"3704",3
"279",0
"277",0
"1854",3
"10682",3
"9058",0
"276",0
"278",0
"1892",3
"549",1
"11136",0
"6519",0
"1962",0
"280",1
"6576",3
"1891",3
"1160",0
"11001",0
"1159",0
"548596",0
"1152",0
"1158",0
"5172",0
"65010",1
"10998",0
"113451",0
"53919",0
"9057",1
"384",1
"28231",1
"54675",0
"10257",0
"10559",3
"445",0
"28232",0
"55907",1
"2108",3
"8034",1
"2109",3
"83884",0
"10166",0
"8824",1
"410",1
"2110",1
"51805",1
"55500",1
"427",3
"55224",1
"51004",0
"10229",1
"9962",1
"2181",0
"9245",0
"2650",1
"51301",0
"2182",1
"9963",0
"2180",1
"192134",0
"386757",0
"80150",1
"51703",3
"81616",0
"23305",1
"440",1
"6535",0
"1384",0
"116285",0
"6583",0
"5167",0
"790",0
"5169",0
"54898",0
"6511",0
"1431",3
"6785",0
"6505",0
"54677",1
"60481",3
"6507",0
"79071",0
"1579",0
"6512",0
"2194",0
"6506",0
"376497",0
"10999",0
"525",0
"11000",0
"230",1
"226",3
"527",3
"8140",3
"229",0
"23545",1
"5207",1
"526",3
"23428",0
"5208",0
"1036",0
"245973",1
"5210",1
"8789",0
"5209",3
"124935",1
"2203",0
"2235",1
"23657",0
"57379",0
"2629",1
"10840",0
"26301",0
"79901",0
"978",0
"7371",1
"83549",1
"7915",0
"125061",1
"4329",0
"51727",1
"1719",1
"129607",0
"2356",3
"2731",0
"29988",0
"275",0
"2653",0
"1609",0
"155184",0
"2651",1
"6514",0
"6518",0
"8525",1
"66035",0
