"","GSM1621305","GSM1621306","GSM1621307","GSM1621308","GSM1621309","GSM1621310","GSM1621311"
"ENSG00000000003",0,0,0,0,0,0,0
"ENSG00000000005",0,0,0,0,0,0,0
"ENSG00000000419",1,1,1,1,1,1,1
"ENSG00000000457",0,1,1,1,0,0,0
"ENSG00000000460",1,0,1,0,0,0,0
"ENSG00000000938",1,0,1,0,0,1,0
"ENSG00000000971",0,0,0,0,0,0,0
"ENSG00000001036",0,1,1,1,1,0,1
"ENSG00000001084",0,0,0,1,1,1,1
"ENSG00000001167",0,0,0,1,0,0,1
"ENSG00000001460",0,0,0,1,1,1,1
"ENSG00000001461",0,0,1,0,1,1,1
"ENSG00000001497",1,1,0,1,1,0,0
"ENSG00000001561",1,1,1,0,0,0,0
"ENSG00000001617",0,1,0,0,1,0,1
"ENSG00000001626",0,0,0,0,0,0,0
"ENSG00000001629",1,1,1,1,1,1,1
"ENSG00000001630",0,1,0,1,1,1,1
"ENSG00000001631",1,0,1,0,0,0,0
"ENSG00000002016",0,1,1,0,0,0,0
"ENSG00000002330",1,0,1,1,1,0,1
"ENSG00000002549",1,1,1,1,1,1,1
"ENSG00000002586",1,1,1,1,1,1,1
"ENSG00000002587",0,0,0,0,0,0,0
"ENSG00000002726",0,0,0,0,0,0,0
"ENSG00000002745",0,1,0,0,0,0,0
"ENSG00000002746",0,0,0,0,0,0,1
"ENSG00000002822",1,1,1,1,1,1,1
"ENSG00000002834",1,1,1,1,1,1,1
"ENSG00000002919",1,1,1,1,1,1,1
"ENSG00000002933",0,1,0,1,0,1,1
"ENSG00000003056",1,1,1,1,1,1,1
"ENSG00000003096",0,0,0,0,0,0,0
"ENSG00000003137",0,1,0,0,1,1,0
"ENSG00000003147",1,1,1,1,1,1,1
"ENSG00000003249",1,0,0,1,0,1,0
"ENSG00000003393",1,1,0,0,1,0,0
"ENSG00000003400",0,0,0,1,1,0,1
"ENSG00000003402",1,1,1,1,1,1,1
"ENSG00000003436",0,0,0,0,0,0,0
"ENSG00000003509",0,1,0,0,0,1,1
"ENSG00000003756",1,1,0,1,1,1,1
"ENSG00000003987",0,0,0,0,0,0,0
"ENSG00000003989",0,0,0,0,0,0,0
"ENSG00000004059",1,1,1,1,1,1,1
"ENSG00000004139",1,0,1,1,0,1,0
"ENSG00000004142",1,1,1,1,1,1,1
"ENSG00000004399",1,1,1,1,1,1,1
"ENSG00000004455",1,0,1,1,1,0,0
"ENSG00000004468",1,1,1,1,1,1,1
"ENSG00000004478",1,0,0,1,0,1,0
"ENSG00000004487",1,1,1,1,1,0,0
"ENSG00000004534",0,1,0,0,1,1,1
"ENSG00000004660",0,1,0,1,1,0,0
"ENSG00000004700",1,1,1,1,1,1,1
"ENSG00000004766",1,0,0,1,1,1,1
"ENSG00000004776",0,0,0,0,0,0,0
"ENSG00000004777",0,0,0,1,1,1,1
"ENSG00000004779",1,1,1,1,1,1,1
"ENSG00000004799",0,0,0,0,0,0,0
"ENSG00000004809",0,0,0,0,0,0,0
"ENSG00000004838",0,1,0,1,0,0,1
"ENSG00000004846",0,0,0,0,0,0,0
"ENSG00000004848",0,0,0,0,0,0,0
"ENSG00000004864",1,0,0,0,1,1,0
"ENSG00000004866",0,0,1,0,1,0,1
"ENSG00000004897",0,0,1,0,0,1,1
"ENSG00000004939",0,0,0,0,0,0,0
"ENSG00000004948",0,0,0,0,0,0,0
"ENSG00000004961",0,1,1,1,0,0,0
"ENSG00000004975",1,1,1,1,1,0,0
"ENSG00000005001",1,0,1,1,0,1,1
"ENSG00000005007",1,1,1,1,1,1,1
"ENSG00000005020",0,0,1,0,0,0,1
"ENSG00000005022",1,1,1,1,1,1,1
"ENSG00000005059",1,1,1,1,1,1,1
"ENSG00000005073",1,1,0,0,0,0,0
"ENSG00000005075",1,1,1,1,1,1,1
"ENSG00000005100",1,0,1,1,0,0,0
"ENSG00000005102",0,0,1,0,1,1,1
"ENSG00000005108",0,0,0,0,0,0,0
"ENSG00000005156",0,0,1,0,1,0,1
"ENSG00000005175",0,1,1,0,0,1,1
"ENSG00000005187",0,0,0,0,0,0,0
"ENSG00000005189",1,0,1,1,0,0,0
"ENSG00000005194",0,1,0,1,1,0,0
"ENSG00000005206",0,0,0,0,0,1,1
"ENSG00000005238",1,0,1,1,0,0,1
"ENSG00000005243",1,0,0,0,1,0,0
"ENSG00000005249",0,1,0,1,0,0,0
"ENSG00000005302",1,1,1,1,1,1,1
"ENSG00000005339",1,1,1,1,1,1,1
"ENSG00000005379",1,1,1,1,1,1,1
"ENSG00000005381",0,0,0,0,0,0,0
"ENSG00000005421",0,0,0,0,0,0,0
"ENSG00000005436",1,1,1,0,1,0,0
"ENSG00000005448",1,1,1,1,1,1,1
"ENSG00000005469",1,1,0,1,0,0,0
"ENSG00000005471",0,0,0,0,0,0,0
"ENSG00000005483",1,1,1,1,1,1,1
"ENSG00000005486",1,1,1,1,1,1,1
"ENSG00000005513",1,0,0,1,0,1,1
"ENSG00000005700",1,1,1,1,1,1,1
"ENSG00000005801",0,0,0,0,0,1,1
"ENSG00000005810",1,1,1,1,1,1,1
"ENSG00000005812",1,1,1,1,1,1,1
"ENSG00000005844",1,1,1,1,1,1,1
"ENSG00000005882",0,1,1,1,1,0,1
"ENSG00000005884",NA,NA,NA,NA,NA,NA,NA
"ENSG00000005889",0,0,1,1,0,0,1
"ENSG00000005893",1,1,1,1,0,0,1
"ENSG00000005961",1,1,0,1,1,0,0
"ENSG00000005981",0,0,0,0,0,0,0
"ENSG00000006007",0,1,0,1,1,1,1
"ENSG00000006015",1,1,1,1,1,1,1
"ENSG00000006016",1,0,0,1,1,1,0
"ENSG00000006025",0,1,0,0,0,0,1
"ENSG00000006042",0,0,0,0,0,0,0
"ENSG00000006047",0,0,0,0,0,1,1
"ENSG00000006059",0,0,0,0,1,1,1
"ENSG00000006062",1,1,1,1,1,1,1
"ENSG00000006071",1,0,0,1,1,1,1
"ENSG00000006116",0,1,0,0,1,0,0
"ENSG00000006118",0,1,0,0,1,1,1
"ENSG00000006125",1,1,1,1,1,1,1
"ENSG00000006128",0,0,0,0,0,0,0
"ENSG00000006194",0,0,1,0,0,0,0
"ENSG00000006210",0,1,0,1,0,0,1
"ENSG00000006282",1,1,0,1,1,0,1
"ENSG00000006283",0,1,0,0,1,0,1
"ENSG00000006327",0,1,0,0,1,0,1
"ENSG00000006377",0,0,0,0,0,0,0
"ENSG00000006432",1,1,0,0,0,0,0
"ENSG00000006451",1,1,1,1,1,1,1
"ENSG00000006453",0,1,0,0,0,0,1
"ENSG00000006459",1,1,1,1,1,1,1
"ENSG00000006468",0,0,0,0,0,0,0
"ENSG00000006530",1,1,1,0,0,0,1
"ENSG00000006534",0,1,0,1,1,1,0
"ENSG00000006555",0,1,1,1,1,0,0
"ENSG00000006576",0,1,0,0,0,1,1
"ENSG00000006606",0,0,0,0,0,0,0
"ENSG00000006607",0,0,0,0,1,1,1
"ENSG00000006611",0,1,0,0,0,1,1
"ENSG00000006625",1,1,1,1,1,1,1
"ENSG00000006634",1,1,1,1,1,1,1
"ENSG00000006638",0,0,0,1,1,1,1
"ENSG00000006652",1,1,1,1,1,1,1
"ENSG00000006659",1,1,1,0,0,0,0
"ENSG00000006695",1,1,1,0,1,0,0
"ENSG00000006704",1,1,1,0,1,0,0
"ENSG00000006712",1,1,1,1,1,1,1
"ENSG00000006715",1,1,0,0,1,0,0
"ENSG00000006740",1,0,1,1,0,0,0
"ENSG00000006744",1,1,1,1,1,1,1
"ENSG00000006747",0,0,0,0,0,0,0
"ENSG00000006756",1,1,0,0,0,0,1
"ENSG00000006757",1,1,1,1,0,0,0
"ENSG00000006788",1,1,1,1,0,0,0
"ENSG00000006831",1,1,1,1,1,1,1
"ENSG00000006837",0,0,1,1,0,0,0
"ENSG00000007001",0,0,0,0,0,0,0
"ENSG00000007038",1,0,0,1,1,0,1
"ENSG00000007047",1,1,1,1,1,1,1
"ENSG00000007062",0,0,0,0,0,0,0
"ENSG00000007080",0,1,0,1,1,0,1
"ENSG00000007129",1,0,1,0,0,0,1
"ENSG00000007168",1,1,1,1,1,1,1
"ENSG00000007171",0,0,1,1,1,1,1
"ENSG00000007174",1,0,0,0,1,0,1
"ENSG00000007202",0,0,0,0,0,1,1
"ENSG00000007216",0,0,0,0,0,0,0
"ENSG00000007237",1,1,0,1,0,1,0
"ENSG00000007255",1,1,1,1,1,1,1
"ENSG00000007264",0,1,0,1,0,1,0
"ENSG00000007306",0,0,0,0,0,0,0
"ENSG00000007312",1,1,0,1,1,0,0
