"","ImmProt_Th1_01","ImmProt_Th1_02","ImmProt_Th1_03","ImmProt_Th1_04"
"26",0,1,1,0
"314",NA,NA,NA,NA
"8639",NA,NA,NA,NA
"1591",NA,NA,NA,NA
"1594",1,1,1,1
"10993",1,1,1,1
"6818",1,0,0,0
"89874",NA,NA,NA,NA
"55293",0,1,1,1
"3945",1,1,1,1
"92483",NA,NA,NA,NA
"160287",NA,NA,NA,NA
"3948",NA,NA,NA,NA
"3939",1,1,1,1
"134526",NA,NA,NA,NA
"51",1,1,0,0
"95",0,0,1,1
"50",1,1,1,1
"48",0,1,1,0
"8309",NA,NA,NA,NA
"52",1,1,1,1
"55",0,0,1,1
"788",1,1,1,1
"9194",1,0,1,0
"55902",0,0,1,1
"9123",0,1,1,1
"6566",0,1,1,0
"57835",NA,NA,NA,NA
"65985",0,1,1,0
"8671",1,1,1,1
"438",NA,NA,NA,NA
"1571",NA,NA,NA,NA
"4967",1,1,1,1
"100",1,1,1,1
"8050",0,0,1,1
"1738",1,1,1,1
"3177",NA,NA,NA,NA
"1743",1,1,1,1
"126",NA,NA,NA,NA
"205",0,0,1,1
"128",1,1,1,1
"204",1,1,1,1
"130",NA,NA,NA,NA
"127",1,0,0,0
"131",NA,NA,NA,NA
"124",NA,NA,NA,NA
"125",NA,NA,NA,NA
"26289",0,0,1,0
"137872",NA,NA,NA,NA
"1312",1,1,1,1
"50808",1,1,1,1
"262",1,1,1,1
"117247",0,0,1,0
"222",NA,NA,NA,NA
"113",0,1,0,0
"218",NA,NA,NA,NA
"108",NA,NA,NA,NA
"220",NA,NA,NA,NA
"221",0,0,1,0
"114",NA,NA,NA,NA
"111",NA,NA,NA,NA
"3242",NA,NA,NA,NA
"115",NA,NA,NA,NA
"18",0,1,0,0
"109",NA,NA,NA,NA
"55811",NA,NA,NA,NA
"196883",NA,NA,NA,NA
"2531",1,1,0,0
"107",NA,NA,NA,NA
"23498",0,0,0,1
"112",1,0,0,0
"55268",0,1,0,1
"51166",NA,NA,NA,NA
"2030",0,0,1,1
"883",0,0,1,1
"1644",NA,NA,NA,NA
"4129",0,1,0,0
"9154",NA,NA,NA,NA
"64078",1,1,1,1
"4128",0,1,1,0
"9153",NA,NA,NA,NA
"10165",0,1,0,0
"55315",1,0,0,0
"8604",1,1,1,1
"245972",0,1,0,0
"2572",NA,NA,NA,NA
"9114",0,1,1,1
"11164",1,1,1,1
"2571",NA,NA,NA,NA
"952",0,1,1,0
"51380",NA,NA,NA,NA
"1375",NA,NA,NA,NA
"533",NA,NA,NA,NA
"2805",1,1,1,1
"50617",NA,NA,NA,NA
"1374",1,1,1,1
"2806",1,1,1,1
"8659",0,1,0,0
"126129",NA,NA,NA,NA
"10312",0,1,1,0
"6817",1,0,0,0
