"","GSM565276","GSM565277","GSM565278","GSM565279","GSM565280","GSM814482","GSM814483","GSM814484","GSM814485","GSM1070753","GSM1070754","GSM1070757","GSM1070758","GSM1070761","GSM1070762","GSM1215107","GSM1215109","GSM1215111","GSM1215113","GSM2080663","GSM2080664"
"26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"314",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
"8639",1,1,1,0,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,1
"1591",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1594",1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1
"10993",0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0
"6818",1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1
"89874",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55293",0,1,1,1,0,1,0,0,1,0,0,1,1,1,0,1,1,1,0,1,0
"3945",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"92483",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"160287",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3948",0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0
"3939",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"134526",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51",1,1,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,1,0,1
"95",0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0,1
"50",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"48",0,1,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,1
"8309",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"55",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"788",1,0,0,1,1,1,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1
"9194",1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,0,0,1,1,0
"55902",0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0
"9123",0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,1,1,0,0,1
"6566",1,1,1,1,0,1,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1
"57835",1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,0,1,1,0
"65985",0,0,1,0,1,0,1,1,0,1,0,1,1,1,0,1,0,1,0,1,0
"8671",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"438",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1571",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"4967",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"100",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"8050",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1738",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3177",1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,0
"1743",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"126",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"205",1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0
"128",0,1,1,1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,0,1,0
"204",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"130",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"127",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"131",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"124",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"125",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26289",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"137872",1,1,1,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,1,0
"1312",1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,1,0,1
"50808",1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1
"262",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"117247",0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,1,0,1,1,0
"222",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"113",1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0
"218",0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0
"108",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"220",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"221",0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1
"114",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"111",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"3242",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"115",1,1,1,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,1,0,1
"18",1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0
"109",1,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,1,0,1
"55811",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"196883",0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0
"2531",1,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1
"107",1,0,1,1,0,1,0,0,1,0,1,1,1,0,1,1,0,0,1,0,1
"23498",1,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,1,1,0
"112",1,0,0,0,1,1,0,0,1,0,1,0,1,1,1,0,1,0,1,0,1
"55268",1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0
"51166",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2030",1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1
"883",0,0,1,1,1,1,0,0,1,1,0,1,1,1,0,0,1,1,0,1,0
"1644",0,1,1,1,0,0,1,1,1,0,1,0,0,0,1,1,0,1,1,0,1
"4129",1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0
"9154",0,0,0,1,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0
