"","original","FastCore","GIMME","IMAT","CORDA","tINIT"
"HMR_3905",3,"Present","2","2","High","20"
"HMR_3907",3,"Present","2","2","High","20"
"HMR_4097",0,"-","0","0","Negative","-8"
"HMR_4099",1,"Present","1","1","Medium","10"
"HMR_4108",0,"-","0","0","Negative","-8"
"HMR_4133",0,"-","0","0","Negative","-8"
"HMR_4137",0,"-","0","0","Negative","-8"
"HMR_4281",3,"Present","2","2","High","20"
"HMR_4388",3,"Present","2","2","High","20"
"HMR_4283",0,"-","0","0","Negative","-8"
"HMR_8357",3,"Present","2","2","High","20"
"HMR_4379",3,"Present","2","2","High","20"
"HMR_4301",3,"Present","2","2","High","20"
"HMR_4355",2,"Present","2","2","High","15"
"HMR_4358",3,"Present","2","2","High","20"
"HMR_4360",0,"-","0","0","Negative","-8"
"HMR_4363",3,"Present","2","2","High","20"
"HMR_4365",3,"Present","2","2","High","20"
"HMR_4368",3,"Present","2","2","High","20"
"HMR_4370",1,"Present","1","1","Medium","10"
"HMR_4371",3,"Present","2","2","High","20"
"HMR_4372",0,"-","0","0","Negative","-8"
"HMR_4373",3,"Present","2","2","High","20"
"HMR_4375",2,"Present","2","2","High","15"
"HMR_4377",0,"-","0","0","Negative","-8"
"HMR_4381",3,"Present","2","2","High","20"
"HMR_4391",3,"Present","2","2","High","20"
"HMR_4394",3,"Present","2","2","High","20"
"HMR_4396",3,"Present","2","2","High","20"
"HMR_4521",0,"-","0","0","Negative","-8"
"HMR_6410",3,"Present","2","2","High","20"
"HMR_6412",1,"Present","1","1","Medium","10"
"HMR_7745",1,"Present","1","1","Medium","10"
"HMR_7746",3,"Present","2","2","High","20"
"HMR_7747",1,"Present","1","1","Medium","10"
"HMR_7748",3,"Present","2","2","High","20"
"HMR_7749",3,"Present","2","2","High","20"
"HMR_8360",3,"Present","2","2","High","20"
"HMR_8652",0,"-","0","0","Negative","-8"
"HMR_8757",0,"-","0","0","Negative","-8"
"HMR_3989",0,"-","0","0","Negative","-8"
"HMR_4122",0,"-","0","0","Negative","-8"
"HMR_4837",1,"Present","1","1","Medium","10"
"HMR_5395",2,"Present","2","2","High","15"
"HMR_5396",2,"Present","2","2","High","15"
"HMR_9727",0,"-","0","0","Negative","-8"
"HMR_5397",0,"-","0","0","Negative","-8"
"HMR_5398",2,"Present","2","2","High","15"
"HMR_5399",0,"-","0","0","Negative","-8"
"HMR_5400",0,"-","0","0","Negative","-8"
"HMR_5401",2,"Present","2","2","High","15"
"HMR_8568",1,"Present","1","1","Medium","10"
"HMR_8569",1,"Present","1","1","Medium","10"
"HMR_8570",1,"Present","1","1","Medium","10"
"HMR_8571",1,"Present","1","1","Medium","10"
"HMR_8572",1,"Present","1","1","Medium","10"
"HMR_8573",1,"Present","1","1","Medium","10"
"HMR_8574",1,"Present","1","1","Medium","10"
"HMR_8575",1,"Present","1","1","Medium","10"
"HMR_8576",1,"Present","1","1","Medium","10"
"HMR_8577",1,"Present","1","1","Medium","10"
"HMR_8578",1,"Present","1","1","Medium","10"
"HMR_8579",1,"Present","1","1","Medium","10"
"HMR_8581",1,"Present","1","1","Medium","10"
"HMR_8591",0,"-","0","0","Negative","-8"
"HMR_8592",0,"-","0","0","Negative","-8"
"HMR_8580",1,"Present","1","1","Medium","10"
"HMR_8582",1,"Present","1","1","Medium","10"
"HMR_8587",0,"-","0","0","Negative","-8"
"HMR_8589",0,"-","0","0","Negative","-8"
"HMR_8583",0,"-","0","0","Negative","-8"
"HMR_8584",0,"-","0","0","Negative","-8"
"HMR_8585",1,"Present","1","1","Medium","10"
"HMR_3944",3,"Present","2","2","High","20"
"HMR_4128",0,"-","0","0","Negative","-8"
"HMR_4130",0,"-","0","0","Negative","-8"
"HMR_4131",1,"Present","1","1","Medium","10"
"HMR_4132",1,"Present","1","1","Medium","10"
"HMR_4303",0,"-","0","0","Negative","-8"
"HMR_4414",0,"-","0","0","Negative","-8"
"HMR_4415",0,"-","0","0","Negative","-8"
"HMR_4416",1,"Present","1","1","Medium","10"
"HMR_4774",3,"Present","2","2","High","20"
"HMR_4775",3,"Present","2","2","High","20"
"HMR_4831",NA,"-","-1","-1","-","-2"
"HMR_4832",0,"-","0","0","Negative","-8"
"HMR_7674",1,"Present","1","1","Medium","10"
"HMR_8761",1,"Present","1","1","Medium","10"
"HMR_8762",2,"Present","2","2","High","15"
"HMR_8764",0,"-","0","0","Negative","-8"
"HMR_8766",3,"Present","2","2","High","20"
"HMR_8767",1,"Present","1","1","Medium","10"
