"","GSM2579315","GSM2579319","GSM2579323","GSM2579327","GSM2579331","GSM2579335","GSM3045784","GSM1414742","GSM1414743","GSM1414744","GSM1414745"
"26",1,1,1,1,1,1,1,1,0,1,0
"314",1,0,0,0,1,0,0,0,1,1,1
"8639",0,0,0,1,0,0,1,0,1,1,1
"1591",0,0,1,0,0,0,0,0,0,0,0
"1594",1,0,0,0,0,0,1,0,1,1,1
"10993",1,0,0,0,0,1,1,0,1,1,0
"6818",0,0,0,0,0,0,0,1,1,0,0
"89874",0,0,0,0,0,0,0,0,0,0,0
"55293",0,0,0,1,1,0,0,0,0,1,1
"3945",1,1,1,1,1,1,1,1,1,1,1
"92483",0,0,0,0,0,0,0,0,0,1,0
"160287",1,0,1,0,1,0,1,0,0,1,1
"3948",0,0,0,1,0,0,0,0,0,1,0
"3939",1,1,1,1,1,1,1,1,1,1,1
"134526",1,1,0,0,0,0,1,1,1,1,0
"51",1,1,0,1,0,1,1,0,1,1,0
"95",0,1,0,0,1,0,1,1,0,1,0
"50",1,1,1,1,1,1,1,1,1,1,1
"48",0,1,0,1,1,1,1,0,1,0,1
"8309",0,0,0,0,0,0,0,0,0,0,0
"52",1,1,1,1,1,1,1,1,1,1,1
"55",0,0,0,1,0,0,0,0,0,1,0
"788",1,1,1,1,1,1,1,1,1,1,1
"9194",1,1,0,1,0,1,1,0,1,0,1
"55902",0,0,1,1,1,1,1,1,1,0,0
"9123",1,0,1,0,0,0,1,1,1,0,0
"6566",0,0,1,0,1,1,1,0,1,1,1
"57835",0,0,0,1,1,1,0,0,0,1,1
"65985",0,0,0,1,0,1,0,1,0,1,0
"8671",0,0,0,0,0,0,0,0,0,0,0
"438",1,1,1,1,1,1,1,0,0,1,1
"1571",1,0,0,0,1,1,1,1,1,0,0
"4967",1,1,1,1,1,1,1,1,1,1,1
"100",1,1,1,1,1,1,1,1,1,1,1
"8050",0,1,1,0,0,0,1,0,1,1,1
"1738",1,1,1,1,1,1,1,1,1,1,1
"3177",1,0,1,1,1,0,1,1,1,0,0
"1743",1,1,0,0,0,0,1,1,1,1,0
"126",0,0,0,0,0,0,0,0,0,0,0
"205",0,1,0,0,0,0,0,0,0,1,1
"128",1,1,1,1,1,1,1,1,1,1,1
"204",1,1,1,1,1,1,1,1,1,1,1
"130",0,0,0,0,0,1,1,0,0,1,1
"127",0,0,0,0,0,0,0,0,0,0,0
"131",0,0,0,0,0,0,0,0,0,0,0
"124",0,0,0,0,0,0,0,0,0,0,1
"125",0,0,0,0,0,0,0,0,0,0,0
"26289",1,0,0,1,0,0,1,1,1,0,0
"137872",0,0,0,1,0,1,0,0,0,1,1
"1312",1,1,1,1,1,1,1,1,1,1,1
"50808",1,1,1,1,0,1,1,1,1,1,1
"262",1,1,1,1,1,1,1,1,1,1,1
"117247",0,0,0,1,1,1,0,0,1,1,1
"222",0,0,0,0,0,0,0,0,0,0,0
"113",1,0,0,1,0,1,1,0,1,0,0
"218",0,0,0,0,0,0,0,1,0,1,0
"108",0,0,0,0,0,0,0,0,0,0,0
"220",0,0,0,0,0,0,0,0,0,0,1
"221",1,1,1,1,0,0,1,0,0,1,1
"114",0,0,0,0,0,0,0,0,0,0,0
"111",1,0,0,0,0,0,1,0,0,0,1
"3242",1,1,1,0,0,0,1,1,1,0,0
"115",0,1,0,0,1,1,1,1,1,0,1
"18",0,0,0,1,1,1,1,1,0,1,0
"109",1,0,1,0,0,1,1,1,1,0,0
"55811",1,0,1,0,1,0,0,0,1,0,1
"196883",0,1,0,0,1,0,1,1,1,0,0
"2531",1,1,0,0,0,1,1,0,1,1,1
"107",0,0,0,0,0,0,0,0,0,0,0
"23498",0,0,1,0,1,0,1,0,0,1,1
"112",0,0,0,0,0,0,0,0,0,1,1
"55268",1,0,0,1,1,1,1,0,0,1,1
"51166",0,0,0,0,0,0,0,0,0,0,0
"2030",1,0,0,0,0,0,0,1,0,1,1
"883",0,1,1,0,0,1,1,0,0,1,0
"1644",0,0,0,1,1,1,1,0,1,1,0
"4129",1,1,1,1,1,1,0,0,0,1,0
"9154",0,0,0,0,0,0,0,0,0,0,0
"64078",0,0,0,0,0,0,0,1,0,0,0
"4128",0,0,0,0,0,0,0,1,0,1,0
"9153",1,0,1,0,0,0,0,0,1,0,0
"10165",0,1,1,0,1,0,1,0,0,1,1
"55315",1,0,1,1,1,0,0,1,1,0,0
"8604",1,0,0,1,0,1,1,0,1,1,1
"245972",0,0,0,0,0,0,0,0,0,0,1
"2572",1,1,1,1,1,1,0,0,1,1,0
"9114",1,1,1,1,1,1,1,1,1,0,0
"11164",1,1,1,1,1,1,1,1,1,1,1
"2571",0,0,0,0,0,0,0,0,0,0,0
"952",1,1,1,1,1,1,1,1,1,1,1
"51380",1,0,0,1,1,1,0,0,0,1,1
"1375",1,0,1,1,0,0,1,0,1,1,0
"533",1,1,1,1,1,1,1,1,1,1,1
"2805",1,1,1,1,1,1,1,1,1,1,1
"50617",0,1,0,0,0,0,0,1,0,1,0
"1374",1,1,0,1,0,0,1,0,1,0,1
"2806",1,1,1,1,1,1,1,1,1,1,1
"8659",1,0,1,0,0,0,1,1,0,0,0
"126129",1,0,0,0,1,0,1,0,0,1,0
"10312",1,1,1,1,1,1,1,1,1,1,1
"6817",1,1,0,1,0,0,1,1,0,0,0
"535",1,0,0,1,0,1,0,0,1,1,0
"127124",1,0,1,0,1,1,1,1,0,0,0
"523",1,0,0,1,0,1,0,0,0,1,1
"1376",0,1,0,0,1,0,1,1,0,0,0
"6799",0,1,0,1,1,0,0,1,0,1,0
"9060",1,1,0,1,0,1,1,0,0,1,1
"8992",1,1,1,1,1,1,1,1,1,1,1
"9061",1,1,1,1,1,0,1,0,1,1,1
"158",0,0,0,0,1,1,0,0,0,1,1
"9550",1,1,1,1,1,1,1,1,1,1,1
"4363",0,1,1,0,0,1,0,1,1,0,0
"529",1,1,1,1,1,1,1,1,1,1,1
"6822",0,0,0,0,0,0,0,0,0,0,0
"6573",1,1,0,0,0,1,1,1,1,1,0
"146712",1,0,0,1,1,1,1,0,0,1,1
"528",1,0,0,1,0,1,0,0,0,1,1
"316",0,0,0,0,0,0,0,0,0,0,0
"10678",1,1,1,1,1,1,1,1,1,1,1
"6571",1,0,0,0,1,0,0,0,0,1,0
"6570",0,0,1,0,0,0,0,0,0,0,0
"10331",1,0,0,0,1,1,0,1,1,0,0
"51382",1,1,1,1,1,1,1,1,1,1,1
"2348",0,0,0,0,0,0,0,0,0,0,0
"90423",1,0,0,1,0,1,0,0,1,1,0
"534",1,0,1,0,1,0,1,0,1,1,1
"374907",0,0,1,0,0,1,0,1,1,1,0
"2352",0,0,0,1,0,0,0,0,0,0,0
"51606",1,1,1,1,1,1,1,1,1,1,1
"11041",0,1,0,1,1,0,1,1,1,0,0
"93010",1,1,0,0,0,0,0,1,0,0,0
"9296",1,1,1,1,1,1,1,1,1,1,1
"79369",1,1,0,0,0,0,1,1,1,0,1
"4125",1,1,1,1,0,1,1,1,1,1,1
"954",1,1,1,1,1,1,1,0,0,0,1
"79814",1,1,1,1,1,1,1,1,1,1,1
"53947",0,0,0,0,0,0,0,1,0,0,1
"51146",0,0,0,0,0,0,0,0,0,0,1
"28",1,0,1,0,1,0,1,0,0,0,1
"953",1,1,0,0,1,1,1,0,0,1,1
"206358",1,0,0,1,0,1,0,0,0,1,1
"957",1,0,1,1,0,0,0,0,1,1,1
"56895",0,1,0,0,1,1,0,0,0,1,1
"6540",0,0,0,0,1,0,1,0,0,0,1
"137964",0,1,0,1,1,1,1,1,1,0,0
"129642",1,0,0,0,1,1,1,0,0,1,1
"956",0,1,0,0,0,0,0,1,0,0,0
"955",1,0,1,1,1,1,1,1,1,0,0
"6539",0,0,0,0,0,1,0,0,0,0,0
"56894",0,0,0,1,1,1,0,1,1,0,0
"10555",1,1,0,0,1,0,1,1,0,0,0
"55326",1,0,0,1,1,0,0,0,1,1,1
"10554",1,0,1,0,0,1,1,1,1,0,0
"6529",0,0,0,0,0,0,0,0,0,0,0
"6538",1,1,1,1,1,1,1,1,1,1,1
"10449",1,1,0,0,0,0,0,0,1,0,0
"38",0,1,1,0,0,1,0,0,1,0,1
"64850",1,0,0,0,0,0,0,0,0,0,0
"377841",0,0,1,0,0,0,0,0,1,0,0
"3032",1,1,1,1,1,1,1,1,1,1,1
"292",1,1,1,1,1,1,1,1,1,1,1
"293",1,1,1,1,1,1,1,1,1,1,1
"64902",0,0,0,0,0,0,0,0,0,0,0
"3030",1,1,1,1,1,1,1,1,1,1,1
"189",0,0,0,0,0,0,0,0,0,0,0
"291",0,1,0,1,0,1,0,1,1,0,0
"39",1,1,1,1,1,1,1,1,1,1,1
"30",1,1,1,1,1,1,1,1,1,1,1
"32",1,1,0,0,1,0,1,1,1,0,0
"9197",0,0,1,0,1,1,0,0,0,1,1
"4126",0,0,0,0,1,1,1,0,1,1,1
"3073",0,0,1,1,1,0,0,1,0,1,0
"3074",1,1,1,1,1,1,1,1,1,1,1
"79611",0,0,0,0,0,0,0,0,0,0,0
"10606",1,1,1,1,1,1,1,1,1,1,1
"8706",1,1,0,1,0,0,1,1,1,0,0
"84532",1,0,1,1,1,0,0,1,1,0,0
"64841",1,1,0,0,1,0,0,0,1,1,0
"55577",1,1,1,1,1,1,1,1,1,1,1
"5238",0,1,0,0,0,1,1,0,0,0,1
"8705",1,1,0,1,1,0,1,1,0,0,0
"9487",1,0,0,1,0,0,1,0,0,1,1
"10317",0,0,0,0,0,0,0,0,0,0,0
"162417",1,1,0,0,0,1,1,1,1,0,0
"43",0,0,0,0,1,0,0,1,0,1,0
"6572",0,0,0,0,0,0,0,0,0,0,0
"84002",0,0,1,0,0,0,0,1,0,1,1
"47",1,1,1,1,1,1,1,1,1,1,1
"570",0,1,0,0,0,0,1,1,0,0,1
"3141",1,1,0,0,1,0,1,0,0,1,0
"54187",1,1,1,0,1,1,1,1,1,1,1
"140679",0,0,0,0,0,0,0,0,0,0,0
"26503",1,1,0,1,0,1,1,1,1,0,0
"54",1,1,1,0,1,1,1,1,1,1,1
"8424",0,0,0,0,0,0,0,0,0,0,0
"51205",0,0,0,0,1,1,1,0,0,1,0
"53630",0,0,0,0,0,0,0,0,0,0,0
"140838",1,1,0,0,0,1,1,0,1,1,1
"622",1,0,1,0,1,0,1,1,1,0,0
"36",1,0,0,1,0,1,1,0,1,1,1
"34",1,1,1,1,1,1,1,1,1,1,1
"84129",0,0,0,1,0,1,0,0,1,1,0
"23743",0,0,0,1,0,0,0,0,0,0,0
"80724",0,1,0,0,1,0,0,1,1,1,0
"635",0,0,0,0,0,0,0,0,0,0,0
"27034",0,0,1,0,1,1,0,0,1,1,0
"10599",1,0,1,0,0,0,0,0,0,0,0
"28976",0,0,1,0,1,1,1,1,1,1,0
"1244",0,1,0,1,1,0,1,0,1,1,0
"35",1,1,1,1,1,1,1,1,1,1,0
"3712",1,1,1,1,1,0,1,1,1,1,0
"1607",0,0,0,0,0,0,0,0,0,0,0
"8714",1,0,1,1,0,0,1,1,0,1,1
"28234",0,0,0,0,0,0,0,0,0,0,0
"644",1,1,1,1,1,1,1,1,1,1,1
"1468",1,0,0,1,1,0,1,1,1,0,0
"8402",1,1,1,1,1,1,1,1,1,1,1
"64849",0,0,0,0,1,0,1,1,0,1,0
"645",1,1,1,1,1,1,1,1,1,1,1
"9488",0,1,1,1,0,1,0,0,0,1,1
"1610",0,0,0,0,1,0,0,0,0,0,0
"10380",1,0,1,1,1,1,1,1,1,1,0
"686",1,1,0,0,1,1,0,1,0,0,0
"1645",1,1,0,1,1,1,1,0,1,0,0
"2745",1,1,1,1,1,1,1,1,1,1,1
"1109",0,1,0,0,1,0,1,0,1,1,0
"8884",1,1,1,1,1,1,1,1,1,1,0
"80704",0,0,0,0,0,0,0,0,0,0,0
"51022",1,1,0,1,0,0,0,0,0,1,1
"51733",0,1,0,0,1,0,0,0,0,1,0
"7108",1,0,0,1,0,1,1,1,1,0,0
"6718",0,0,0,0,0,0,0,0,0,0,0
"8528",0,0,0,0,0,0,0,0,0,0,0
"6510",0,1,0,0,0,1,0,1,1,0,0
"50814",1,1,0,0,1,1,1,1,1,1,1
"3295",0,1,1,0,0,0,1,0,1,1,1
"6307",1,1,1,1,1,1,1,0,1,1,1
"6509",0,1,1,0,0,0,1,1,0,0,0
"1632",1,1,1,1,1,1,1,1,1,1,1
"56301",0,0,1,0,0,0,0,0,0,1,1
"492",0,0,0,0,0,0,0,0,0,1,0
"10455",1,1,1,0,0,0,1,0,0,1,1
"490",1,1,0,1,0,0,1,0,1,0,1
"6520",1,1,1,1,1,1,1,1,1,1,1
"1633",1,1,1,1,1,1,1,1,1,1,1
"211",1,1,0,1,1,1,1,1,1,1,1
"493",0,0,0,0,1,1,0,0,1,1,1
"6319",0,0,1,0,0,1,1,1,0,0,0
"9415",1,0,1,0,0,0,1,1,0,1,0
"491",0,0,0,0,0,1,0,1,0,0,0
"23464",1,0,0,1,1,1,1,1,1,0,0
"3992",0,0,0,1,1,1,0,1,0,0,1
"212",1,0,0,1,0,1,1,0,1,1,1
"8694",1,0,0,1,1,0,1,1,1,1,1
"847",1,1,1,1,1,1,1,1,1,1,1
"84649",1,1,0,0,0,0,0,1,0,0,0
"1716",1,1,1,1,1,1,1,1,1,1,1
"6546",0,0,0,1,0,0,0,0,0,1,0
"6547",0,0,0,0,0,0,0,0,0,0,0
"54407",1,1,1,1,1,1,1,1,1,1,1
"6541",1,1,1,0,1,1,1,1,1,1,0
"6543",1,0,0,0,0,0,0,1,1,0,0
"6515",1,1,1,1,1,1,1,1,1,1,1
"59272",0,0,0,0,0,0,0,0,0,0,0
"84889",0,0,0,0,0,0,0,1,0,0,0
"6517",0,0,0,0,0,0,0,0,0,0,0
"81539",1,1,1,1,1,1,1,1,1,1,1
"340024",0,0,0,0,0,0,0,0,0,0,0
"6513",1,1,1,1,1,1,1,1,1,1,1
"55089",0,0,0,0,1,1,0,0,0,0,0
"1718",0,1,0,0,1,1,1,1,1,1,0
"2538",0,0,0,0,0,0,0,0,0,0,0
"1581",0,0,0,0,0,0,0,0,0,0,0
"57818",0,0,0,0,0,0,0,0,0,0,0
"92579",1,1,0,0,0,0,0,1,0,1,0
"1373",0,0,0,1,1,0,0,0,1,1,1
"873",1,1,1,1,1,1,1,1,1,1,1
"11254",0,0,0,0,1,0,0,0,0,0,0
"57393",1,1,1,0,0,0,1,1,0,0,1
"6542",0,0,0,0,0,0,0,0,0,0,0
"84706",1,0,0,0,0,1,0,1,0,0,1
"1717",1,1,0,0,1,1,1,1,1,0,0
"2875",1,1,0,0,1,0,0,1,0,0,0
"8560",1,1,1,1,1,1,1,1,1,1,1
"10423",1,1,1,1,1,1,1,1,1,1,1
"123099",0,0,0,1,0,0,1,1,1,0,0
"92745",1,1,1,0,0,0,1,1,1,1,0
"10991",0,0,0,0,0,0,0,0,0,0,0
"1040",0,1,0,0,0,1,0,0,1,0,1
"11309",0,0,0,0,0,0,0,0,0,1,1
"8760",1,1,1,1,1,1,1,1,1,1,1
"284273",0,1,0,1,0,0,1,0,0,1,0
"6783",0,0,0,0,0,0,0,0,0,0,0
"1723",0,1,1,0,0,0,0,1,0,1,0
"10327",1,1,1,1,1,1,1,1,1,1,1
"10390",1,0,0,1,0,1,1,0,0,0,1
"56994",0,0,1,1,1,1,1,1,0,0,1
"1807",0,0,0,0,1,0,0,0,0,0,0
"64781",1,0,0,0,1,1,1,1,1,0,0
"1809",0,0,0,0,0,0,0,0,0,0,0
"8854",0,0,0,0,0,0,0,0,0,0,0
"1808",0,1,0,0,1,1,0,1,1,0,1
"10087",1,1,0,1,0,0,0,0,0,1,1
