,Observed,Expected
Oxidative phosphorylation via NADH-coenzyme Q oxidoreductase (COMPLEX I),True,True
Oxidative phosphorylation via succinate-coenzyme Q oxidoreductase (COMPLEX II),True,True
Krebs cycle - oxidative decarboxylation of pyruvate,True,True
Krebs cycle - NADH generation,True,True
ATP regeneration from glucose (normoxic conditions) - glycolysis + krebs cycle,True,True
ATP generation from glucose (hypoxic conditions) - glycolysis,True,True
ATP generation from ions,True,False
Reactive oxygen species detoxification (H2O2 to H2O),True,True
Presence of the thioredoxin system through the thioredoxin reductase activity,False,True
Inosine monophosphate synthesis (IMP),True,True
Cytidine triphosphate synthesis (CTP),True,True
Guanosine triphosphate synthesis (GTP),True,True
Uridine triphosphate synthesis (UTP),True,True
Deoxyadenosine triphosphate synthesis (dATP),False,True
Deoxycytidine triphosphate synthesis (dCTP),False,True
Deoxyguanosine triphosphate synthesis (dGTP),False,True
Deoxyuridine triphosphate synthesis (dUTP),False,True
Deoxythymidine triphosphate synthesis (dTTP),False,True
AMP salvage from adenine,True,True
IMP salvage from hypoxanthine,True,True
GMP salvage from guanine,True,True
3'-Phospho-5'-adenylyl sulfate synthesis,True,True
Degradation of adenine to urate,True,True
Degradation of guanine to urate,True,True
Degradation of cytosine,True,True
Degradation of uracil,False,True
Gluconeogenesis from pyruvate,True,True
Gluconeogenesis from Lactate,True,True
Gluconeogenesis from Glycerol,False,True
Gluconeogenesis from Alanine,True,True
Gluconeogenesis from Glutamine,True,True
Ethanol to acetaldehyde,True,True
Glucose to lactate conversion,True,True
Malate to pyruvate conversion,True,True
Synthesis of fructose-6-phosphate from erythrose-4-phosphate (HMP shunt),True,True
Synthesis of ribose-5-phosphate,True,True
Synthesis of lactose,True,True
Glycogen biosynthesis,False,True
Glycogen degradation,True,True
Fructose degradation (to glucose-3-phosphate),True,True
Fructose to glucose conversion (via fructose-6-phosphate),True,True
UDP-glucose synthesis,True,True
UDP-galactose synthesis,True,True
UDP-glucuronate synthesis,True,True
GDP-L-fucose synthesis,True,True
Mannose degradation (to fructose-6-phosphate),True,True
GDP-mannose synthesis,True,True
UDP-N-acetyl D-galactosamine synthesis,True,True
CMP-N-acetylneuraminate synthesis,True,True
N-Acetylglucosamine synthesis,True,True
Glucuronate synthesis (via inositol),True,True
Glucuronate synthesis (via udp-glucose),True,True
Synthesis of acetone,True,True
(R)-3-Hydroxybutanoate synthesis,True,True
Synthesis of inositol,True,True
Inositol as input for glucuronate-xylulose pathway,True,True
Synthesis of phosphatidylinositol from inositol,True,True
"Conversion of 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate to 1D-myo-inositol 1,4,5-trisphosphate",False,True
Starch degradation,True,True
Link between glyoxylate metabolism and pentose phosphate pathway (Xylulose to glycolate),True,True
Synthesis of methylglyoxal,True,True
Alanine synthesis,True,True
Alanine degradation,True,True
Synthesis of alanine from glutamine,True,True
Arginine synthesis,False,True
Arginine degradation,True,True
Synthesis of arginine from glutamine,True,True
Synthesis of nitric oxide from arginine,True,True
Synthesis of aspartate from glutamine,True,True
Synthesis of creatine from arginine,True,True
Asparagine synthesis,True,True
Asparagine degradation,True,True
Aspartate synthesis,False,True
Aspartate degradation,True,True
Conversion of aspartate to arginine,True,True
Conversion of aspartate to beta-alanine,True,True
Conversion of asparate to asparagine,True,True
beta-Alanine synthesis,True,True
beta-Alanine degradation,True,True
Conversion of carnosine to beta-alanine,True,True
Beta-alanine to 3-oxopropanoate,True,True
Cysteine synthesis,True,False
Cysteine synthesis (need serine and methionine),True,True
Cysteine degradation,True,True
Synthesis of cysteine from cystine,True,True
Synthesis of taurine from cysteine,True,True
Glutamate synthesis,False,True
Glutamate degradation,True,True
Conversion of glutamate to glutamine,True,True
Conversion of glutamate to proline,True,True
Conversion of GABA into succinate,True,True
Glutamine synthesis,False,True
Glutamine degradation,True,True
Glutaminolysis (glutamine to lactate),True,True
Glutathionate synthesis,True,True
Glycine synthesis,True,True
Glycine degradation,True,True
Conversion of glycine to pyruvate,True,True
Histidine synthesis,True,False
Histidine degradation,True,True
Conversion of histidine to glutamate,True,True
Conversion of histidine to histamine,True,True
Homocysteine synthesis,True,False
Homocysteine synthesis (need methionine),True,True
Homocysteine degradation,True,True
Isoleucine synthesis,True,False
Isoleucine degradation,True,True
Leucine synthesis,True,False
Leucine degradation,True,True
Conversion of leucine to acetyl-coA,True,True
Lysine synthesis,True,False
Lysine degradation,True,True
Conversion of lysine to L-Saccharopine,True,True
Conversion of lysine to L-2-Aminoadipate,True,True
Methionine synthesis,True,False
Methionine degradation,False,True
S-adenosyl-L-methionine synthesis,True,True
Ornithine degradation,True,True
Synthesis of ornithine from glutamine,True,True
Synthesis of spermidine from ornithine,True,True
Serine synthesis,True,True
Serine degradation,True,True
Phenylalanine synthesis,True,False
Phenylalanine degradation,True,True
Phenylalanine to phenylacetaldehyde,True,True
Phenylalanine to phenylacetyl-L-glutaminate,True,True
Phenylalanine to tyrosine,True,True
Proline synthesis,True,True
Proline degradation,True,True
Synthesis of proline from glutamine,True,True
Threonine synthesis,True,False
Threonine degradation,True,True
Tryptophan synthesis,True,False
Tryptophan degradation,True,True
Synthesis of anthranilate from tryptophan,True,True
Synthesis of kynate from tryptophan,True,True
Synthesis of L-kynurenine from tryptophan,True,True
Synthesis of N-formylanthranilate from tryptophan,True,True
Synthesis of quinolinate from tryptophan,True,True
Synthesis of serotonin from tryptophan,True,True
Tyrosine synthesis,True,False
Tyrosine synthesis (need phenylalanine),False,True
Tyrosine degradation,True,True
Tyrosine to adrenaline,True,True
Tyrosine to dopamine,True,True
Tyrosine to acetoacetate and fumarate,True,True
Valine synthesis,True,False
Valine degradation,True,True
Valine to succinyl-coA,True,True
Hydroxymethylglutaryl-CoA synthesis,True,True
Cholesterol synthesis,True,True
Acetoacetate synthesis,True,True
Mevalonate synthesis,True,True
Farnesyl-pyrophosphate synthesis,True,True
Glycerol-3-phosphate synthesis,True,True
Phosphatidyl-choline synthesis,True,True
Phosphatidyl-ethanolamine synthesis,True,True
Phosphatidyl-serine synthesis,True,True
Phosphatidyl-inositol synthesis,True,True
Cardiolipin synthesis,True,True
Triacylglycerol synthesis,True,True
Sphingomyelin synthesis,True,True
Ceramide synthesis,True,True
Palmitate synthesis,True,True
Palmitate degradation,True,True
Palmitolate synthesis,True,True
Palmitolate degradation,True,True
cis-vaccenic acid synthesis,True,True
cis-vaccenic acid degradation,True,True
Elaidate synthesis,True,True
Elaidate degradation,True,True
Linolenate synthesis,True,False
Linolenate degradation,True,True
Linoleate synthesis,True,False
Linoleate degradation,True,True
gamma-Linolenate synthesis,True,True
gamma-Linolenate degradation,True,True
Arachidonate synthesis,True,True
Arachidonate degradation,True,True
Synthesis of malonyl-coa,True,True
Synthesis of palmitoyl-CoA,False,True
Taurochenodeoxycholate synthesis,False,True
Glycochenodeoxycholate synthesis,False,True
tauro-cholate synthesis,True,True
glyco-cholate synthesis,True,True
Synthesis of thromboxane from arachidonate,True,True
Synthesis of galactosyl glucosyl ceramide (link with ganglioside metabolism),True,True
Synthesis of glucocerebroside,True,True
Synthesis of globoside (link with globoside metabolism),True,True
NAD synthesis from nicotinamide,True,True
FAD synthesis,True,True
Synthesis of coenzyme A,True,True
Synthesis of ubiquinone from tyrosine,True,True
Tetrahydrofolate synthesis,True,True
Pyridoxal-phosphate synthesis,True,True
Synthesis of bilirubin,True,True
Heme synthesis,True,True
Phosphatidyl-inositol to glucosaminyl-acylphosphatidylinositol,True,True
Glucosaminyl-acylphosphatidylinositoll to deacylated-glycophosphatidylinositol (GPI)-anchored protein,False,True
Degradation of n2m2nmasn,True,True
Biosynthesis of m4mpdol_U,True,True
Biosynthesis of g3m8masn,True,True
Degradation of s2l2fn2m2masn,True,True
"Biosynthesis of core2 (beta-D-Galactosyl-1,3-(N-acetyl-beta-D-glucosaminyl-1,6)-N-acetyl-D-galactosaminyl-R)",True,True
"Biosynthesis of core4 (N-Acetyl-beta-D-glucosaminyl-1,6-(N-acetyl-beta-D-glucosaminyl-1,3)-N-acetyl-D-galactosaminyl-R)",True,True
Biosynthesis of Tn_antigen (Glycoprotein N-acetyl-D-galactosamine),True,True
Keratan sulfate biosynthesis from O-glycan (core 2-linked),True,True
Keratan sulfate biosynthesis from O-glycan (core 4-linked),True,True
Keratan sulfate degradation,False,True
Keratan sulfate biosynthesis from N-glycan,True,True
