ID,Plasmax,Plasmax_v2,Plasmax_unconstrained,HPLM,HPLM_v2,HPLM_unconstrained,RPMI-1640,RPMI-1640_v2,RPMI-1640_unconstrained
HMR_9150,5.32025,5.32025,1000,4.78333333,4.78333333,1000,4.53254167,4.53254167,1000
HMR_9216,0.00129167,0.00129167,1000,0.00208333,0.00208333,1000,0,0,0
EX_3hmp[e],0.00083333,0.00083333,1000,0,0,0,0,0,0
EX_4hpro[e],0.00054167,0.00054167,1000,0.00083333,0.00083333,1000,0.0063625,0.0063625,1000
EX_5oxpro[e],0.00083333,0.00083333,1000,0,0,0,0,0,0
HMR_9086,0.00175,0.00175,1000,0.00166667,0.00166667,1000,0,0,0
HMR_9243,0.00229167,0.00229167,1000,0.0025,0.0025,1000,0,0,0
EX_acgly[e],0.00291667,0.00291667,1000,0.00375,0.00375,1000,0,0,0
EX_acrn[e],0.00020833,0.00020833,1000,0,0,0,0,0,0
HMR_9061,0.02125,0.02125,1000,0.01791667,0.01791667,1000,0,0,0
HMR_9066,0.00266667,0.00266667,1000,0.00458333,0.00458333,1000,0.047875,0.047875,1000
HMR_9158,0.00258333,0.00258333,1000,0,0,0,0,0,0
HMR_9062,0.00170833,0.00170833,1000,0.00208333,0.00208333,1000,0.01579167,0.01579167,1000
HMR_9070,0.00025,0.00025,1000,0.00083333,0.00083333,1000,0.00625,0.00625,1000
HMR_9134,0.00320833,0.00320833,1000,0.00208333,0.00208333,1000,0,0,0
HMR_9109,0.00017083,0.00017083,1000,0.000033333,0.000033333,1000,0.000034167,0.000034167,1000
EX_C02356[e],0.00170833,0.00170833,1000,0.00083333,0.00083333,1000,0,0,0
HMR_9082,0.075175,0.075175,1000,0.09962708,0.09962708,1000,0.01768833,0.01768833,1000
EX_carn[e],0.00025,0.00025,1000,0,0,0,0,0,0
HMR_9269,0.00000020833,0.00000020833,1000,0.00000015417,0.00000015417,1000,0.00000015417,0.00000015417,1000
EX_CE5643[e],0.000015475,0.000015475,1000,0.00166667,0.00166667,1000,0.01766667,0.01766667,1000
HMR_9083,0.00029583,0.00029583,1000,0.00089583,0.00089583,1000,0.00089167,0.00089167,1000
HMR_9280,0.00475,0.00475,1000,0.00541667,0.00541667,1000,0,0,0
HMR_9201,0.00229167,0.00229167,1000,0.00166667,0.00166667,1000,0,0,0
HMR_9288,1000,1000,1000,1000,1000,1000,1000,1000,1000
HMR_9058,1000,1000,1000,1000,1000,1000,1000,1000,1000
HMR_9290,0.00154167,0.00154167,1000,0.00166667,0.00166667,1000,0,0,0
HMR_9292,0.00191667,0.00191667,1000,0.00166667,0.00166667,1000,0,0,0
