"","ImmProt_T4.CM_01","ImmProt_T4.CM_02","ImmProt_T4.CM_03","ImmProt_T4.CM_04","ImmProt_T4.CM_01_activated","ImmProt_T4.CM_02_activated","ImmProt_T4.CM_03_activated","ImmProt_T4.CM_04_activated","ImmProt_T4.EM_01","ImmProt_T4.EM_02","ImmProt_T4.EM_03","ImmProt_T4.EM_04","ImmProt_T4.EM_01_activated","ImmProt_T4.EM_02_activated","ImmProt_T4.EM_03_activated","ImmProt_T4.EM_04_activated"
"26",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"314",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8639",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1591",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1594",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"10993",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"6818",0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0
"89874",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55293",0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1
"3945",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"92483",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160287",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3948",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3939",0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
"134526",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1
"95",0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1
"50",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"48",0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0
"8309",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1
"55",0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1
"788",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
"9194",1,1,0,0,0,1,0,0,0,1,0,1,1,1,0,1
"55902",0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1
"9123",0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1
"6566",0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1
"57835",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65985",0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,1
"8671",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"438",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1571",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
