"","GSM2359397","GSM2359398","GSM2859440","GSM2859469","GSM2859498","GSM2859413","GSM2859441","GSM2859470","GSM2859499","GSM3109311","GSM3109312","GSM3109313","GSM3109314","GSM3109315","GSM3319754","GSM3319755","GSM3319793","GSM3319794","GSM3319828","GSM3319829","GSM3319863","GSM3319864"
"26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"314",1,0,1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0
"8639",1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1591",0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0
"1594",0,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,1
"10993",1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"6818",0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1
"89874",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55293",0,1,1,0,0,1,1,1,1,1,0,0,1,0,0,1,1,1,0,1,0,1
"3945",1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1
"92483",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"160287",0,1,0,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0
"3948",0,0,1,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0
"3939",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"134526",1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0
"51",0,1,0,1,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0,1,1,1
"95",1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1
"50",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1
"48",0,1,1,1,1,0,0,1,0,0,1,1,1,0,1,1,0,1,0,0,0,1
"8309",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"52",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"55",1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0
"788",1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1
"9194",1,0,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,0,1,0,0
"55902",1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0
"9123",0,1,1,1,0,1,0,0,1,1,0,0,1,0,1,1,1,0,1,0,0,0
"6566",0,1,0,1,0,1,0,1,1,0,1,1,1,0,0,1,0,1,0,1,0,1
"57835",1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0
"65985",0,1,1,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,1,0,0
"8671",0,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0
"438",0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0
"1571",0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0
"4967",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
"100",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
"8050",0,1,0,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,0,1
"1738",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3177",1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1
"1743",1,0,1,0,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,0,1
"126",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"205",1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0
"128",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
"204",1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
"130",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
"127",0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0
"131",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"124",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"125",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26289",1,0,0,1,1,0,0,1,1,1,0,0,1,0,1,0,1,0,0,0,1,0
"137872",0,1,1,0,0,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0
"1312",1,0,1,0,0,1,0,0,1,1,1,0,1,0,1,1,1,1,0,1,0,1
"50808",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1
"262",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"117247",0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,0,0,0,1,0
"222",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"113",0,1,0,0,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,0,1,0
"218",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"108",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"220",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"221",1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
"114",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"111",0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0
"3242",1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"115",0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0
"18",1,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1
"109",1,0,1,0,0,1,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0
"55811",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"196883",0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"2531",1,0,1,1,1,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0
"107",1,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1
"23498",1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
"112",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55268",0,1,0,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,0,0,0,1
"51166",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2030",1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1
"883",1,0,0,0,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0
"1644",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"4129",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"9154",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64078",1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0
"4128",1,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0
"9153",0,1,0,0,0,1,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0
"10165",1,0,0,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0
"55315",1,0,1,0,1,0,0,1,1,1,0,0,1,0,1,1,0,1,0,0,1,1
"8604",0,1,0,0,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,0
"245972",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2572",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9114",1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1
"11164",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1
"2571",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"952",0,1,0,0,1,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0,0,1
"51380",1,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1
"1375",1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0
"533",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1
"2805",1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1
"50617",1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0
"1374",1,0,0,0,0,1,1,1,1,0,1,0,1,0,1,1,1,1,0,0,0,0
"2806",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1
"8659",1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1
"126129",0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"10312",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1
"6817",0,1,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0
"535",1,0,1,1,1,0,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0
"127124",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"523",1,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,1,0,1,0,1
"1376",1,0,1,1,1,0,0,1,0,1,1,0,1,0,1,1,0,1,0,0,1,0
"6799",0,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0
"9060",1,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0
"8992",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"9061",1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0
"158",1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,1,1,0,1,0,1
"9550",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4363",0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,1,1,1,0,0,1,0
"529",1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
"6822",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6573",0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,1
"146712",0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1
"528",1,0,0,1,1,1,1,0,1,1,1,0,1,0,0,1,0,1,0,1,0,1
"316",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10678",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
"6571",0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,1
"6570",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"10331",1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0
"51382",1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,0,1
"2348",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90423",1,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0
"534",0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0
"374907",0,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1
"2352",0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0
"51606",1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,0,1
"11041",1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,1,1,0,0,0
"93010",0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"9296",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
"79369",0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
"4125",1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0
"954",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"79814",1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1
"53947",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51146",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1
"953",1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0
"206358",0,1,0,0,1,1,1,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0
"957",0,1,0,0,1,0,1,1,1,1,0,0,1,0,1,1,0,1,0,0,0,1
"56895",0,1,0,0,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0
"6540",1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"137964",0,1,1,1,1,0,0,0,1,1,0,1,1,0,1,1,1,1,0,0,0,1
"129642",1,0,1,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0
"956",1,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"955",1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0
"6539",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"56894",1,0,1,0,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0
"10555",1,0,1,0,1,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1
"55326",0,1,0,1,0,0,1,1,0,0,1,1,0,1,1,1,0,1,0,0,0,1
"10554",1,0,1,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0
"6529",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6538",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10449",1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1
"38",1,0,0,0,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1,1,1,1
"64850",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"377841",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3032",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1
"292",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"293",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"64902",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3030",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
"189",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"291",0,1,0,0,0,1,1,1,1,0,1,0,1,1,0,1,1,1,0,0,0,1
"39",1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,1,1
"30",1,0,1,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,0,0,1
"32",0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0
"9197",1,0,0,1,1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0
"4126",1,0,1,1,1,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0,1,0
"3073",1,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,0,0
"3074",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
"79611",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"10606",1,0,0,1,1,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1
"8706",0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"84532",0,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,0,1,0,0,1
"64841",0,1,0,1,0,1,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1
"55577",1,0,0,0,1,0,1,0,1,1,1,0,1,0,1,1,1,1,0,0,0,1
"5238",1,0,1,1,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1
"8705",0,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,1
"9487",0,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,1,0,1
"10317",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"162417",0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0
"43",0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
"6572",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84002",1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1
"47",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1
"570",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"3141",0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1
"54187",0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,1,1
"140679",0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"26503",1,0,1,0,0,0,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0
"54",1,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0
"8424",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51205",1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0
"53630",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"140838",0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,1
"622",0,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,1,0
"36",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0
"34",1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1
"84129",0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0
"23743",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"80724",1,0,0,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0
"635",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"27034",1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0
"10599",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28976",0,1,0,1,0,1,0,1,1,1,1,0,0,0,1,1,1,1,1,0,0,1
"1244",1,0,1,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0
"35",1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0
"3712",0,1,1,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1
"1607",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8714",1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
"28234",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"644",1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
"1468",1,0,1,1,0,1,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,1
