"","GSM2722357","GSM2722361","GSM2722365","GSM2722369","GSM2722373","GSM2722377","GSM2859422","GSM2859450","GSM2859479","GSM2859514","GSM3355220","GSM3355221","GSM3355222","GSM3355223","GSM3355224"
"26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"314",1,1,0,0,1,0,0,1,0,1,0,0,1,0,0
"8639",0,1,0,0,1,1,1,0,0,0,1,1,1,0,1
"1591",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"1594",1,1,0,0,1,1,1,0,0,1,1,1,1,0,0
"10993",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"6818",0,0,1,0,0,0,0,1,0,0,0,0,1,1,0
"89874",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"55293",0,0,1,1,1,0,0,1,0,0,0,0,0,1,1
"3945",1,0,1,1,1,0,1,1,1,1,1,1,1,1,1
"92483",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"160287",0,0,0,0,1,0,0,1,1,0,1,0,0,0,0
"3948",0,0,0,1,0,0,0,1,0,0,0,1,1,0,0
"3939",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"134526",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"51",1,1,0,0,1,0,0,1,1,1,0,1,0,0,1
"95",0,0,1,0,1,1,0,1,0,1,1,0,0,1,1
"50",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"48",1,0,1,1,0,1,1,1,0,0,0,1,1,0,0
"8309",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"55",1,0,1,0,0,0,0,0,0,1,0,1,1,0,1
"788",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"9194",1,0,1,0,1,0,0,0,1,0,0,0,0,1,1
"55902",0,1,1,1,1,0,1,0,1,1,1,1,1,1,0
"9123",0,1,1,1,0,0,0,1,1,0,1,0,1,0,1
"6566",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
"57835",0,1,0,1,0,1,0,0,1,0,0,1,0,1,1
"65985",0,0,1,1,0,0,0,0,1,1,1,1,0,0,1
"8671",0,1,0,1,0,0,0,0,1,1,0,0,1,1,1
"438",0,1,0,1,1,0,1,0,0,0,1,0,1,0,0
"1571",0,1,1,1,0,0,1,0,0,1,1,0,1,0,0
"4967",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"100",1,1,1,1,0,1,1,0,1,1,1,1,1,1,1
"8050",1,0,1,0,1,1,0,1,0,1,0,0,0,1,1
"1738",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3177",0,0,1,1,1,0,0,1,1,0,1,1,0,0,0
"1743",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"126",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"205",1,0,0,1,0,0,0,0,0,1,0,0,0,1,1
"128",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"204",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"130",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"127",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"131",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"124",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"125",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26289",0,1,1,1,0,0,1,0,1,0,1,1,1,0,0
"137872",0,0,0,1,1,1,0,1,0,1,0,0,1,1,0
"1312",1,1,1,0,0,1,1,0,0,1,1,1,1,0,0
"50808",1,0,1,1,1,1,1,0,1,1,0,1,1,1,1
"262",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"117247",0,0,1,1,1,1,1,0,1,1,0,1,0,1,0
"222",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"113",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"218",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"108",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
