"","GSM2859423","GSM2859451","GSM2859480","GSM2859515"
"26",1,1,1,1
"314",0,1,0,1
"8639",0,0,1,0
"1591",1,0,1,0
"1594",0,0,1,1
"10993",1,0,0,0
"6818",0,1,0,0
"89874",1,1,1,1
"55293",1,0,0,1
"3945",1,1,1,1
"92483",1,1,1,1
"160287",0,0,1,1
"3948",0,0,0,1
"3939",1,1,1,1
"134526",0,0,1,1
"51",1,0,1,0
"95",1,0,0,1
"50",1,1,1,1
"48",1,0,1,0
"8309",1,0,0,0
"52",1,1,1,1
"55",1,0,0,0
"788",1,0,1,1
"9194",0,1,0,0
"55902",1,1,0,1
"9123",1,0,1,0
"6566",1,0,1,1
"57835",0,1,0,1
"65985",1,1,0,1
"8671",1,0,0,0
"438",1,1,1,1
"1571",1,0,1,0
"4967",1,1,1,1
"100",1,1,1,1
"8050",1,0,1,1
"1738",1,1,1,1
"3177",1,0,0,0
"1743",1,1,1,0
"126",1,1,1,1
"205",1,0,1,0
"128",1,1,1,1
"204",1,1,1,1
"130",0,1,1,1
"127",0,1,0,0
"131",1,1,1,1
"124",0,0,1,0
"125",1,1,1,1
"26289",1,0,1,0
"137872",0,1,0,1
"1312",0,1,0,1
"50808",1,1,1,1
"262",1,1,1,1
"117247",0,0,0,1
"222",1,1,1,1
"113",1,1,1,1
"218",1,1,1,1
"108",1,1,1,1
"220",1,1,1,1
"221",0,0,0,1
"114",1,1,1,1
"111",0,1,0,1
"3242",0,1,0,1
"115",1,0,1,0
"18",0,0,1,1
"109",0,1,1,0
"55811",0,0,1,1
"196883",0,1,0,1
"2531",1,0,1,1
"107",1,0,1,0
"23498",1,1,0,1
"112",1,1,1,1
"55268",1,1,0,0
"51166",1,1,1,1
"2030",1,0,1,1
"883",1,0,0,0
"1644",0,0,1,0
"4129",1,0,0,0
"9154",1,1,1,1
"64078",1,1,1,1
"4128",1,0,0,0
"9153",1,1,1,1
"10165",0,1,1,1
"55315",1,0,0,1
"8604",1,0,0,1
"245972",1,1,1,1
"2572",1,1,1,1
"9114",1,1,1,1
"11164",1,1,1,1
"2571",1,1,1,1
"952",0,1,1,1
"51380",0,1,0,0
"1375",1,0,0,1
"533",1,1,1,1
"2805",1,1,1,1
"50617",1,1,1,1
"1374",0,0,1,1
"2806",1,1,1,1
"8659",0,0,1,1
"126129",0,1,0,0
"10312",1,1,1,1
"6817",0,1,0,1
"535",1,1,0,0
"127124",0,0,0,1
"523",1,1,1,1
"1376",1,0,1,1
"6799",1,1,0,1
"9060",0,0,1,0
"8992",1,1,1,1
"9061",1,1,1,1
"158",0,1,1,1
"9550",1,1,1,1
"4363",0,1,1,1
"529",1,1,1,1
"6822",1,1,1,1
"6573",1,0,0,0
"146712",1,0,1,0
"528",1,0,1,1
"316",1,1,1,1
"10678",1,0,1,1
"6571",1,1,0,0
"6570",1,1,1,1
"10331",1,0,0,1
"51382",1,1,1,1
"2348",1,1,1,1
"90423",0,1,0,1
"534",0,1,0,1
"374907",1,1,0,1
"2352",1,0,0,0
"51606",1,1,1,1
"11041",0,0,1,1
"93010",1,0,0,0
"9296",1,1,1,1
"79369",1,0,1,0
"4125",1,1,1,1
"954",0,0,1,0
"79814",0,0,1,1
"53947",1,1,1,1
"51146",1,1,1,1
"28",0,1,0,0
"953",1,1,0,1
"206358",0,1,1,1
"957",1,0,0,1
"56895",1,0,1,1
"6540",1,1,1,1
"137964",1,1,1,1
"129642",1,0,1,1
"956",1,0,0,0
"955",1,0,1,1
"6539",1,1,1,1
"56894",1,1,1,0
"10555",1,1,1,0
"55326",0,0,1,0
"10554",0,1,1,0
"6529",1,1,1,1
"6538",1,1,1,1
"10449",1,0,1,1
"38",1,0,0,1
"64850",1,1,1,1
"377841",1,1,1,1
"3032",1,1,1,1
"292",1,1,1,1
"293",1,1,1,1
"64902",1,1,1,1
"3030",1,1,1,1
"189",1,1,1,1
"291",1,1,0,0
"39",1,1,1,1
"30",1,1,1,1
"32",0,0,1,0
"9197",0,0,1,1
"4126",1,1,0,0
"3073",0,0,0,1
"3074",1,1,1,1
"79611",1,1,1,1
"10606",1,0,1,1
"8706",0,1,1,0
"84532",0,0,1,1
"64841",1,0,1,1
"55577",0,1,1,0
"5238",0,1,0,1
"8705",1,0,1,1
"9487",1,1,0,1
"10317",1,1,1,1
"162417",1,1,1,0
"43",1,1,1,1
"6572",1,1,1,1
"84002",0,1,0,0
"47",1,1,1,1
"570",0,0,0,1
"3141",1,0,0,1
"54187",0,0,1,0
"140679",1,1,1,1
"26503",1,0,1,1
"54",1,1,1,1
"8424",1,1,1,1
"51205",0,1,0,0
"53630",1,1,1,1
"140838",1,1,1,0
"622",0,0,1,1
"36",1,1,1,1
"34",1,1,1,1
"84129",0,0,0,1
"23743",1,1,1,1
"80724",0,1,0,1
"635",1,1,1,1
"27034",1,1,1,1
"10599",1,1,1,1
"28976",1,0,1,0
"1244",0,1,0,1
"35",1,0,1,0
"3712",0,1,1,1
"1607",1,1,1,1
"8714",0,0,0,1
"28234",1,1,1,1
"644",1,1,1,1
"1468",0,0,1,1
"8402",1,1,1,1
"64849",0,0,1,1
"645",0,1,1,0
