ID,Plasmax,HPLM,RPMI-1640
HMR_9061,1000,1000,0
HMR_9066,1000,1000,1000
HMR_9062,1000,1000,1000
HMR_9070,1000,1000,1000
HMR_9065,1000,1000,0
HMR_9071,1000,1000,1000
HMR_9063,1000,1000,1000
HMR_9067,1000,1000,1000
HMR_9038,1000,1000,1000
HMR_9039,1000,1000,1000
HMR_9040,1000,1000,1000
HMR_9041,1000,1000,1000
HMR_9042,1000,1000,1000
HMR_9043,1000,1000,1000
HMR_9068,1000,1000,1000
HMR_9069,1000,1000,1000
HMR_9044,1000,1000,1000
HMR_9045,1000,1000,1000
HMR_9064,1000,1000,1000
HMR_9046,1000,1000,1000
EX_C02356[e],1000,1000,0
HMR_9201,1000,1000,0
HMR_9363,1000,1000,1000
EX_hcys_L[e],1000,0,0
EX_4hpro[e],1000,1000,1000
HMR_9087,1000,1000,0
EX_5oxpro[e],1000,0,0
EX_acgly[e],1000,1000,0
EX_carn[e],1000,0,0
HMR_9351,1000,1000,1000
HMR_9418,1000,1000,0
HMR_9341,1000,1000,0
HMR_9086,1000,1000,0
HMR_9243,1000,1000,0
EX_acrn[e],1000,0,0
HMR_9286,1000,1000,0
HMR_9292,1000,1000,0
HMR_9290,1000,1000,0
HMR_9460,1000,1000,0
HMR_9318,1000,1000,0
HMR_9139,0,1000,0
HMR_9140,0,1000,0
HMR_9034,1000,1000,1000
HMR_9085,1000,1000,0
HMR_9216,1000,1000,0
HMR_9134,1000,1000,0
EX_3hmp[e],1000,0,0
HMR_9358,1000,1000,0
HMR_9135,1000,1000,0
HMR_9136,1000,1000,0
HMR_9164,0,1000,0
HMR_9133,1000,1000,0
HMR_9415,1000,1000,0
HMR_9437,1000,0,0
HMR_9075,1000,1000,0
HMR_9438,1000,1000,0
HMR_9439,1000,0,0
EX_nh4[e],1000,1000,0
HMR_9150,1000,1000,1000
HMR_9082,1000,1000,1000
EX_CE5643[e],1000,1000,1000
EX_mg2[e],1000,1000,1000
HMR_9074,1000,1000,1000
HMR_9081,1000,1000,1000
HMR_9077,1000,1000,1000
HMR_9078,1000,1000,1000
HMR_9072,1000,1000,1000
EX_cu2[e],1000,0,0
HMR_9096,1000,0,0
HMR_9080,1000,0,0
HMR_9145,1000,1000,1000
HMR_9158,1000,0,0
HMR_9109,1000,1000,1000
HMR_9083,1000,1000,1000
HMR_9146,1000,1000,1000
HMR_9361,1000,1000,1000
HMR_9378,1000,1000,1000
HMR_9144,1000,1000,1000
HMR_9143,1000,1000,1000
HMR_9159,1000,1000,1000
HMR_9269,1000,1000,1000
HMR_9047,1000,1000,1000
HMR_9048,1000,1000,1000
HMR_9079,1000,1000,1000
HMR_9383,1000,1000,1000
HMR_9058,1000,1000,1000
HMR_9354,1000,1000,1000
EX_h2co3[e],1000,1000,1000
HMR_9288,1000,1000,1000
