"","GSM663126","GSM663130","GSM1511432","GSM1511433","GSM1511434","GSM1511435","GSM1511436","GSM1511437","GSM1906875","GSM1906876","GSM1906877"
"314",0,0,0,0,0,0,0,0,0,0,0
"26",0,0,0,0,0,0,0,0,0,0,0
"8639",1,0,1,0,0,1,1,0,0,1,0
"1591",0,1,0,0,0,1,1,1,0,0,0
"1594",0,1,1,0,0,0,1,1,1,0,0
"10993",1,0,1,1,0,0,0,0,1,1,0
"6818",1,1,1,1,1,1,1,1,1,1,1
"89874",0,0,0,0,0,0,0,0,0,0,0
"3945",1,1,1,1,1,1,1,1,1,1,1
"3948",0,0,0,0,0,0,0,0,0,0,0
"55293",1,0,0,0,1,1,1,1,0,1,1
"160287",0,0,1,0,0,0,0,0,0,0,0
"92483",0,0,0,0,0,0,0,0,0,0,0
"3939",1,1,1,1,1,1,1,1,1,1,1
"9194",0,1,1,0,1,1,1,0,0,0,1
"6566",1,0,0,1,0,0,0,0,0,1,0
"9123",1,0,1,0,1,0,1,1,1,0,0
"57835",1,0,0,0,1,0,1,1,0,1,0
"8671",0,0,0,0,0,0,1,0,0,0,0
"1738",1,1,1,1,1,1,1,1,1,1,1
"4967",1,1,1,0,1,1,1,1,1,1,1
"1743",1,1,1,0,1,1,1,1,1,1,1
"8050",1,1,0,1,1,1,1,1,1,1,1
"128",1,1,1,0,0,1,1,1,1,1,1
"137872",1,1,0,1,1,1,1,0,1,1,1
"130",0,0,0,0,0,0,0,0,0,0,0
"127",0,0,1,0,0,0,1,0,0,0,0
"131",0,0,0,0,0,0,0,0,0,0,0
"126",0,0,0,0,0,0,0,0,0,0,0
"124",0,0,0,0,0,0,0,0,0,0,0
"125",0,0,0,0,0,0,0,0,0,0,0
"1312",0,1,0,1,0,0,1,1,1,0,0
"117247",1,0,0,0,1,1,1,1,1,0,1
"220",0,0,0,0,0,0,0,0,0,0,0
"221",1,0,1,1,1,0,0,0,1,0,1
"218",1,0,0,1,1,0,1,1,1,1,0
"222",0,0,0,0,0,0,0,0,0,0,0
"3242",0,0,0,0,0,0,0,0,0,0,0
"18",1,0,0,0,1,1,0,1,0,1,0
"2531",0,1,1,0,1,0,0,1,0,1,1
"23498",1,0,1,1,0,0,1,0,1,0,1
"55268",1,1,1,1,0,1,1,1,1,1,1
"883",0,1,0,0,1,1,0,1,0,0,1
"51166",0,0,0,0,0,0,1,0,0,0,0
"1644",1,0,1,0,0,1,0,1,0,1,1
"4128",0,0,0,0,0,0,0,0,0,0,0
"4129",0,0,0,0,0,0,0,0,0,0,0
"8604",0,1,0,0,1,0,1,1,1,0,0
"10165",0,1,1,1,1,1,0,0,0,1,0
"2572",0,0,0,0,0,0,0,0,0,0,0
"2571",0,0,0,0,0,0,0,0,0,0,0
"51380",0,1,1,0,1,1,0,0,1,0,0
"2805",1,0,0,1,0,0,1,1,1,0,0
"2806",1,1,1,1,1,1,1,1,1,1,1
"8659",0,1,1,1,1,1,0,0,0,1,0
"6817",1,0,1,1,0,0,1,0,0,1,0
"6799",1,0,1,0,1,1,1,0,1,1,0
"6822",0,0,0,0,0,0,0,0,0,0,0
"6573",0,1,1,1,0,0,0,0,1,0,0
"316",0,0,0,0,0,0,0,0,0,0,0
"6570",0,0,0,0,0,0,0,0,0,0,0
"6571",0,1,1,0,0,0,1,0,0,1,1
"2348",0,0,0,0,0,0,0,0,0,0,0
"2352",0,1,0,0,0,0,1,1,0,1,1
"4125",1,1,1,1,1,1,1,1,1,1,1
"53947",1,0,1,1,0,0,1,0,1,0,0
"51146",0,0,0,0,0,0,0,0,0,0,0
"28",0,1,1,1,0,0,1,0,0,0,1
