"","GSM2579316","GSM2579320","GSM2579324","GSM2579328","GSM2579332","GSM2579336"
"314",0,1,0,0,1,0
"26",0,0,0,0,1,0
"8639",0,0,0,0,0,1
"1591",0,1,0,1,1,1
"1594",1,0,0,0,1,1
"10993",0,0,0,0,0,1
"6818",1,1,1,1,1,1
"89874",0,0,0,0,1,0
"3945",1,1,1,1,1,1
"3948",0,0,0,1,0,0
"55293",1,1,0,1,0,1
"160287",0,1,1,0,0,0
"92483",1,1,1,1,1,1
"3939",1,1,1,1,1,1
"9194",0,0,1,1,0,0
"6566",0,1,0,1,1,0
"9123",1,0,0,0,1,1
"57835",0,0,0,0,0,1
"8671",0,0,0,1,0,0
"1738",1,1,1,1,1,1
"4967",1,1,1,1,1,1
"1743",1,1,1,0,0,0
"8050",1,1,1,1,0,1
"128",1,1,1,1,1,1
"137872",0,1,1,0,1,0
"130",1,1,1,1,1,1
"127",0,0,1,0,1,0
"131",1,1,1,1,1,1
"126",1,1,1,1,1,1
"124",1,1,1,1,1,1
"125",1,1,1,1,1,1
"1312",1,1,1,1,1,1
"117247",0,0,1,1,1,1
"220",1,1,1,1,1,1
"221",1,1,1,1,1,1
"218",1,1,1,1,1,1
"222",1,1,1,1,1,1
"3242",0,1,1,1,0,0
"18",0,0,0,1,0,1
"2531",1,0,1,1,0,0
"23498",0,0,1,0,0,0
"55268",1,0,0,1,0,1
"883",0,1,1,0,1,1
"51166",1,1,1,1,1,1
"1644",1,1,1,1,1,1
"4128",0,0,0,0,1,0
"4129",1,1,1,1,1,1
"8604",0,1,0,1,1,1
"10165",0,1,0,1,1,0
"2572",1,1,1,1,1,1
"2571",0,0,0,1,0,1
"51380",0,1,0,1,0,1
"2805",1,1,1,1,1,1
"2806",1,1,1,1,1,1
"8659",0,1,0,0,0,1
"6817",0,1,0,1,1,1
"6799",0,1,0,1,1,0
"6822",1,1,1,1,1,1
"6573",1,1,0,1,1,1
"316",1,1,1,1,1,1
"6570",1,1,1,1,1,1
"6571",0,0,1,0,0,0
"2348",1,1,1,1,1,1
"2352",1,1,1,1,1,1
"4125",1,1,1,1,1,1
"53947",0,0,0,0,1,0
"51146",1,1,1,1,1,1
"28",1,0,1,0,1,0
"206358",1,0,0,0,1,1
"6538",1,1,1,1,1,1
"6529",1,1,1,1,1,1
"6539",0,0,0,0,1,0
"6540",1,1,1,1,1,1
"3032",1,1,1,1,1,1
"10449",1,1,0,0,0,0
"38",1,0,0,0,1,1
"3030",1,1,1,1,1,1
"39",1,1,1,1,1,1
"30",1,1,1,1,1,0
"32",0,1,0,1,1,1
"9197",1,1,0,0,0,1
"79611",0,0,1,0,0,0
"84532",0,1,0,1,1,1
"64841",1,1,0,0,0,1
"55577",0,1,1,0,1,1
"5238",1,0,0,1,1,1
"9487",0,0,1,0,1,1
"162417",1,0,1,1,0,1
"43",0,0,0,0,0,1
"6572",1,1,1,1,1,1
"47",1,1,1,1,1,1
"54187",0,0,1,1,1,0
"26503",1,1,0,1,0,1
"54",1,1,1,1,1,1
"140838",1,0,0,0,0,0
"51205",1,0,0,0,1,1
"36",1,1,0,1,0,0
"34",1,1,1,1,1,1
"35",1,1,1,1,1,1
"84129",1,0,0,0,0,1
"28976",0,1,1,1,0,0
"80724",1,0,0,0,1,1
"27034",0,0,1,0,1,1
"3712",0,0,1,0,1,1
"134526",1,1,1,1,1,1
"51",0,1,1,1,0,0
"95",0,0,1,0,1,1
"50",1,1,1,1,1,1
"48",1,0,1,0,1,0
"8309",1,1,1,1,1,1
"52",1,1,1,1,1,1
"55",1,1,1,1,1,1
"788",0,1,0,1,1,0
"55902",0,0,1,0,1,0
"65985",0,1,1,0,1,0
