"","Transcriptomics","Proteomics","Final"
"314",0,NA,0
"26",1,0,0
"8639",0,NA,0
"1591",0,NA,0
"1594",0,0,0
"10993",1,0,0
"6818",2,0,1
"89874",0,NA,0
"3945",2,2,2
"3948",0,NA,0
"55293",1,1,1
"160287",0,NA,0
"92483",0,NA,0
"3939",2,0,1
"9194",0,1,0
"6566",1,1,1
"9123",0,0,0
"57835",1,NA,0
"8671",1,0,0
"1738",2,2,2
"4967",2,2,2
"1743",2,2,2
"8050",1,0,0
"128",1,2,2
"137872",2,NA,1
"130",0,NA,0
"127",1,1,1
"131",0,NA,0
"126",0,NA,0
"124",0,NA,0
"125",0,NA,0
"1312",1,2,2
"117247",1,0,0
"220",0,NA,0
"221",0,0,0
"218",1,NA,0
"222",0,NA,0
"3242",0,NA,0
"18",1,1,1
"2531",0,1,0
"23498",0,0,0
"55268",2,0,1
"883",0,1,0
"51166",0,NA,0
"1644",1,NA,0
"4128",0,1,0
"4129",0,1,0
"8604",0,1,0
"10165",1,1,1
"2572",0,NA,0
"2571",0,NA,0
"51380",1,NA,0
"2805",1,2,2
"2806",2,2,2
"8659",1,1,1
"6817",0,0,0
"6799",0,NA,0
"6822",0,NA,0
"6573",0,0,0
"316",0,NA,0
"6570",0,NA,0
"6571",0,0,0
"2348",1,NA,0
"2352",0,0,0
"4125",2,1,2
"53947",1,NA,0
"51146",0,NA,0
"28",0,NA,0
"206358",1,0,0
"6538",1,NA,0
"6529",0,NA,0
"6539",1,0,0
"6540",1,NA,0
"3032",2,2,2
"10449",2,0,0
"38",1,0,0
"3030",2,2,2
"39",2,2,2
"30",1,1,1
"32",1,NA,0
"9197",2,0,1
"79611",0,NA,0
"84532",1,1,1
"64841",1,1,1
"55577",1,2,2
"5238",0,0,0
"9487",1,NA,0
"162417",0,NA,0
"43",0,NA,0
"6572",1,NA,0
"47",2,2,2
"54187",0,2,1
"26503",1,0,0
"54",2,0,1
"140838",0,1,0
"51205",1,1,1
"36",1,2,2
"34",1,2,2
"35",1,2,2
"84129",1,NA,0
"28976",1,2,2
"80724",0,1,0
"27034",1,1,1
"3712",1,0,0
"134526",0,NA,0
"51",0,1,0
"95",1,1,1
"50",2,2,2
"48",1,1,1
"8309",0,NA,0
"52",2,1,2
"55",0,0,0
"788",2,2,2
"55902",0,1,0
"65985",1,1,1
"438",0,NA,0
"1571",0,NA,0
"100",2,2,2
"3177",1,NA,0
"205",0,1,0
"204",2,2,2
"26289",1,0,0
"50808",2,2,2
"262",2,1,2
"113",1,1,1
"109",0,NA,0
"115",0,NA,0
"112",1,0,0
"107",0,NA,0
"114",1,NA,0
"55811",0,NA,0
"196883",0,NA,0
"111",1,NA,0
"108",0,NA,0
"2030",0,1,0
"9154",1,NA,0
"64078",0,0,0
"9153",0,NA,0
"55315",1,0,0
"11164",2,2,2
"952",1,0,0
"1375",2,NA,1
"1374",1,1,1
"126129",0,NA,0
"1376",1,0,0
"9061",2,1,2
"9060",1,1,1
"158",2,2,2
"10331",0,NA,0
"374907",0,0,0
"10678",2,0,1
"79369",0,NA,0
"11041",0,1,0
"93010",0,NA,0
"79814",1,1,1
"56894",1,1,1
"10555",1,0,0
"137964",1,1,1
"56895",0,1,0
"55326",0,0,0
"129642",0,1,0
"64850",0,NA,0
"64902",0,NA,0
"189",0,NA,0
"3074",2,1,2
"3073",1,1,1
"10606",1,2,2
"8402",1,2,2
"1468",0,0,0
"64849",0,NA,0
"1645",0,0,0
"1109",0,NA,0
"6718",0,0,0
"6510",1,1,1
"6509",0,1,0
"56301",0,NA,0
"6520",2,2,2
"211",2,1,2
"23464",0,0,0
"212",0,NA,0
"59272",0,NA,0
"6542",0,NA,0
"6541",0,1,0
"84889",0,NA,0
"54407",2,1,2
"81539",2,1,2
"340024",0,NA,0
"11254",0,NA,0
"57393",0,NA,0
"55089",0,NA,0
"2875",0,NA,0
"84706",0,0,0
"92745",1,1,1
"10991",1,NA,0
"284273",1,0,0
"10327",2,2,2
"8854",0,2,1
"224",1,1,1
"223",2,2,2
"216",0,1,0
"501",0,0,0
"217",0,1,0
"219",1,0,0
"239",0,0,0
"247",1,0,0
"246",0,1,0
"231",2,2,2
"8574",1,1,1
"23600",1,0,0
"115286",1,0,0
"271",2,1,2
"272",0,0,0
"270",0,NA,0
"290",0,0,0
"278",2,NA,1
"277",2,0,0
"279",1,0,0
"280",1,0,0
"6519",1,NA,0
"276",2,0,0
"11136",0,NA,0
"10998",1,NA,0
"113451",1,NA,0
"9057",2,1,2
"384",0,0,0
"445",2,0,0
"83884",0,NA,0
"10166",0,1,0
"410",2,1,2
"427",1,1,1
"9963",1,NA,0
"9962",1,NA,0
"80150",1,0,0
"440",1,1,1
"790",0,0,0
"6505",0,NA,0
"6512",0,NA,0
"6511",0,NA,0
"6507",0,0,0
"6506",0,0,0
"9296",2,1,2
"51606",2,0,1
"533",2,NA,1
"90423",1,0,0
"528",1,1,1
"525",1,NA,0
"10312",2,0,1
"127124",0,NA,0
"245973",0,NA,0
"50617",0,NA,0
"9114",2,1,2
"23545",1,1,1
"8992",2,NA,1
"535",1,1,1
"527",1,1,1
"526",2,2,2
"523",1,2,2
"529",2,2,2
"9550",2,2,2
"51382",2,1,2
"245972",0,0,0
"957",1,NA,0
"956",0,NA,0
"955",0,NA,0
"953",1,1,1
"954",0,NA,0
"377841",0,NA,0
"293",2,2,2
"291",0,1,0
"292",2,2,2
"4126",0,1,0
"8706",0,NA,0
"10317",2,NA,1
"84002",0,NA,0
"3141",0,1,0
"140679",0,NA,0
"8424",0,NA,0
"53630",0,NA,0
"635",0,0,0
"23743",0,NA,0
"10599",0,NA,0
"1244",0,NA,0
"8714",0,1,0
"28234",0,NA,0
"645",1,2,2
"644",2,2,2
"9488",2,0,1
"10380",0,2,1
"686",0,0,0
"8884",1,0,0
"80704",0,NA,0
"51733",0,NA,0
"7108",1,1,1
"50814",1,1,1
"3295",1,2,2
"6307",2,1,2
"493",2,1,2
"492",0,1,0
"491",0,NA,0
"490",2,1,2
"847",2,2,2
"6543",1,NA,0
"6547",0,NA,0
"6546",0,0,0
"166785",1,1,1
"2538",0,NA,0
"92579",0,0,0
"1373",0,0,0
"873",1,2,2
"10423",2,1,2
"8760",2,1,2
"1040",0,NA,0
"56994",1,0,0
"10390",1,1,1
"64781",2,0,1
"10087",2,1,2
"6565",0,NA,0
"9023",1,NA,0
"1103",1,NA,0
"162466",0,0,0
"9468",0,NA,0
"5130",1,1,1
"6579",0,NA,0
"6555",0,NA,0
"6554",1,NA,0
"55349",1,0,0
"1120",1,1,1
"1119",0,NA,0
"60482",0,NA,0
"6582",0,NA,0
"6584",1,NA,0
"6820",0,NA,0
"10948",2,1,2
"19",0,0,0
"1118",0,0,0
"27159",0,NA,0
"54682",0,NA,0
"9058",0,NA,0
"6576",2,2,2
"1159",1,0,0
"548596",1,0,0
"1160",0,NA,0
"1158",0,0,0
"1152",0,1,0
"5172",0,NA,0
"65010",1,NA,0
"54675",1,NA,0
"10559",1,1,1
"55907",2,2,2
"8034",1,1,1
"8824",2,NA,1
"51805",0,0,0
"51004",1,0,0
"10229",1,1,1
"2650",0,0,0
"9245",0,NA,0
"51301",0,0,0
"192134",0,NA,0
"386757",2,NA,1
"6535",0,NA,0
"1384",1,1,1
"6583",0,0,0
"1431",2,2,2
"54677",1,0,0
"8140",1,0,0
"23428",0,NA,0
"1036",0,NA,0
"23657",0,0,0
"57379",0,0,0
"978",0,0,0
"7371",0,0,0
"83549",2,0,1
"51727",2,2,2
"129607",1,1,1
"160851",1,1,1
"8526",0,0,0
"1606",2,2,2
"8527",2,0,1
"1607",0,1,0
"1608",1,0,0
"1609",1,0,0
"8525",1,1,1
"9162",0,NA,0
"1610",0,NA,0
"51022",0,NA,0
"2745",2,2,2
"8528",0,NA,0
"10455",0,1,0
"1632",1,2,2
"1633",2,2,2
"1638",0,NA,0
"6319",0,0,0
"9415",0,2,1
"3992",1,1,1
"8694",1,1,1
"84649",1,0,0
"1716",1,1,1
"6513",2,1,2
"6517",0,NA,0
"6515",2,1,2
"1718",1,1,1
"1581",0,NA,0
"1717",1,1,1
"8560",2,1,2
"123099",0,NA,0
"11309",0,0,0
"6783",0,1,0
"1723",1,0,0
"1809",1,NA,0
"1808",1,2,2
"1807",0,NA,0
"23539",1,NA,0
"2224",2,2,2
"29958",0,NA,0
"60386",1,1,1
"84920",0,1,0
"79087",0,1,0
"26002",0,NA,0
"1621",0,0,0
"7299",0,NA,0
"6530",0,NA,0
"6581",0,NA,0
"669",1,1,1
"5224",1,NA,0
"5223",2,2,2
"4597",1,0,0
"51071",1,1,1
"1806",2,1,2
"7083",1,0,0
"7084",1,0,0
"1854",2,2,2
"3704",2,2,2
"10682",2,1,2
"1892",2,2,2
"549",1,0,0
"1962",0,0,0
"1891",2,0,0
"11001",1,0,0
"28231",0,NA,0
"53919",0,NA,0
"10257",0,1,0
"28232",2,NA,1
"2109",2,2,2
"2108",2,0,0
"2110",0,0,0
"55500",0,1,0
"55224",1,NA,0
"8790",0,1,0
