"","GSM663128","GSM663132","GSM1511438","GSM1511439","GSM1511440","GSM1511441","GSM1511442","GSM1511443","GSM1906878","GSM1906879","GSM1906880"
"314",1,0,1,1,1,0,0,0,0,0,1
"26",0,0,0,1,0,0,0,0,0,0,0
"8639",1,0,1,0,1,0,0,1,0,1,1
"1591",0,0,0,0,0,0,0,0,0,0,0
"1594",0,1,0,1,0,0,1,0,1,0,0
"10993",1,0,1,1,0,0,0,0,1,1,0
"6818",1,1,1,1,1,1,1,1,1,1,1
"89874",0,0,0,0,0,0,0,0,0,0,0
"3945",1,1,1,1,1,1,1,1,1,1,1
"3948",0,0,0,0,0,0,0,0,0,0,0
"55293",1,0,0,1,1,1,0,1,1,0,0
"160287",0,0,0,1,0,0,0,0,0,0,0
"92483",0,0,0,0,0,0,0,0,0,0,0
"3939",1,1,1,1,1,1,1,1,1,1,1
"9194",0,1,0,0,0,1,1,1,0,1,0
"6566",0,1,0,1,0,0,1,1,1,0,1
"9123",0,1,1,0,1,0,0,0,1,1,0
"57835",1,0,1,0,1,1,0,1,1,0,0
"8671",0,1,0,1,0,1,1,1,1,0,0
"1738",1,1,0,1,1,1,1,1,1,1,1
"4967",1,1,1,1,1,1,1,1,1,1,1
"1743",1,1,1,1,1,1,1,1,1,1,1
"8050",0,1,0,1,1,1,1,1,1,1,1
"128",0,1,0,0,1,1,0,1,0,1,0
"137872",1,1,1,1,0,1,1,1,1,1,1
"130",0,0,0,0,0,0,0,0,0,0,0
"127",0,0,1,0,0,0,0,0,0,0,0
"131",0,0,0,0,0,0,0,0,0,0,0
"126",0,0,0,0,0,0,0,0,0,0,0
"124",0,0,0,0,0,0,0,0,0,0,0
"125",0,0,0,0,0,0,0,0,0,0,0
"1312",1,0,1,0,0,0,0,0,0,1,0
"117247",0,1,0,0,1,1,0,1,0,1,0
"220",0,0,0,0,0,0,0,0,0,0,0
"221",0,1,1,1,1,0,0,0,0,1,0
"218",0,1,0,1,0,0,0,0,1,0,0
"222",0,0,0,0,0,0,0,0,0,0,0
"3242",0,0,0,0,0,0,0,0,0,0,0
"18",1,0,0,1,1,1,1,1,1,0,1
"2531",0,1,0,0,1,1,1,1,0,1,0
"23498",1,0,1,0,1,0,0,0,1,1,0
"55268",1,1,1,1,1,1,1,1,1,1,1
"883",0,1,1,1,0,1,1,0,1,0,0
"51166",0,0,0,0,0,0,0,0,0,0,0
"1644",0,1,1,1,0,0,0,0,1,0,1
"4128",0,0,0,0,0,0,0,0,0,0,0
"4129",0,0,0,0,0,0,0,0,0,0,0
"8604",0,1,1,0,0,1,0,1,1,1,0
"10165",0,1,0,0,1,1,1,1,1,0,1
"2572",0,0,0,0,0,0,0,0,0,0,0
"2571",0,0,0,0,0,0,0,0,0,0,0
"51380",1,0,0,0,1,1,1,1,0,1,1
"2805",1,0,1,1,0,1,0,1,1,1,0
"2806",1,1,1,1,1,1,1,1,1,1,1
"8659",0,1,1,1,1,0,0,0,1,0,0
"6817",1,0,1,0,1,1,0,0,0,0,1
"6799",1,0,1,0,1,1,0,0,0,1,0
"6822",0,0,0,0,0,0,0,0,0,0,0
"6573",0,1,1,0,1,0,0,0,0,0,1
"316",0,0,0,0,0,0,0,0,0,0,0
"6570",0,0,0,0,0,0,0,0,0,0,0
"6571",1,0,0,1,1,0,1,1,1,0,1
"2348",0,0,1,0,0,0,0,0,0,0,0
"2352",0,1,1,0,1,0,0,1,1,0,0
"4125",1,1,1,1,1,1,1,1,1,1,1
"53947",1,0,1,1,0,0,0,0,1,0,0
"51146",0,0,0,0,0,0,0,0,0,0,0
"28",0,1,1,1,0,0,1,0,0,1,0
"206358",0,1,1,1,0,0,0,0,1,0,0
"6538",0,0,0,1,0,0,0,0,0,0,0
"6529",0,0,0,0,0,0,0,0,0,0,0
"6539",0,1,0,0,1,0,0,1,0,0,0
"6540",0,1,1,0,0,1,0,1,0,1,0
"3032",1,1,0,1,1,1,1,1,1,1,1
"10449",1,0,0,1,0,1,1,1,1,0,0
"38",0,1,1,1,0,1,0,0,1,1,0
"3030",1,1,1,1,1,1,1,1,1,1,1
"39",1,0,0,0,1,1,0,1,1,0,1
"30",1,0,0,0,1,1,0,0,0,1,0
"32",0,1,0,0,1,1,1,0,1,0,0
"9197",1,1,0,0,1,1,1,1,1,1,1
"79611",0,0,0,0,0,0,0,0,0,0,0
"84532",0,1,1,1,1,0,0,0,1,1,1
"64841",0,1,0,0,1,1,1,1,1,0,1
"55577",1,1,1,1,1,1,1,1,1,1,1
"5238",0,1,1,1,0,0,0,1,1,0,0
"9487",1,0,0,1,1,0,1,1,0,1,0
"162417",1,0,0,1,0,0,1,0,1,0,0
"43",1,0,1,1,1,0,0,0,1,0,1
"6572",1,0,0,1,1,0,0,0,1,0,0
"47",1,1,1,1,1,1,1,1,1,1,1
"54187",0,1,0,0,0,1,1,1,0,1,0
"26503",0,1,0,0,0,1,1,1,1,1,0
"54",0,1,0,1,1,0,1,0,1,0,1
"140838",0,1,0,0,0,1,1,1,0,1,0
"51205",1,0,0,0,1,1,1,1,1,0,0
"36",0,1,0,0,0,1,1,1,1,0,0
"34",1,0,0,0,1,1,1,1,0,0,1
"35",1,0,1,1,0,0,0,0,1,0,1
"84129",1,1,1,0,1,1,1,1,1,1,1
"28976",0,1,0,0,1,1,1,0,0,1,0
"80724",1,0,1,1,0,0,1,0,1,0,0
"27034",1,1,0,0,1,1,1,1,1,1,1
"3712",1,0,1,1,0,0,0,0,0,1,0
"134526",0,0,0,0,0,0,0,0,0,0,0
"51",0,1,0,0,0,1,1,1,1,0,0
"95",1,0,1,1,0,0,0,0,1,0,0
"50",1,1,1,1,1,1,1,1,1,1,1
"48",0,1,0,0,1,1,0,1,0,1,1
"8309",0,0,0,0,0,0,0,0,0,0,0
"52",1,1,1,1,1,1,1,1,1,1,1
"55",0,0,0,0,0,0,0,0,0,0,0
"788",1,0,0,0,1,1,1,1,1,0,1
"55902",1,0,1,0,0,0,1,0,0,1,1
"65985",1,0,1,0,1,1,1,1,0,1,0
"438",0,0,0,0,0,0,0,0,0,0,0
