"","GSM2579317","GSM2579321","GSM2579325","GSM2579329","GSM2579333","GSM2579337"
"314",0,1,0,0,0,0
"26",1,1,1,1,1,1
"8639",0,1,0,0,0,0
"1591",1,0,0,0,0,0
"1594",0,0,0,0,0,1
"10993",1,1,1,1,1,1
"6818",1,1,1,1,1,1
"89874",1,1,1,1,1,1
"3945",1,1,1,1,1,1
"3948",0,0,0,1,0,0
"55293",0,0,1,1,1,1
"160287",1,1,1,0,0,1
"92483",0,0,0,1,0,0
"3939",1,1,1,1,1,1
"9194",1,0,1,0,0,1
"6566",0,1,0,1,1,0
"9123",0,0,1,1,0,1
"57835",0,0,1,1,0,1
"8671",1,1,0,1,0,0
"1738",1,1,1,1,1,1
"4967",1,1,1,1,1,1
"1743",1,1,1,0,1,0
"8050",0,1,1,1,1,0
"128",1,1,1,0,1,1
"137872",1,0,1,0,1,1
"130",1,0,0,0,0,1
"127",1,1,1,1,1,1
"131",1,1,1,1,1,1
"126",1,1,1,1,1,1
"124",1,1,1,1,1,1
"125",1,1,1,1,1,1
"1312",1,1,1,1,1,1
"117247",0,1,0,1,1,1
"220",1,1,1,1,1,1
"221",0,0,1,1,0,0
"218",1,1,1,1,1,1
"222",1,1,1,1,1,1
"3242",0,0,0,1,1,1
"18",0,0,0,1,0,1
"2531",0,1,0,1,0,0
"23498",0,0,1,0,0,0
"55268",0,0,1,0,1,1
"883",0,1,0,0,1,0
"51166",1,1,1,1,1,1
"1644",1,1,1,1,1,1
"4128",1,1,1,1,1,1
"4129",1,1,1,1,1,1
"8604",1,0,0,0,1,0
"10165",0,1,0,0,1,1
"2572",1,1,1,1,1,1
"2571",1,1,1,1,1,1
"51380",1,0,1,1,0,1
"2805",1,0,1,1,1,0
"2806",1,1,1,1,1,1
"8659",1,1,0,0,1,1
"6817",1,0,1,0,0,1
"6799",0,0,1,0,0,1
"6822",1,1,1,1,1,1
"6573",0,0,1,0,1,1
"316",1,1,1,1,1,1
"6570",1,1,1,1,1,1
"6571",0,1,1,0,0,0
"2348",1,1,1,1,1,1
"2352",0,0,1,0,0,1
"4125",1,1,1,1,0,1
"53947",1,1,1,1,1,1
"51146",1,1,1,1,1,1
"28",1,0,1,0,1,0
"206358",1,0,1,1,0,1
"6538",1,1,1,1,1,1
"6529",1,1,1,1,1,1
"6539",1,1,1,1,1,1
"6540",1,1,1,1,1,1
"3032",1,1,1,1,1,1
"10449",1,1,1,1,1,1
"38",1,1,0,1,0,0
"3030",1,1,1,1,1,1
