"","GSM900567","GSM900568","GSM900569","GSM900560","GSM900561","GSM900562","GSM1293941","GSM1293942","GSM1293943","GSM1293948","GSM1293949","GSM1293950","GSM2151972","GSM2151974","GSM2151976"
"314",1,1,0,1,0,0,1,1,1,1,0,0,1,1,0
"26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8639",1,1,0,1,1,0,1,1,0,1,0,0,1,1,0
"1591",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1594",0,0,1,1,1,0,1,1,1,1,0,0,1,0,0
"10993",1,1,0,1,1,0,1,1,1,0,1,0,1,0,0
"6818",1,0,0,1,1,0,0,0,0,0,1,1,1,1,1
"89874",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3945",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3948",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55293",1,1,0,0,1,0,1,1,0,1,1,0,1,0,0
"160287",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"92483",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3939",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"9194",1,1,0,0,1,1,1,0,0,1,1,0,0,0,0
"6566",0,1,1,1,1,0,1,1,1,1,0,0,0,0,1
"9123",0,1,1,0,1,0,1,1,1,0,1,0,1,0,1
"57835",1,1,0,1,1,0,0,0,0,0,1,1,1,1,0
"8671",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1738",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4967",1,1,0,1,0,0,0,0,0,0,1,1,0,1,0
"1743",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"8050",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"128",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"137872",0,1,1,0,0,1,0,0,0,0,1,1,0,0,1
"130",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"127",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"131",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"126",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"124",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"125",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1312",1,0,0,1,0,0,1,1,1,1,0,0,1,0,1
"117247",1,1,0,0,1,1,0,0,0,0,1,1,1,0,1
"220",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"221",1,1,0,1,0,1,1,0,0,0,1,1,1,0,1
"218",1,0,0,1,1,0,0,1,0,0,0,1,1,1,0
"222",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3242",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",0,0,1,1,0,0,0,0,0,0,1,0,1,1,0
"2531",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
"23498",0,0,1,1,0,1,0,1,1,0,1,1,0,1,1
"55268",1,0,1,1,1,0,0,0,0,0,1,1,0,0,0
"883",0,1,1,0,0,1,0,0,0,0,1,1,1,1,0
"51166",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1644",1,0,0,0,1,0,0,1,1,0,0,0,1,1,0
"4128",0,1,1,0,1,1,1,1,1,1,0,0,1,0,0
"4129",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8604",1,1,1,0,1,1,1,1,1,1,0,0,0,1,0
"10165",1,1,0,0,1,0,1,0,0,1,0,0,0,1,1
"2572",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2571",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"51380",0,0,1,1,0,0,0,0,0,0,1,1,0,1,0
"2805",1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
"2806",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"8659",1,0,0,1,0,1,1,1,1,0,0,0,1,0,1
"6817",1,0,1,1,1,0,1,0,0,1,0,0,0,1,0
"6799",0,0,1,1,1,0,0,0,0,0,1,1,0,0,1
"6822",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6573",1,0,1,0,0,1,1,1,1,1,0,0,1,0,1
"316",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6570",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6571",1,1,0,1,1,0,0,1,0,1,1,0,1,1,0
"2348",1,1,0,0,0,1,0,1,1,0,1,1,0,1,1
"2352",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"4125",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"53947",1,1,0,0,1,0,0,1,0,0,1,1,1,1,0
"51146",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",0,0,0,0,0,0,1,0,0,1,0,1,1,1,0
"206358",0,1,1,0,0,1,1,1,1,1,0,0,1,1,1
"6538",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6529",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6539",1,0,1,0,0,1,0,0,0,0,1,1,1,0,1
"6540",0,1,0,1,0,1,1,0,1,0,0,1,1,0,1
"3032",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"10449",0,1,1,0,0,1,1,1,0,1,0,0,1,1,0
"38",0,1,1,0,1,0,1,1,1,1,0,0,1,1,1
"3030",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"39",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
"30",0,1,1,1,1,0,1,0,1,1,0,0,1,0,0
"32",1,0,1,1,1,0,0,0,0,0,1,1,1,0,0
"9197",1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
"79611",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84532",0,1,1,0,0,1,0,0,0,0,1,1,1,1,0
"64841",1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
"55577",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"5238",1,1,0,1,1,0,1,0,0,1,0,0,0,1,1
"9487",0,1,1,0,1,1,0,0,0,0,1,1,0,1,0
"162417",1,0,0,1,1,0,0,1,1,0,0,1,1,0,1
"43",1,0,1,1,0,1,0,1,1,0,1,1,1,0,1
"6572",0,0,1,0,1,0,1,0,1,0,1,0,1,0,1
"47",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"54187",1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
"26503",1,1,0,1,1,1,1,0,0,0,1,1,1,1,0
"54",0,1,1,1,0,1,0,0,0,1,0,1,1,1,0
"140838",1,1,0,0,0,1,1,1,1,1,0,0,1,0,0
"51205",0,1,0,1,1,0,0,0,0,0,1,1,1,0,1
"36",0,1,1,0,0,1,1,0,0,1,1,1,1,0,1
"34",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"35",0,0,1,0,0,1,1,1,1,0,0,0,1,1,0
"84129",1,0,1,1,1,0,0,0,0,1,1,1,0,0,0
"28976",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
"80724",0,1,1,0,1,1,0,0,0,0,1,1,1,0,1
"27034",1,1,0,1,1,0,0,0,0,0,1,1,1,1,0
