"","GSM2579316","GSM2579320","GSM2579324","GSM2579328","GSM2579332","GSM2579336","GSM2579317","GSM2579321","GSM2579325","GSM2579329","GSM2579333","GSM2579337"
"26",0,0,0,0,1,0,0,0,0,0,0,0
"314",0,1,0,0,1,0,0,1,0,0,0,0
"8639",0,0,0,0,0,1,0,1,0,0,0,0
"1591",1,1,0,1,1,1,1,0,0,0,0,0
"1594",1,0,0,0,1,1,0,0,0,0,0,1
"10993",0,0,0,0,0,1,0,0,0,0,0,0
"6818",1,1,1,1,1,1,1,1,1,1,1,1
"89874",0,0,1,0,1,1,0,0,0,0,0,0
"55293",0,0,0,0,0,0,1,1,1,1,1,1
"3945",1,1,1,1,1,1,1,1,1,1,1,1
"92483",0,0,0,0,0,0,0,0,0,1,0,0
"160287",0,1,1,0,0,0,1,1,1,0,0,1
"3948",0,0,0,1,0,0,0,0,0,1,0,0
"3939",1,1,1,1,1,1,1,1,1,1,1,1
"134526",0,0,0,0,0,0,0,0,0,0,1,0
"51",0,1,1,1,1,0,0,1,1,0,0,0
"95",0,0,1,0,1,0,1,0,0,1,1,1
"50",1,1,1,1,1,1,1,0,1,1,1,1
"48",1,0,1,0,1,1,1,1,1,0,0,1
"8309",1,1,1,1,1,1,1,1,1,1,1,1
"52",1,1,1,1,1,1,1,1,1,1,1,1
"55",1,1,1,1,1,1,1,1,1,1,1,1
"788",0,1,0,1,1,0,1,1,1,1,1,1
"9194",1,1,1,1,1,0,1,0,1,0,0,0
"55902",1,1,1,0,1,1,1,0,1,0,0,0
"9123",1,0,0,0,0,1,0,0,1,1,1,1
"6566",0,1,0,1,1,0,0,1,0,1,1,0
"57835",0,1,0,1,0,1,0,0,0,0,0,1
"65985",0,1,1,0,1,0,1,0,0,1,0,1
"8671",0,0,0,1,0,0,1,1,0,1,0,0
"438",0,0,0,1,1,0,1,0,0,0,1,0
"1571",1,1,0,1,0,0,1,0,0,0,1,1
"4967",1,1,1,1,1,1,1,1,1,1,1,1
"100",1,1,1,1,1,1,1,1,1,1,1,1
"8050",1,1,1,1,0,1,0,1,1,1,1,0
"1738",1,1,1,1,1,1,1,1,1,1,1,1
"3177",1,1,0,0,1,0,1,1,0,0,0,0
"1743",0,1,1,0,0,0,1,1,1,0,1,0
"126",1,1,1,1,1,1,1,1,1,1,1,1
"205",1,0,0,0,0,0,1,0,0,1,0,0
"128",1,1,1,1,1,1,1,1,1,0,1,1
"204",1,1,1,1,1,1,1,1,1,1,1,1
"130",0,0,0,0,0,0,1,0,0,0,0,1
"127",0,0,1,0,1,0,0,0,0,0,0,0
"131",1,1,1,1,1,1,1,1,1,1,1,1
"124",1,1,1,1,1,1,1,1,1,1,1,1
"125",1,1,1,1,1,1,1,1,1,1,1,1
"26289",1,1,1,1,1,0,1,1,0,0,0,0
"137872",0,1,1,0,1,0,1,0,1,0,1,1
"1312",1,1,1,1,1,1,1,1,1,1,1,1
"50808",1,1,1,1,0,1,1,1,1,1,0,1
"262",1,1,1,1,1,1,1,1,1,1,1,1
"117247",0,0,1,1,1,1,0,1,0,0,1,0
"222",1,1,1,1,1,1,1,1,1,1,1,1
"113",1,1,0,1,1,1,0,1,1,0,0,0
"218",1,1,1,1,1,1,1,1,1,1,1,1
"108",0,0,0,0,0,0,0,0,1,0,0,0
"220",1,1,1,1,1,1,1,1,1,1,1,1
"221",0,0,0,0,0,0,0,0,1,1,0,0
"114",1,0,0,0,0,0,0,0,0,0,0,0
"111",0,0,0,1,1,0,0,0,0,0,0,0
"3242",0,1,1,1,0,0,0,0,0,1,1,1
"115",1,0,1,0,0,0,1,0,1,1,0,1
"18",0,0,0,1,0,1,0,0,0,1,0,1
"109",1,1,0,1,0,1,0,0,0,0,1,1
"55811",1,0,0,0,0,0,0,0,0,0,0,0
"196883",1,1,1,0,0,1,0,1,1,0,1,0
"2531",1,0,1,0,0,0,0,1,0,1,1,1
"107",0,1,0,0,0,0,0,0,0,0,1,0
"23498",0,0,1,0,0,0,0,0,1,0,0,0
"112",1,1,1,1,1,1,1,1,1,1,1,1
"55268",1,0,0,1,0,1,0,0,1,0,1,1
"51166",1,1,1,1,1,1,1,1,1,1,1,1
"2030",1,0,1,0,1,0,1,1,0,1,0,1
"883",0,1,1,0,1,1,0,1,0,0,1,0
"1644",1,1,1,1,1,1,1,1,1,1,1,1
"4129",1,1,1,1,1,1,1,1,1,1,1,1
"9154",1,1,1,1,1,1,1,1,1,1,1,1
"64078",0,0,0,0,0,0,0,0,0,1,1,0
"4128",0,0,0,0,1,0,0,0,0,0,0,0
"9153",0,1,0,1,0,0,1,0,0,1,0,0
"10165",1,1,0,1,1,1,0,1,0,0,1,1
"55315",1,1,0,0,0,0,1,0,1,1,1,0
"8604",0,1,0,1,1,1,1,0,0,1,1,0
"245972",1,1,1,1,1,1,1,1,1,1,1,1
"2572",1,1,1,1,1,1,1,1,1,1,1,1
"9114",1,1,1,1,1,1,1,1,1,1,1,1
"11164",1,1,1,1,1,1,1,1,1,1,1,1
"2571",0,0,0,1,0,1,0,0,0,0,0,0
"952",0,1,1,1,0,1,1,0,1,0,0,1
"51380",0,1,1,1,0,1,0,0,0,1,0,1
"1375",0,0,1,0,1,1,0,0,1,1,1,0
"533",1,1,1,1,1,1,1,1,1,1,1,1
"2805",1,1,1,1,1,1,1,0,1,1,1,0
"50617",0,0,0,0,1,1,1,0,0,0,0,0
"1374",1,1,0,1,0,0,1,1,1,1,0,0
"2806",1,1,1,1,1,1,1,1,1,1,1,1
"8659",0,1,0,0,0,1,1,1,0,0,1,1
"126129",0,1,0,1,0,0,0,0,0,0,0,1
"10312",1,1,1,1,1,1,1,1,1,1,1,1
"6817",0,1,0,1,1,1,1,0,1,0,0,1
"535",0,1,1,1,1,1,0,0,1,1,0,1
