"","GSM1209561","GSM1209562","GSM1209563","GSM2460434","GSM2460438","GSM2460442","GSM2460446","GSM2460450","GSM2460454","GSM2607420","GSM2607421","GSM2607422","GSM2607423","GSM2607424","GSM2607425"
"314",1,0,1,1,1,0,0,0,1,1,0,1,1,0,1
"26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8639",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"1591",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1594",1,1,0,0,0,1,1,0,0,1,0,1,0,0,1
"10993",0,1,1,1,1,0,0,0,0,1,1,1,0,1,0
"6818",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"89874",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3945",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3948",0,0,1,0,1,1,1,1,0,1,1,0,0,0,0
"55293",0,1,1,0,0,1,1,1,1,0,0,1,1,0,0
"160287",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"92483",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3939",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"9194",1,0,1,0,0,1,1,1,1,1,1,1,0,0,0
"6566",1,0,0,1,0,0,1,1,1,1,1,1,0,0,0
"9123",1,0,1,1,1,1,0,0,0,0,1,1,1,0,0
"57835",0,0,1,1,1,1,0,0,0,1,1,1,0,0,1
"8671",1,0,0,0,1,0,1,0,0,1,0,1,1,1,0
"1738",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4967",1,0,1,1,1,0,0,0,0,1,1,1,0,1,0
"1743",0,1,1,0,0,1,1,1,1,0,1,0,1,1,1
"8050",0,1,0,0,0,1,1,1,1,1,1,0,0,0,0
"128",0,1,0,0,0,0,1,1,1,0,1,1,1,0,0
"137872",1,1,1,0,1,0,1,0,0,0,0,0,1,1,1
"130",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"127",1,0,1,1,1,1,0,0,0,0,0,1,0,1,1
"131",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"126",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"124",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"125",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1312",0,1,0,1,1,1,0,0,0,1,1,1,0,0,0
"117247",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"220",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"221",0,1,1,1,1,0,0,0,0,1,0,1,0,0,0
"218",0,0,1,0,1,1,0,0,1,0,1,1,1,1,0
"222",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3242",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",0,0,1,0,0,0,1,1,1,0,1,1,1,1,1
"2531",1,0,1,0,0,1,1,1,1,1,1,0,1,0,1
"23498",1,0,1,1,1,1,0,0,0,1,0,1,0,0,0
"55268",1,1,1,0,1,1,1,0,1,1,1,1,0,1,1
"883",0,1,0,1,0,1,0,0,0,1,1,1,0,0,0
