"","ImmProt_T8.CM_01","ImmProt_T8.CM_02","ImmProt_T8.CM_03","ImmProt_T8.CM_04","ImmProt_T8.CM_01_activated","ImmProt_T8.CM_02_activated","ImmProt_T8.CM_03_activated","ImmProt_T8.CM_04_activated"
"314",NA,NA,NA,NA,NA,NA,NA,NA
"26",0,0,1,1,0,0,0,0
"8639",NA,NA,NA,NA,NA,NA,NA,NA
"1591",NA,NA,NA,NA,NA,NA,NA,NA
"1594",0,0,0,0,0,0,0,0
"10993",0,0,0,0,0,0,0,0
"6818",0,1,0,1,1,0,0,1
"89874",NA,NA,NA,NA,NA,NA,NA,NA
"3945",1,1,1,1,1,1,1,1
"3948",NA,NA,NA,NA,NA,NA,NA,NA
"55293",1,0,1,0,0,1,0,1
"160287",NA,NA,NA,NA,NA,NA,NA,NA
"92483",NA,NA,NA,NA,NA,NA,NA,NA
"3939",0,0,0,0,0,0,1,0
"9194",1,1,0,0,1,0,0,1
"6566",0,0,1,1,0,1,0,0
"9123",0,1,1,1,1,0,0,1
"57835",NA,NA,NA,NA,NA,NA,NA,NA
"8671",0,0,0,0,0,0,0,0
"1738",1,1,1,1,1,1,1,1
"4967",1,1,1,1,1,1,1,1
"1743",1,1,1,1,1,1,1,1
"8050",1,0,0,1,0,0,1,1
"128",1,1,1,1,1,1,1,1
"137872",NA,NA,NA,NA,NA,NA,NA,NA
"130",NA,NA,NA,NA,NA,NA,NA,NA
"127",1,1,0,0,0,0,1,1
"131",NA,NA,NA,NA,NA,NA,NA,NA
"126",NA,NA,NA,NA,NA,NA,NA,NA
"124",NA,NA,NA,NA,NA,NA,NA,NA
"125",NA,NA,NA,NA,NA,NA,NA,NA
"1312",1,1,1,1,1,1,1,1
"117247",0,0,0,1,0,0,0,0
"220",NA,NA,NA,NA,NA,NA,NA,NA
"221",0,0,0,0,1,0,1,0
"218",NA,NA,NA,NA,NA,NA,NA,NA
"222",NA,NA,NA,NA,NA,NA,NA,NA
"3242",NA,NA,NA,NA,NA,NA,NA,NA
"18",0,0,1,1,0,1,1,0
"2531",0,1,1,1,1,0,0,0
"23498",0,1,0,1,0,1,0,0
"55268",0,0,1,1,0,1,1,1
"883",1,0,1,0,0,0,1,1
"51166",NA,NA,NA,NA,NA,NA,NA,NA
"1644",NA,NA,NA,NA,NA,NA,NA,NA
"4128",1,0,1,0,0,1,0,1
"4129",1,1,1,1,0,1,1,0
"8604",1,1,1,1,1,1,1,1
"10165",1,0,1,1,0,1,0,0
"2572",NA,NA,NA,NA,NA,NA,NA,NA
"2571",NA,NA,NA,NA,NA,NA,NA,NA
"51380",NA,NA,NA,NA,NA,NA,NA,NA
"2805",1,1,1,1,1,1,1,1
"2806",1,1,1,1,1,1,1,1
"8659",0,1,0,1,0,1,0,0
"6817",0,0,0,1,0,1,0,0
"6799",NA,NA,NA,NA,NA,NA,NA,NA
"6822",NA,NA,NA,NA,NA,NA,NA,NA
"6573",0,0,0,0,0,1,1,1
"316",NA,NA,NA,NA,NA,NA,NA,NA
"6570",NA,NA,NA,NA,NA,NA,NA,NA
"6571",0,0,0,0,0,0,0,0
"2348",NA,NA,NA,NA,NA,NA,NA,NA
"2352",0,0,0,0,0,0,0,0
"4125",1,0,1,0,1,1,0,0
"53947",NA,NA,NA,NA,NA,NA,NA,NA
"51146",NA,NA,NA,NA,NA,NA,NA,NA
"28",NA,NA,NA,NA,NA,NA,NA,NA
"206358",0,0,0,0,0,0,0,0
"6538",NA,NA,NA,NA,NA,NA,NA,NA
"6529",NA,NA,NA,NA,NA,NA,NA,NA
"6539",0,0,0,0,0,0,0,0
"6540",NA,NA,NA,NA,NA,NA,NA,NA
"3032",1,1,1,1,1,1,1,1
"10449",0,0,0,0,0,0,0,0
"38",0,0,0,0,0,1,1,1
"3030",1,1,1,1,1,1,1,1
"39",1,1,1,1,1,1,1,1
"30",1,0,1,1,1,1,1,0
"32",NA,NA,NA,NA,NA,NA,NA,NA
"9197",0,0,0,1,0,0,1,1
"79611",NA,NA,NA,NA,NA,NA,NA,NA
"84532",1,0,1,1,1,1,0,0
"64841",1,0,1,0,0,0,1,1
"55577",1,1,1,1,1,1,1,1
"5238",1,0,1,0,0,1,1,1
"9487",NA,NA,NA,NA,NA,NA,NA,NA
"162417",NA,NA,NA,NA,NA,NA,NA,NA
"43",NA,NA,NA,NA,NA,NA,NA,NA
"6572",NA,NA,NA,NA,NA,NA,NA,NA
"47",1,1,1,1,1,1,1,1
"54187",1,0,1,1,1,1,1,1
"26503",0,0,1,1,0,0,0,0
"54",1,1,0,1,1,0,0,0
"140838",0,0,0,0,1,0,1,0
"51205",1,0,1,0,1,0,1,1
"36",1,0,1,1,1,1,1,1
"34",1,1,1,1,1,1,1,1
"35",1,1,1,1,1,1,1,1
"84129",NA,NA,NA,NA,NA,NA,NA,NA
"28976",1,0,1,1,1,0,1,1
"80724",1,0,1,0,1,1,1,0
"27034",1,0,1,0,0,1,0,1
"3712",1,1,1,1,1,1,1,1
"134526",NA,NA,NA,NA,NA,NA,NA,NA
"51",1,0,0,1,0,1,1,0
"95",1,0,1,1,1,0,1,0
"50",1,1,1,1,1,1,1,1
"48",1,0,1,1,0,1,0,1
"8309",NA,NA,NA,NA,NA,NA,NA,NA
"52",0,0,0,0,0,0,0,0
"55",0,0,1,0,0,0,0,0
"788",1,1,1,1,1,1,1,1
"55902",0,1,1,1,0,0,1,0
"65985",1,0,1,0,0,1,0,1
"438",NA,NA,NA,NA,NA,NA,NA,NA
"1571",NA,NA,NA,NA,NA,NA,NA,NA
"100",1,1,1,1,1,1,1,1
"3177",NA,NA,NA,NA,NA,NA,NA,NA
"205",0,0,1,1,1,0,0,1
"204",1,1,1,1,1,1,1,1
"26289",1,1,0,0,0,0,0,0
"50808",1,1,1,1,1,1,1,1
"262",0,0,0,0,0,1,0,0
"113",0,1,1,0,1,1,0,1
"109",NA,NA,NA,NA,NA,NA,NA,NA
"115",NA,NA,NA,NA,NA,NA,NA,NA
"112",0,0,0,0,0,0,1,0
"107",NA,NA,NA,NA,NA,NA,NA,NA
"114",NA,NA,NA,NA,NA,NA,NA,NA
"55811",NA,NA,NA,NA,NA,NA,NA,NA
"196883",NA,NA,NA,NA,NA,NA,NA,NA
"111",NA,NA,NA,NA,NA,NA,NA,NA
"108",NA,NA,NA,NA,NA,NA,NA,NA
"2030",0,1,1,0,0,0,0,1
"9154",NA,NA,NA,NA,NA,NA,NA,NA
"64078",0,0,0,0,0,0,1,0
"9153",NA,NA,NA,NA,NA,NA,NA,NA
"55315",0,0,1,1,0,0,0,0
"11164",1,1,1,1,1,1,1,1
"952",0,1,1,1,1,1,0,0
"1375",NA,NA,NA,NA,NA,NA,NA,NA
"1374",0,0,1,1,0,1,0,0
"126129",NA,NA,NA,NA,NA,NA,NA,NA
"1376",1,0,0,0,0,0,1,1
"9061",1,0,0,0,0,1,0,1
"9060",0,0,0,0,1,0,1,1
"158",1,1,1,1,1,1,1,1
"10331",NA,NA,NA,NA,NA,NA,NA,NA
"374907",0,0,0,0,0,0,0,0
