"","GSM2359397","GSM2359398","GSM2859440","GSM2859469","GSM2859498"
"314",1,0,1,0,1
"26",0,0,0,0,0
"8639",1,0,0,0,0
"1591",0,1,0,1,0
"1594",0,1,0,1,0
"10993",1,0,0,1,0
"6818",0,1,1,0,1
"89874",0,0,0,0,0
"3945",1,0,1,0,1
"3948",0,0,1,0,0
"55293",0,1,1,0,0
"160287",0,1,0,1,1
"92483",0,0,0,0,1
"3939",1,1,1,1,1
"9194",1,0,0,1,0
"6566",0,1,0,1,0
"9123",0,1,1,1,0
"57835",1,0,1,0,1
"8671",0,1,1,1,0
"1738",1,1,1,1,1
"4967",1,1,1,1,1
"1743",1,1,1,1,1
"8050",0,1,0,1,0
"128",1,1,1,1,1
"137872",0,1,1,0,0
"130",0,1,1,0,1
"127",0,0,0,0,0
"131",0,0,0,0,0
"126",0,0,0,0,0
"124",0,0,0,0,0
"125",0,0,0,0,0
"1312",1,0,1,0,1
"117247",0,1,1,0,0
"220",0,0,0,0,0
"221",1,0,1,0,1
"218",0,0,0,0,0
"222",1,0,0,0,0
"3242",1,0,0,0,1
"18",1,0,0,1,1
"2531",1,0,1,0,0
"23498",1,0,1,0,1
"55268",0,1,0,1,1
"883",1,0,0,0,1
"51166",0,0,0,0,0
"1644",0,0,0,0,0
"4128",1,0,0,0,1
"4129",1,0,0,0,0
"8604",0,1,0,0,1
"10165",1,0,0,1,1
"2572",0,0,0,0,0
"2571",0,0,0,0,0
"51380",1,0,1,1,0
"2805",0,1,0,1,1
"2806",1,1,1,1,1
"8659",1,0,1,0,0
"6817",0,1,1,0,1
"6799",0,1,1,0,0
"6822",0,0,0,0,0
"6573",0,1,0,0,1
"316",0,0,0,0,0
"6570",0,0,0,0,0
"6571",0,1,1,1,0
"2348",0,0,0,0,0
"2352",0,1,1,1,1
"4125",1,1,1,1,1
"53947",0,0,0,0,0
"51146",1,0,0,0,0
"28",1,0,1,0,0
"206358",0,1,0,0,1
"6538",0,0,0,0,0
"6529",0,0,0,0,0
"6539",1,0,1,1,1
"6540",1,0,0,1,0
"3032",1,1,1,1,1
"10449",1,0,0,1,0
"38",1,0,0,0,1
"3030",1,1,1,1,1
"39",0,1,0,0,1
"30",1,1,1,0,1
"32",0,1,0,1,1
"9197",1,0,0,1,1
"79611",0,0,0,0,0
"84532",1,1,1,1,0
"64841",0,1,0,1,0
"55577",1,0,0,1,1
"5238",1,0,1,1,0
"9487",0,1,1,0,0
"162417",0,1,1,0,0
"43",0,1,1,0,0
"6572",0,0,0,0,0
"47",1,1,1,1,1
"54187",0,1,0,0,1
"26503",1,0,1,1,0
"54",1,1,1,0,1
"140838",0,1,1,0,1
"51205",1,0,1,0,0
"36",1,1,1,1,1
"34",1,1,1,1,1
"35",1,0,1,1,0
"84129",0,1,0,1,1
"28976",0,1,0,1,0
"80724",1,0,0,1,0
"27034",1,1,1,1,1
"3712",1,1,1,1,1
"134526",1,0,1,0,0
"51",1,0,0,1,1
"95",1,0,0,1,1
"50",1,1,1,1,1
"48",0,1,0,1,1
"8309",0,0,0,0,1
"52",1,1,1,1,1
"55",1,0,0,0,0
"788",1,1,0,1,1
"55902",1,0,1,0,0
"65985",0,1,1,1,0
"438",0,1,0,1,0
"1571",0,1,1,0,0
"100",1,1,1,1,1
"3177",1,0,1,0,1
"205",0,0,0,0,0
"204",1,1,0,1,1
"26289",1,0,0,1,1
"50808",1,1,1,1,1
"262",1,1,1,1,1
"113",1,1,1,1,1
"109",1,0,1,0,0
"115",0,1,1,0,0
"112",0,0,0,0,0
"107",1,0,0,0,1
"114",0,0,0,0,0
"55811",1,0,0,1,0
"196883",1,0,1,1,0
"111",0,1,0,0,1
"108",0,0,0,0,0
"2030",1,0,0,1,0
"9154",0,0,0,0,0
"64078",0,0,0,0,0
"9153",0,0,0,0,0
"55315",1,0,1,0,1
"11164",1,1,1,1,1
"952",0,1,0,1,1
"1375",1,0,0,1,1
"1374",1,0,0,1,1
