"","GSM2859413","GSM2859441","GSM2859470","GSM2859499","GSM3109311","GSM3109312","GSM3109313","GSM3109314","GSM3109315","GSM3319754","GSM3319755","GSM3319793","GSM3319794","GSM3319828","GSM3319829","GSM3319863","GSM3319864"
"314",1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"26",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"8639",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1591",1,1,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0
"1594",1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,1
"10993",1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"6818",1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1
"89874",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3945",1,1,0,1,1,1,0,0,0,0,0,1,1,0,1,1,1
"3948",0,0,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0
"55293",0,0,0,1,1,0,0,1,0,0,1,1,1,0,1,0,1
"160287",0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
"92483",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"3939",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"9194",1,0,0,1,1,0,1,1,0,1,1,1,1,0,1,0,0
"6566",1,0,1,1,0,1,1,1,0,0,1,0,1,0,1,0,1
"9123",1,0,0,1,1,0,0,1,0,1,1,1,0,1,0,0,0
"57835",1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0
"8671",1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0
"1738",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4967",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
"1743",1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,0,1
"8050",1,0,1,0,0,0,1,1,1,0,1,1,1,0,1,0,1
"128",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
"137872",0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0
"130",0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0
"127",0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0
"131",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"126",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"124",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"125",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1312",1,0,0,1,1,1,0,1,0,1,1,1,1,0,1,0,1
"117247",0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
"220",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"221",1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
"218",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"222",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"3242",0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0
"18",1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1
"2531",0,1,0,1,1,0,1,1,0,1,1,1,1,0,0,0,0
"23498",0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
"55268",0,0,1,1,0,1,0,1,1,1,1,1,1,0,0,0,1
"883",0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0
"51166",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1644",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"4128",1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0
"4129",1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1
"8604",1,1,0,1,0,1,1,0,0,1,1,1,1,1,0,0,0
"10165",1,0,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0
"2572",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2571",0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0
"51380",0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,1
"2805",1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1
"2806",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
"8659",1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1
"6817",1,1,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0
"6799",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"6822",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6573",0,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,1
"316",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6570",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"6571",0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1
"2348",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2352",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0
"4125",0,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0
"53947",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51146",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1
"206358",0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0
"6538",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"6529",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"6539",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"6540",0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3032",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1
"10449",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
"38",1,1,0,1,1,1,0,1,1,0,0,0,1,1,1,1,1
"3030",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
"39",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
"30",1,1,0,0,1,1,0,1,1,1,1,1,1,0,0,0,1
"32",0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0
"9197",0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0
"79611",1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0
"84532",0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,1
