"","Transcriptomics","Final"
"314",0,0
"26",0,0
"8639",0,0
"1591",0,0
"1594",2,1
"10993",0,0
"6818",1,1
"89874",0,0
"3945",2,1
"3948",1,1
"55293",1,1
"160287",0,0
"92483",0,0
"3939",2,1
"9194",1,1
"6566",2,1
"9123",0,0
"57835",0,0
"8671",1,1
"1738",2,1
"4967",0,0
"1743",2,1
"8050",2,1
"128",0,0
"137872",0,0
"130",0,0
"127",0,0
"131",0,0
"126",0,0
"124",0,0
"125",0,0
"1312",0,0
"117247",0,0
"220",0,0
"221",0,0
"218",0,0
"222",0,0
"3242",0,0
"18",0,0
"2531",2,1
"23498",0,0
"55268",1,1
"883",0,0
"51166",0,0
"1644",0,0
"4128",0,0
"4129",0,0
"8604",1,1
"10165",1,1
"2572",0,0
"2571",0,0
"51380",1,1
"2805",2,1
"2806",2,1
"8659",0,0
"6817",1,1
"6799",0,0
"6822",0,0
"6573",0,0
"316",0,0
"6570",0,0
"6571",0,0
"2348",0,0
"2352",0,0
"4125",0,0
"53947",0,0
"51146",1,1
"28",1,1
"206358",0,0
"6538",0,0
"6529",0,0
"6539",0,0
"6540",0,0
"3032",2,1
"10449",0,0
"38",1,1
"3030",2,1
"39",0,0
"30",0,0
"32",1,1
"9197",0,0
"79611",0,0
"84532",1,1
"64841",2,1
"55577",2,1
"5238",1,1
"9487",1,1
"162417",1,1
"43",0,0
"6572",0,0
"47",2,1
"54187",2,1
"26503",0,0
"54",1,1
"140838",2,1
"51205",0,0
"36",0,0
"34",0,0
"35",1,1
"84129",0,0
"28976",0,0
"80724",0,0
"27034",0,0
"3712",0,0
"134526",0,0
"51",1,1
"95",0,0
"50",2,1
"48",0,0
"8309",0,0
"52",2,1
"55",0,0
"788",0,0
"55902",0,0
"65985",1,1
"438",0,0
"1571",0,0
"100",0,0
"3177",0,0
"205",0,0
"204",2,1
"26289",1,1
"50808",2,1
"262",2,1
"113",0,0
"109",0,0
"115",0,0
"112",0,0
"107",0,0
"114",1,1
"55811",0,0
"196883",0,0
"111",1,1
"108",1,1
"2030",0,0
"9154",0,0
"64078",0,0
"9153",0,0
"55315",1,1
"11164",2,1
"952",0,0
"1375",0,0
"1374",0,0
"126129",0,0
"1376",0,0
"9061",1,1
"9060",0,0
"158",2,1
"10331",0,0
"374907",0,0
"10678",2,1
"79369",0,0
"11041",0,0
"93010",0,0
"79814",1,1
"56894",0,0
"10555",0,0
"137964",1,1
"56895",0,0
"55326",2,1
"129642",0,0
"64850",0,0
"64902",0,0
"189",0,0
"3074",2,1
"3073",0,0
"10606",2,1
"8402",0,0
"1468",1,1
"64849",0,0
"1645",0,0
"1109",0,0
"6718",0,0
"6510",2,1
"6509",0,0
"56301",0,0
"6520",2,1
"211",2,1
"23464",0,0
"212",0,0
"59272",0,0
"6542",0,0
"6541",2,1
"84889",0,0
"54407",2,1
"81539",2,1
"340024",0,0
"11254",0,0
"57393",0,0
"55089",0,0
"2875",0,0
"84706",0,0
"92745",2,1
"10991",1,1
