"","GSM1079349","GSM1079350","GSM1079351","GSM1079352","GSM1079353","GSM1079354","GSM1079355","GSM1079356","GSM1079357","GSM1079358"
"314",1,0,0,0,1,1,1,0,0,0
"26",0,0,0,0,0,0,0,0,0,0
"8639",0,0,0,1,1,1,0,0,0,0
"1591",0,0,0,0,0,0,0,0,0,0
"1594",1,1,0,1,1,1,1,1,0,1
"10993",0,0,0,1,0,1,0,0,1,1
"6818",1,1,0,0,1,0,1,0,1,1
"89874",0,0,0,0,0,0,0,0,0,0
"3945",1,1,1,1,1,1,1,1,1,1
"3948",0,1,1,1,1,1,0,0,0,1
"55293",0,0,0,1,1,1,1,0,1,1
"160287",1,0,0,0,0,0,1,0,0,0
"92483",0,0,0,0,0,0,0,0,0,0
"3939",1,1,1,1,1,1,1,1,1,1
"9194",0,0,0,1,1,0,1,1,1,1
"6566",1,1,1,1,1,1,1,1,1,1
"9123",0,0,0,0,0,1,1,0,1,1
"57835",0,0,0,0,0,0,0,0,0,0
"8671",1,1,1,0,1,1,0,1,0,0
"1738",1,1,1,1,1,1,1,1,1,1
"4967",1,1,1,0,0,0,1,0,0,1
"1743",1,1,1,1,1,1,1,1,1,1
"8050",1,1,1,1,1,1,1,1,1,1
"128",0,0,1,1,1,0,0,0,1,0
"137872",1,0,1,0,0,1,0,0,0,0
"130",0,0,0,0,0,0,0,0,0,0
"127",1,1,0,0,0,1,0,0,1,1
"131",0,0,0,0,0,0,0,0,0,0
"126",0,0,0,0,0,0,0,0,0,0
"124",0,0,0,0,0,0,0,0,0,0
"125",0,0,0,0,0,0,0,0,0,0
"1312",0,0,1,1,0,0,0,0,1,1
"117247",1,1,0,0,0,1,1,1,0,0
"220",0,0,0,0,0,0,0,0,0,0
"221",1,0,1,1,0,0,0,0,1,1
"218",0,0,0,0,0,0,0,1,1,0
"222",0,0,0,0,0,0,0,0,0,0
"3242",0,0,0,0,0,0,0,0,0,0
"18",1,0,1,0,1,1,1,0,0,0
"2531",1,1,1,1,1,1,1,1,1,1
"23498",1,1,0,1,0,0,0,0,1,1
"55268",0,1,0,1,1,0,0,1,1,1
"883",0,0,1,0,1,1,0,1,0,1
"51166",0,0,0,0,1,0,0,0,0,0
"1644",0,0,0,0,1,1,0,1,1,1
"4128",0,0,1,1,0,0,1,1,0,0
"4129",0,0,0,0,0,0,0,0,0,0
"8604",0,1,1,1,0,0,1,1,1,0
"10165",0,0,0,1,1,1,1,1,1,0
"2572",0,0,0,0,0,0,0,0,0,0
"2571",0,0,0,0,0,0,0,0,0,0
"51380",1,0,0,1,1,1,1,1,0,0
"2805",1,1,1,1,1,1,1,1,1,1
"2806",1,1,1,1,1,1,1,1,1,1
"8659",1,0,1,0,0,0,1,0,1,1
"6817",1,1,0,0,1,0,1,0,1,1
"6799",1,1,0,0,1,0,1,0,0,1
"6822",0,0,0,0,0,0,0,0,0,0
"6573",0,1,0,1,0,0,1,0,1,0
"316",0,0,0,0,0,0,0,0,0,0
"6570",0,0,0,0,0,0,0,0,0,0
"6571",0,0,0,0,0,0,0,0,0,0
"2348",0,0,0,0,1,0,0,0,1,0
"2352",0,0,1,0,0,0,0,0,0,0
"4125",1,1,0,0,0,1,1,1,0,0
"53947",1,0,1,0,0,1,0,0,1,0
"51146",1,1,1,1,0,1,0,1,1,0
"28",0,0,1,0,0,1,1,1,1,1
"206358",0,1,0,0,1,0,0,0,1,1
"6538",0,1,0,0,1,1,1,0,1,0
"6529",0,0,0,0,0,0,0,0,0,0
"6539",0,0,0,0,0,0,0,0,0,0
"6540",0,0,0,0,0,0,0,0,0,0
"3032",1,1,1,1,1,1,1,1,1,1
"10449",0,0,0,0,1,1,1,0,1,1
"38",0,1,1,1,1,0,1,1,1,0
"3030",1,1,1,1,1,1,1,1,1,1
"39",0,0,0,1,1,0,0,0,1,1
"30",0,0,1,1,1,0,0,0,1,1
"32",1,0,1,0,0,1,1,1,0,1
"9197",0,0,1,1,1,0,0,0,0,1
"79611",0,0,0,0,0,0,0,0,0,0
"84532",1,1,1,0,0,1,0,0,1,1
"64841",1,1,1,1,1,1,1,1,1,1
"55577",1,1,1,1,1,1,1,1,1,1
"5238",1,0,1,0,1,1,0,1,0,1
"9487",0,0,1,0,1,1,1,1,0,1
"162417",0,1,1,0,1,1,0,0,1,1
"43",1,0,1,1,0,1,0,0,0,0
"6572",0,0,0,1,0,0,0,0,0,0
"47",1,1,1,1,1,1,1,1,1,1
"54187",1,1,1,1,1,1,1,1,1,1
"26503",1,0,0,0,0,1,1,1,1,0
"54",1,0,1,1,0,0,1,1,1,0
"140838",1,1,1,1,1,1,1,1,1,1
"51205",0,0,0,1,1,0,0,0,1,0
"36",0,0,0,0,0,0,0,0,0,0
"34",0,0,0,1,0,0,1,1,1,0
"35",1,0,0,0,1,1,1,0,1,1
"84129",1,0,1,1,1,0,0,0,0,0
"28976",0,0,0,1,1,0,0,1,1,1
"80724",0,0,1,1,0,0,0,0,1,1
"27034",0,0,1,1,1,0,0,0,1,1
"3712",0,0,1,1,1,0,0,1,0,1
"134526",0,0,0,0,0,0,0,0,0,0
"51",0,0,1,1,1,1,0,1,1,0
"95",0,0,1,1,1,0,0,0,0,1
"50",1,1,1,1,1,1,1,1,1,1
"48",1,0,1,1,1,0,1,0,0,0
"8309",0,0,0,0,0,0,0,0,0,0
"52",1,1,1,1,1,1,1,1,1,1
"55",0,0,0,0,0,0,0,0,0,0
"788",1,0,1,1,0,0,1,0,1,0
"55902",1,1,1,0,0,0,1,0,1,0
"65985",1,1,1,0,1,1,1,0,0,1
"438",0,0,0,0,0,0,0,1,1,1
"1571",0,0,0,0,0,0,0,0,0,0
"100",0,1,1,1,1,0,0,1,0,0
"3177",0,0,0,1,1,1,0,0,0,1
"205",0,1,0,1,0,0,1,1,1,0
"204",1,1,1,1,1,1,1,1,1,1
"26289",1,1,1,1,0,1,1,0,0,1
"50808",1,0,1,1,1,1,0,1,1,1
"262",1,1,1,1,1,1,1,1,1,1
"113",1,1,0,0,0,0,1,1,1,0
"109",0,1,0,1,0,0,0,1,1,0
"115",1,0,0,0,0,1,1,0,1,0
"112",1,0,0,1,1,0,0,0,1,1
"107",1,0,0,1,0,0,0,0,1,1
"114",1,1,1,1,1,0,0,0,0,1
"55811",0,0,0,0,0,0,0,0,0,0
"196883",1,0,1,0,0,1,1,0,0,1
"111",0,1,0,0,1,1,1,1,0,1
"108",0,0,0,1,0,1,1,1,1,1
"2030",0,1,0,0,0,1,1,1,0,0
"9154",0,0,1,0,1,0,0,0,1,1
"64078",0,0,0,0,0,0,0,0,0,0
"9153",0,0,0,0,1,0,0,0,1,1
"55315",1,1,1,0,0,1,1,1,0,0
"11164",1,1,1,1,1,1,1,1,1,1
"952",1,0,0,1,0,0,0,0,1,1
"1375",1,0,0,0,1,0,0,0,1,1
"1374",1,1,1,0,0,0,0,1,1,0
"126129",0,0,1,0,0,0,0,0,0,0
"1376",0,1,1,0,1,0,0,1,1,0
"9061",0,0,1,1,0,1,0,1,1,1
"9060",0,0,0,0,0,0,0,0,0,0
"158",1,1,1,1,1,1,1,1,1,1
"10331",1,1,1,1,0,0,0,0,0,1
"374907",0,0,1,0,0,0,0,0,0,0
"10678",1,1,1,1,1,1,1,1,1,1
"79369",0,0,0,0,0,0,1,1,0,1
"11041",0,1,1,1,1,0,0,1,0,0
"93010",1,1,0,0,1,0,0,1,0,0
"79814",0,1,0,1,1,0,1,1,1,1
"56894",0,0,0,1,1,0,0,1,1,1
"10555",0,0,1,0,0,0,0,0,1,1
"137964",0,1,1,1,0,0,1,1,1,0
"56895",1,1,0,0,0,1,1,1,0,0
"55326",1,1,1,1,1,1,1,1,1,1
"129642",0,0,0,0,1,1,1,0,0,1
"64850",0,0,0,0,0,0,0,0,0,0
"64902",0,1,0,0,0,1,1,0,1,1
"189",0,0,0,0,0,0,0,0,0,0
"3074",1,1,1,1,1,1,1,1,1,1
"3073",1,0,0,0,1,1,0,0,1,1
"10606",1,1,1,1,1,1,1,1,1,1
"8402",0,1,0,1,0,0,1,0,1,0
"1468",0,0,1,1,0,1,1,1,1,0
"64849",0,0,1,1,1,1,0,0,1,0
"1645",0,1,0,1,0,0,0,0,1,1
"1109",0,0,0,0,0,0,0,0,0,0
"6718",0,0,0,0,0,0,0,0,0,0
"6510",1,1,1,1,1,1,1,1,1,1
"6509",0,0,0,0,1,0,0,1,1,1
"56301",0,0,0,1,1,1,0,0,1,0
"6520",1,1,1,1,1,1,1,1,1,1
"211",1,1,1,1,1,1,1,1,1,1
"23464",0,1,1,1,1,0,0,1,0,0
"212",0,1,1,0,0,1,0,1,0,1
"59272",0,0,0,0,0,0,0,0,0,0
"6542",0,0,0,1,0,1,1,1,1,0
"6541",1,1,1,1,1,1,1,1,1,1
"84889",1,0,1,0,1,0,0,1,0,0
"54407",1,1,1,1,1,1,1,1,1,1
"81539",1,1,1,1,1,1,1,1,1,1
"340024",1,1,1,0,0,0,1,0,0,1
"11254",0,0,0,0,0,0,0,0,0,0
"57393",0,0,0,0,0,0,0,0,0,0
"55089",0,0,0,0,0,0,0,0,0,0
"2875",0,0,1,1,0,1,0,0,1,1
"84706",1,0,0,1,0,1,0,1,1,0
"92745",1,1,1,1,1,1,1,1,1,1
"10991",1,1,1,1,0,0,1,0,0,1
"284273",1,1,1,0,0,1,1,1,0,0
"10327",1,1,1,1,1,1,1,1,1,1
"8854",0,1,1,1,0,1,0,0,1,1
"224",1,1,1,0,0,0,1,1,0,1
"223",1,1,1,1,1,1,1,1,1,1
"216",0,0,0,0,0,0,0,0,0,0
"501",0,1,1,0,0,1,1,0,1,0
"217",0,0,1,0,0,0,0,1,0,0
