"","original","FastCore","GIMME","IMAT","CORDA","tINIT"
"24_25DHVITD3tm",NA,"-","-1","-1","-","-2"
"25HVITD3t",NA,"-","-1","-1","-","-2"
"COAtl",NA,"-","-1","-1","-","-2"
"EX_5adtststerone_e",NA,"-","-1","-1","-","-2"
"EX_5adtststerones_e",NA,"-","-1","-1","-","-2"
"EX_5fthf_e",NA,"-","-1","-1","-","-2"
"EX_5htrp_e",NA,"-","-1","-1","-","-2"
"EX_5mthf_e",NA,"-","-1","-1","-","-2"
"EX_5thf_e",NA,"-","-1","-1","-","-2"
"EX_6dhf_e",NA,"-","-1","-1","-","-2"
"24_25VITD3Hm",0,"-","0","0","Negative","-8"
"24NPHte",NA,"-","-1","-1","-","-2"
"10FTHF7GLUtl",NA,"-","-1","-1","-","-2"
"10FTHFtm",NA,"-","-1","-1","-","-2"
"11DOCRTSLtr",NA,"-","-1","-1","-","-2"
"13DAMPPOX",0,"-","0","0","Negative","-8"
"24_25DHVITD2t",NA,"-","-1","-1","-","-2"
"24_25DHVITD2tm",NA,"-","-1","-1","-","-2"
"24_25DHVITD3t",NA,"-","-1","-1","-","-2"
"25VITD2Hm",2,"Present","2","2","High","15"
"2AMACHYD",0,"-","0","0","Negative","-8"
"2AMACSULT",1,"Present","1","1","Medium","10"
"2AMADPTm",0,"-","0","0","Negative","-8"
"2MCITt",NA,"-","-1","-1","-","-2"
"2OXOADOXm",1,"Present","1","1","Medium","10"
"2OXOADPTm",0,"-","0","0","Negative","-8"
"34DHPHEt",0,"-","0","0","Negative","-8"
"34DHXMANDACOX",0,"-","0","0","Negative","-8"
"34HPLFM",NA,"-","-1","-1","-","-2"
"3AIBtm",0,"-","0","0","Negative","-8"
"3HAO",0,"-","0","0","Negative","-8"
"3MOBt2im",NA,"-","-1","-1","-","-2"
"3MOPt2im",NA,"-","-1","-1","-","-2"
"3MOXTYROX",0,"-","0","0","Negative","-8"
"3SALAOX",NA,"-","-1","-1","-","-2"
"42A12BOOX",0,"-","0","0","Negative","-8"
"4HBZCOAFm",NA,"-","-1","-1","-","-2"
"4HBZFm",NA,"-","-1","-1","-","-2"
"4HDEBRISOQUINEte",NA,"-","-1","-1","-","-2"
"4HOXPACDOX_NADP",0,"-","0","0","Negative","-8"
"4MOPt2im",NA,"-","-1","-1","-","-2"
"4MPTNLte",NA,"-","-1","-1","-","-2"
"4NPHSULT",1,"Present","1","1","Medium","10"
"4PYRDX",NA,"-","-1","-1","-","-2"
"5ADTSTSTERONEGLCtr",NA,"-","-1","-1","-","-2"
"5ADTSTSTERONESULT",1,"Present","1","1","Medium","10"
"5ADTSTSTERONEte",NA,"-","-1","-1","-","-2"
"5FTHFt2_1",0,"-","0","0","Negative","-8"
"5HOXINOXDA",0,"-","0","0","Negative","-8"
"5THFtl",NA,"-","-1","-1","-","-2"
"5THFtm",NA,"-","-1","-1","-","-2"
"7DHCHSTEROLtr",NA,"-","-1","-1","-","-2"
"7DHFtm",NA,"-","-1","-1","-","-2"
"A4GALTc",0,"-","0","0","Negative","-8"
"A4GALTg",0,"-","0","0","Negative","-8"
"A4GNT2g",0,"-","0","0","Negative","-8"
"AACTtm",NA,"-","-1","-1","-","-2"
"ABO1g",0,"-","0","0","Negative","-8"
"ABO4g",0,"-","0","0","Negative","-8"
"ABO5g",0,"-","0","0","Negative","-8"
"ABO6g",0,"-","0","0","Negative","-8"
"ABO7g",0,"-","0","0","Negative","-8"
"ABO9g",0,"-","0","0","Negative","-8"
"ABTArm",0,"-","0","0","Negative","-8"
"ABTt",NA,"-","-1","-1","-","-2"
"ABUTt2rL",1,"Present","1","1","Medium","10"
"ACACT10m",3,"Present","2","2","High","20"
"ACACT5p",2,"Present","2","2","High","15"
"ACACT8p",2,"Present","2","2","High","15"
"ACACT9p",2,"Present","2","2","High","15"
"ACALDtr",NA,"-","-1","-1","-","-2"
"ACALDtx",NA,"-","-1","-1","-","-2"
"ACCOALm",2,"Present","2","2","High","15"
"ACCOAtr",0,"-","0","0","Negative","-8"
"ACETONEt2",1,"Present","1","1","Medium","10"
"ACGAGBSIDEtl",NA,"-","-1","-1","-","-2"
"ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte",NA,"-","-1","-1","-","-2"
"ACGALtlg",NA,"-","-1","-1","-","-2"
"ACGAMK",3,"Present","2","2","High","20"
"ACGAMPM",0,"-","0","0","Negative","-8"
"ACGAMtly",NA,"-","-1","-1","-","-2"
"ACGBGBSIDEtl",NA,"-","-1","-1","-","-2"
"ACHtn",NA,"-","-1","-1","-","-2"
"ACHVESSEC_1",0,"-","0","0","Negative","-8"
"ACN13ACNGALGBSIDEtg",NA,"-","-1","-1","-","-2"
"ACNACNGAL14ACGLCGALGLUSIDEtg",NA,"-","-1","-1","-","-2"
"ACNACNGALGBSIDEtg",NA,"-","-1","-1","-","-2"
"ACNAMlt",0,"-","0","0","Negative","-8"
"ACNAMtn",NA,"-","-1","-1","-","-2"
"ACNGALACGLCGAL14ACGLCGALGLUSIDEte",NA,"-","-1","-1","-","-2"
"ACNML",NA,"-","-1","-1","-","-2"
"ACOAD10m",2,"Present","2","2","High","15"
"ACOAD8m",2,"Present","2","2","High","15"
"ACOAD9m",2,"Present","2","2","High","15"
"ACOAO7p",0,"-","0","0","Negative","-8"
"ACODA",0,"-","0","0","Negative","-8"
"ACONTm",3,"Present","2","2","High","20"
"ACP1_FMN",3,"Present","2","2","High","20"
"ACS2",0,"-","0","0","Negative","-8"
"ACSRTNMT",0,"-","0","0","Negative","-8"
"ACt2r",NA,"-","-1","-1","-","-2"
"ADEt",0,"-","0","0","Negative","-8"
"ADK3",0,"-","0","0","Negative","-8"
"ADK3m",3,"Present","2","2","High","20"
"ADKd",0,"-","0","0","Negative","-8"
"ADMDC",1,"Present","1","1","Medium","10"
"ADNt4",0,"-","0","0","Negative","-8"
"ADNtl",0,"-","0","0","Negative","-8"
"ADNtm",0,"-","0","0","Negative","-8"
"ADPMAN",3,"Present","2","2","High","20"
"ADPRIBt",1,"Present","1","1","Medium","10"
"ADRNCOAtx",NA,"-","-1","-1","-","-2"
"ADRNCRNt",2,"Present","2","2","High","15"
"ADSL2r",3,"Present","2","2","High","20"
"AG13T16g",1,"Present","1","1","Medium","10"
"AG13T18g",1,"Present","1","1","Medium","10"
"AG13T2g",1,"Present","1","1","Medium","10"
"AGMTm",0,"-","0","0","Negative","-8"
"AGTim",0,"-","0","0","Negative","-8"
"AHANDROSTANGLCte",1,"Present","1","1","Medium","10"
"AIRCr",2,"Present","2","2","High","15"
"AKGMALtm",2,"Present","2","2","High","15"
"AKGt4_3",0,"-","0","0","Negative","-8"
"AKR1C41",0,"-","0","0","Negative","-8"
"AKR1D",0,"-","0","0","Negative","-8"
"ALAGLYexR",0,"-","0","0","Negative","-8"
"ALASERNaEx",0,"-","0","0","Negative","-8"
"ALASm",2,"Present","2","2","High","15"
"ALATHRNaEx",0,"-","0","0","Negative","-8"
"ALCD21_D",2,"Present","2","2","High","15"
"ALCD22_D",2,"Present","2","2","High","15"
"ALCD2y",3,"Present","2","2","High","20"
"ALDD20xm",0,"-","0","0","Negative","-8"
"ALDD2xm",0,"-","0","0","Negative","-8"
"ALDD2y",3,"Present","2","2","High","20"
"ALDSTRNte",NA,"-","-1","-1","-","-2"
"ALDSTRNtm",NA,"-","-1","-1","-","-2"
"ALOX15",0,"-","0","0","Negative","-8"
"ALR2",3,"Present","2","2","High","20"
"ALR3",3,"Present","2","2","High","20"
"AMACR2p",0,"-","0","0","Negative","-8"
"AMACRp",0,"-","0","0","Negative","-8"
"AMETr",NA,"-","-1","-1","-","-2"
"AMETt2m",1,"Present","1","1","Medium","10"
"AMPDA",2,"Present","2","2","High","15"
"AMY2e",2,"Present","2","2","High","15"
"ANDRSTRNGLCte",1,"Present","1","1","Medium","10"
"ANDRSTRNGLCtr",NA,"-","-1","-1","-","-2"
"ANDRSTRNtr",NA,"-","-1","-1","-","-2"
"ANTIPYRENEte",NA,"-","-1","-1","-","-2"
"APOCFm",NA,"-","-1","-1","-","-2"
"APOC_LYS_BTNP",NA,"-","-1","-1","-","-2"
"APRTO2",0,"-","0","0","Negative","-8"
"ARAB_Lt",NA,"-","-1","-1","-","-2"
"ARABR",3,"Present","2","2","High","20"
"ARACHDCOAtx",NA,"-","-1","-1","-","-2"
"ARACHDt2",0,"-","0","0","Negative","-8"
"ARACHt",NA,"-","-1","-1","-","-2"
"ARGDCm",0,"-","0","0","Negative","-8"
"ARGLYSex",1,"Present","1","1","Medium","10"
"ARGSS",0,"-","0","0","Negative","-8"
"ARGt4",0,"-","0","0","Negative","-8"
"ARTCOAL3_cho",NA,"-","-1","-1","-","-2"
"R_group_phosphotase_2",NA,"-","-1","-1","-","-2"
"R_group_phosphotase_3",NA,"-","-1","-1","-","-2"
"ASCBOX_1",NA,"-","-1","-1","-","-2"
"ASCBt",NA,"-","-1","-1","-","-2"
"ASNCYSNaEx",0,"-","0","0","Negative","-8"
"ASNGLNNaEx",0,"-","0","0","Negative","-8"
"ASNNm",0,"-","0","0","Negative","-8"
"ASNS1",0,"-","0","0","Negative","-8"
"ASNt4",2,"Present","2","2","High","15"
"ASPDxt",NA,"-","-1","-1","-","-2"
"ASPGLUm",1,"Present","1","1","Medium","10"
"ASPNATm",NA,"-","-1","-1","-","-2"
"ASPt6",1,"Present","1","1","Medium","10"
"ASPTAm",3,"Present","2","2","High","20"
"ATP1ter",NA,"-","-1","-1","-","-2"
"BILGLCURte",1,"Present","1","1","Medium","10"
"BILIRED",3,"Present","2","2","High","20"
"EX_6htststerone_e",NA,"-","-1","-1","-","-2"
"ATPasel_1",0,"-","0","0","Negative","-8"
"ATPtn",NA,"-","-1","-1","-","-2"
"ATPtx",NA,"-","-1","-1","-","-2"
"B3GALT3g",0,"-","0","0","Negative","-8"
"B3GALT42g",0,"-","0","0","Negative","-8"
"B3GALTg",NA,"-","-1","-1","-","-2"
"B3GNT11g",1,"Present","1","1","Medium","10"
"B3GNT310g",0,"-","0","0","Negative","-8"
"B3GNT315g",0,"-","0","0","Negative","-8"
"B3GNT31g",0,"-","0","0","Negative","-8"
"B3GNT34g",0,"-","0","0","Negative","-8"
"B3GNT37g",0,"-","0","0","Negative","-8"
"B3GNT39g",0,"-","0","0","Negative","-8"
"B3GNT51g",0,"-","0","0","Negative","-8"
"BAAT1x",0,"-","0","0","Negative","-8"
"BAAT3x",0,"-","0","0","Negative","-8"
"BACCL",0,"-","0","0","Negative","-8"
"BALAVECSEC_1",0,"-","0","0","Negative","-8"
"BDHm",1,"Present","1","1","Medium","10"
