"","GSM662182","GSM662183","GSM662190","GSM662212","GSM662213","GSM662214","GSM662215","GSM662216","GSM662217","GSM662218","GSM2086285","GSM2086286","GSM2086287","GSM2086288","GSM2086289","GSM2086290"
"314",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"26",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"8639",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1591",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1594",0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0
"10993",0,1,1,1,1,1,0,0,0,1,1,0,0,1,1,0
"6818",0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,1
"89874",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3945",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3948",0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0
"55293",0,1,1,1,0,1,0,1,0,0,1,0,1,0,1,1
"160287",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"92483",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3939",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"9194",0,0,1,1,0,1,0,1,0,1,1,1,0,0,1,0
"6566",1,0,1,0,1,1,0,1,1,0,1,1,1,0,1,0
"9123",0,0,1,0,1,0,1,1,1,0,0,1,0,1,0,0
"57835",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8671",1,0,1,1,1,0,1,0,1,0,1,1,1,0,1,0
"1738",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4967",0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1
"1743",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"8050",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"128",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"137872",0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0
"130",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"127",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"131",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"126",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"124",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"125",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1312",0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1
"117247",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"220",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"221",1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1
"218",1,1,0,1,1,1,1,0,0,1,0,1,0,1,0,1
"222",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3242",0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0
"18",0,1,0,0,0,1,0,1,1,1,1,0,1,0,1,0
"2531",1,0,1,0,1,1,0,1,1,0,0,1,0,1,0,1
"23498",1,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0
"55268",0,0,0,1,0,1,0,1,1,1,0,0,0,1,1,1
"883",1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1
"51166",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1644",1,1,0,0,1,0,1,1,1,1,1,1,0,0,0,1
"4128",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4129",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8604",0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1
"10165",1,0,0,1,1,1,1,1,1,0,1,0,0,0,1,1
"2572",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2571",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51380",0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1
"2805",1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"2806",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"8659",1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1
"6817",0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,1
"6799",0,0,0,0,0,1,1,1,1,1,0,1,0,1,0,1
"6822",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6573",1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0
"316",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6570",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6571",1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1
"2348",0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0
"2352",1,0,0,1,0,1,1,1,0,1,0,0,0,1,1,1
"4125",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"53947",1,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1
"51146",0,0,1,0,1,1,1,1,0,0,0,1,1,0,1,1
"28",1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0
"206358",0,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1
"6538",1,1,1,1,0,0,0,0,1,0,1,1,0,0,1,0
"6529",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6539",1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
"6540",0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0
"3032",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"10449",1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
"38",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3030",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"39",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"30",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"32",1,0,0,0,1,1,1,1,1,0,1,0,0,1,0,1
"9197",1,0,1,1,0,1,0,1,0,0,1,1,1,0,1,0
"79611",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84532",0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1
"64841",1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1
"55577",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"5238",1,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0
"9487",1,0,1,1,1,1,0,0,1,0,0,0,1,1,1,1
"162417",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"43",0,1,0,0,1,1,1,0,1,1,1,0,0,1,0,0
"6572",1,1,0,1,0,1,1,1,0,0,1,0,0,1,1,0
"47",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"54187",0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"26503",1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0
"54",1,1,1,1,0,0,1,1,1,1,0,1,0,1,0,1
"140838",1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1
"51205",0,0,1,1,1,0,1,1,1,0,0,1,0,0,1,0
"36",0,0,1,1,1,1,0,0,0,1,1,1,0,0,1,1
"34",1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"35",0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,1
"84129",0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1
"28976",0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0
"80724",1,1,0,0,1,1,0,1,0,1,1,0,0,0,1,1
