"","GSM662182","GSM662183","GSM662190","GSM662212","GSM662213","GSM662214","GSM662215","GSM662216","GSM662217","GSM662218","GSM2086285","GSM2086286","GSM2086287","GSM2086288","GSM2086289","GSM2086290"
"26",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"314",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"8639",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1591",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1594",0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0
"10993",0,1,1,1,1,1,0,0,0,1,1,0,0,1,1,0
"6818",0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,1
"89874",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55293",0,1,1,1,0,1,0,1,0,0,1,0,1,0,1,1
"3945",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"92483",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"160287",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3948",0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0
"3939",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"134526",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51",0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0
"95",1,1,1,0,0,0,1,1,0,0,0,1,1,0,1,0
"50",1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
"48",1,1,0,1,1,0,0,1,0,0,1,1,0,0,1,0
"8309",0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"52",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"55",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"788",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"9194",0,0,1,1,0,1,0,1,0,1,1,1,0,0,1,0
"55902",0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
"9123",0,0,1,0,1,0,1,1,1,0,0,1,0,1,0,0
"6566",1,0,1,0,1,1,0,1,1,0,1,1,1,0,1,0
"57835",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65985",0,0,1,1,1,1,0,1,0,0,1,1,0,0,1,1
"8671",1,0,1,1,1,0,1,0,1,0,1,1,1,0,1,0
"438",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1571",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4967",0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1
"100",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"8050",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1738",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3177",1,0,0,0,1,1,1,0,1,1,0,0,1,0,1,1
"1743",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"126",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"205",0,1,1,1,1,0,1,0,1,0,0,1,0,0,1,0
"128",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"204",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"130",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"127",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"131",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"124",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"125",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26289",1,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1
"137872",0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0
"1312",0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1
"50808",1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"262",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"117247",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"222",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"113",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
"218",1,1,0,1,1,1,1,0,0,1,0,1,0,1,0,1
"108",0,1,1,1,0,1,1,0,0,0,0,1,1,0,0,1
"220",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"221",1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1
"114",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"111",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3242",0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0
"115",1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0
"18",0,1,0,0,0,1,0,1,1,1,1,0,1,0,1,0
"109",0,1,0,0,0,0,1,0,1,1,1,1,0,1,0,0
"55811",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"196883",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2531",1,0,1,0,1,1,0,1,1,0,0,1,0,1,0,1
"107",1,1,0,0,0,0,1,0,1,0,1,1,0,1,0,0
