"","Transcriptomics","Final"
"314",0,0
"26",0,0
"8639",0,0
"1591",0,0
"1594",0,0
"10993",0,0
"6818",1,1
"89874",0,0
"3945",2,2
"3948",0,0
"55293",0,0
"160287",0,0
"92483",0,0
"3939",2,2
"9194",0,0
"6566",1,1
"9123",0,0
"57835",0,0
"8671",0,0
"1738",2,1
"4967",1,1
"1743",2,1
"8050",2,1
"128",1,1
"137872",1,1
"130",0,0
"127",0,0
"131",0,0
"126",0,0
"124",0,0
"125",0,0
"1312",1,1
"117247",0,0
"220",0,0
"221",0,0
"218",0,0
"222",0,0
"3242",0,0
"18",1,1
"2531",1,1
"23498",0,0
"55268",2,1
"883",0,0
"51166",0,0
"1644",0,0
"4128",0,0
"4129",0,0
"8604",1,1
"10165",0,0
"2572",0,0
"2571",0,0
"51380",2,1
"2805",1,1
"2806",2,2
"8659",0,0
"6817",2,1
"6799",2,1
"6822",0,0
"6573",1,1
"316",0,0
"6570",0,0
"6571",0,0
"2348",0,0
"2352",0,0
"4125",2,1
"53947",1,1
"51146",0,0
"28",0,0
"206358",0,0
"6538",0,0
"6529",0,0
"6539",0,0
"6540",0,0
"3032",2,2
"10449",1,1
"38",1,1
"3030",2,2
"39",2,2
"30",2,1
"32",0,0
"9197",0,0
"79611",0,0
"84532",1,1
"64841",0,0
"55577",2,2
"5238",1,1
"9487",0,0
"162417",0,0
"43",0,0
"6572",0,0
"47",2,2
"54187",2,1
"26503",1,1
"54",1,1
"140838",1,1
"51205",0,0
"36",1,1
"34",2,2
"35",0,0
"84129",1,1
"28976",1,1
"80724",0,0
"27034",2,1
"3712",0,0
"134526",0,0
"51",1,1
"95",0,0
"50",2,2
"48",0,0
"8309",0,0
"52",2,1
"55",0,0
"788",2,2
"55902",1,1
"65985",2,1
"438",0,0
"1571",0,0
"100",2,2
"3177",0,0
"205",0,0
"204",2,1
"26289",1,1
"50808",1,1
"262",2,2
"113",1,1
"109",0,0
"115",0,0
"112",1,1
"107",0,0
"114",0,0
"55811",0,0
"196883",0,0
"111",0,0
"108",0,0
"2030",1,1
"9154",0,0
"64078",0,0
"9153",1,1
"55315",0,0
"11164",2,2
"952",2,1
"1375",2,2
"1374",0,0
"126129",0,0
"1376",0,0
"9061",2,2
"9060",0,0
"158",2,1
"10331",1,1
"374907",0,0
"10678",2,2
"79369",0,0
"11041",0,0
"93010",0,0
"79814",2,1
"56894",0,0
"10555",1,1
"137964",0,0
"56895",0,0
"55326",1,1
"129642",0,0
"64850",0,0
"64902",0,0
"189",0,0
"3074",2,2
"3073",1,1
"10606",1,1
"8402",2,2
"1468",0,0
"64849",0,0
"1645",0,0
"1109",0,0
"6718",0,0
"6510",1,1
"6509",0,0
"56301",1,1
"6520",2,2
"211",2,2
"23464",0,0
"212",0,0
"59272",0,0
"6542",0,0
"6541",1,1
"84889",0,0
"54407",2,2
"81539",2,2
"340024",1,1
"11254",0,0
"57393",0,0
"55089",0,0
"2875",1,1
"84706",1,1
"92745",1,1
"10991",0,0
