"","GSM1621305","GSM1621306","GSM1621307","GSM1621308","GSM1621309","GSM1621310","GSM1621311"
"314",1,0,0,0,0,0,0
"26",0,0,0,0,0,0,0
"8639",1,0,0,0,0,0,0
"1591",0,0,0,0,0,0,0
"1594",0,0,0,0,0,0,0
"10993",0,0,0,1,1,1,1
"6818",1,1,1,1,1,1,1
"89874",0,0,0,0,0,0,0
"3945",1,1,1,1,1,1,1
"3948",0,1,1,1,1,0,0
"55293",0,0,1,0,0,0,1
"160287",0,1,0,0,1,0,0
"92483",0,0,0,0,0,0,0
"3939",1,1,1,1,1,1,1
"9194",1,0,0,0,0,1,0
"6566",1,0,0,1,1,1,1
"9123",0,0,0,1,0,1,1
"57835",0,0,0,0,0,0,0
"8671",0,0,0,0,0,0,0
"1738",0,1,1,0,0,1,1
"4967",0,1,0,0,0,1,1
"1743",1,1,1,1,1,1,1
"8050",1,1,1,1,1,1,1
"128",0,0,1,0,0,1,0
"137872",1,1,1,1,1,1,1
"130",0,0,0,0,0,0,0
"127",0,0,0,0,0,1,0
"131",0,0,0,0,0,0,0
"126",0,0,0,0,0,0,0
"124",0,0,0,0,0,0,0
"125",0,0,0,0,0,0,0
"1312",0,0,1,1,1,0,1
"117247",0,0,0,0,0,0,0
"220",0,0,0,0,0,0,0
"221",0,1,0,1,1,1,0
"218",1,0,1,1,0,1,0
"222",0,0,0,0,0,0,0
"3242",0,0,0,0,0,0,0
"18",1,1,0,1,1,0,0
"2531",1,0,1,0,1,1,1
"23498",0,0,0,0,1,0,1
"55268",1,1,1,1,1,1,1
"883",0,0,1,0,1,0,0
"51166",0,0,0,0,0,0,0
"1644",0,0,0,0,0,0,0
"4128",0,0,0,0,0,0,0
"4129",0,0,0,0,0,0,1
"8604",1,1,1,1,1,0,0
"10165",1,0,0,0,1,1,0
"2572",0,0,0,0,0,0,0
"2571",0,0,0,0,0,0,0
"51380",1,1,1,1,1,1,1
"2805",0,1,0,1,0,1,1
"2806",1,1,1,1,1,1,1
"8659",0,1,1,1,0,1,0
"6817",1,1,1,1,1,1,1
"6799",1,1,1,1,1,1,1
"6822",0,0,0,0,0,0,0
"6573",1,1,1,1,1,0,0
"316",0,0,0,0,0,0,0
"6570",0,0,0,0,0,0,0
"6571",0,0,0,0,0,0,0
"2348",0,0,0,0,0,0,0
"2352",0,0,0,0,0,0,0
"4125",1,1,1,1,1,1,1
"53947",0,0,0,1,1,0,0
"51146",1,1,0,0,0,0,0
"28",0,0,1,0,1,1,1
"206358",0,0,0,0,1,1,1
"6538",0,0,0,0,0,0,0
"6529",0,0,0,0,0,0,0
"6539",0,0,0,0,0,0,0
"6540",0,1,0,1,0,1,0
"3032",1,1,1,1,1,1,1
"10449",1,0,1,1,1,0,1
"38",1,0,1,1,1,0,0
"3030",1,1,1,1,1,1,1
"39",1,1,1,1,1,1,1
"30",1,1,1,1,1,1,1
"32",1,0,0,0,1,0,0
"9197",0,0,1,0,0,1,0
"79611",0,0,0,0,0,0,0
"84532",1,1,1,1,1,1,1
"64841",1,0,1,0,0,0,0
"55577",1,1,1,1,1,1,1
"5238",1,0,0,1,1,1,0
"9487",1,0,1,0,0,0,0
"162417",1,0,1,0,1,0,0
"43",1,1,1,1,0,0,0
"6572",0,0,0,0,0,0,0
