"","GSM565276","GSM565277","GSM565278","GSM565279","GSM565280","GSM814482","GSM814483","GSM814484","GSM814485","GSM1070753","GSM1070754","GSM1070757","GSM1070758","GSM1070761","GSM1070762","GSM1215107","GSM1215109","GSM1215111","GSM1215113","GSM2080663","GSM2080664"
"314",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
"26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8639",1,1,1,0,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,1
"1591",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1594",1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1
"10993",0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0
"6818",1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1
"89874",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3945",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3948",0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0
"55293",0,1,1,1,0,1,0,0,1,0,0,1,1,1,0,1,1,1,0,1,0
"160287",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"92483",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3939",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"9194",1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,0,0,1,1,0
"6566",1,1,1,1,0,1,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1
"9123",0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,1,1,0,0,1
"57835",1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,0,1,1,0
"8671",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1738",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4967",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1743",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"8050",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"128",0,1,1,1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,0,1,0
"137872",1,1,1,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,1,0
"130",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"127",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"131",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"126",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"124",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"125",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1312",1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,0,1
"117247",0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,1,0,1,1,0
"220",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"221",0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1
"218",0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0
"222",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"3242",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0
