"","GSM2722357","GSM2722361","GSM2722365","GSM2722369","GSM2722373","GSM2722377","GSM2859422","GSM2859450","GSM2859479","GSM2859514","GSM3355220","GSM3355221","GSM3355222","GSM3355223","GSM3355224"
"314",1,1,0,0,1,0,0,1,0,1,0,0,1,0,0
"26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8639",0,1,0,0,1,1,1,0,0,0,1,1,1,0,1
"1591",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"1594",1,1,0,0,1,1,1,0,0,1,1,1,1,0,0
"10993",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"6818",0,0,1,0,0,0,0,1,0,0,0,0,1,1,0
"89874",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"3945",1,0,1,1,1,0,1,1,1,1,1,1,1,1,1
"3948",0,0,0,1,0,0,0,1,0,0,0,1,1,0,0
"55293",0,0,1,1,1,0,0,1,0,0,0,0,0,1,1
"160287",0,0,0,0,1,0,0,1,1,0,1,0,0,0,0
"92483",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3939",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"9194",1,0,1,0,1,0,0,0,1,0,0,0,0,1,1
"6566",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
"9123",0,1,1,1,0,0,0,1,1,0,1,0,1,0,1
"57835",0,1,0,1,0,1,0,0,1,0,0,1,0,1,1
"8671",0,1,0,1,0,0,0,0,1,1,0,0,1,1,1
"1738",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4967",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1743",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"8050",1,0,1,0,1,1,0,1,0,1,0,0,0,1,1
"128",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"137872",0,0,0,1,1,1,0,1,0,1,0,0,1,1,0
"130",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"127",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"131",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"126",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"124",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"125",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1312",1,1,1,0,0,1,1,0,0,1,1,1,1,0,0
"117247",0,0,1,1,1,1,1,0,1,1,0,1,0,1,0
"220",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"221",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"218",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"222",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"3242",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"18",1,1,0,0,0,1,0,0,1,1,0,1,1,0,1
"2531",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"23498",0,0,0,0,1,1,0,0,0,1,1,1,0,0,1
"55268",0,0,1,1,0,0,1,1,0,0,1,1,1,0,0
"883",1,0,1,1,0,1,1,0,0,1,1,1,1,0,0
"51166",0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
"1644",1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"4128",1,0,1,1,1,0,0,0,0,0,0,0,1,0,1
"4129",1,0,0,1,1,1,0,0,0,0,0,0,1,0,1
"8604",1,0,1,0,1,0,0,0,1,1,0,1,0,0,1
"10165",1,1,0,0,1,1,1,0,1,0,0,0,0,0,1
"2572",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2571",1,1,0,0,1,1,0,0,0,0,0,0,1,1,1
"51380",0,0,0,1,0,0,1,1,1,0,0,1,0,0,1
"2805",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"2806",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"8659",0,1,0,1,0,1,0,1,1,0,1,1,0,1,1
"6817",0,1,1,1,0,0,1,0,0,1,1,1,0,1,0
"6799",1,1,0,1,1,0,1,0,0,1,1,1,0,0,1
"6822",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6573",1,1,0,0,1,1,1,0,1,0,1,1,0,0,1
"316",1,1,1,1,0,0,0,0,1,0,0,1,0,1,0
"6570",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6571",0,0,0,0,1,1,0,1,1,0,0,0,0,1,1
"2348",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2352",0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
"4125",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"53947",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51146",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"206358",1,0,0,0,1,1,0,1,0,1,0,1,0,0,1
"6538",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6529",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6539",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"6540",1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
"3032",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"10449",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"38",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3030",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"39",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"30",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"32",0,1,0,1,0,0,0,1,0,0,1,1,0,0,1
"9197",0,0,1,1,1,0,0,1,1,1,0,0,0,1,1
"79611",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84532",1,1,1,1,0,0,1,0,1,1,0,1,0,1,0
"64841",1,0,1,0,1,0,0,0,1,1,0,0,0,1,1
"55577",0,1,0,0,0,1,1,0,1,0,1,1,0,0,0
"5238",0,0,1,0,1,1,0,1,1,0,0,0,0,1,1
"9487",1,1,0,1,0,1,0,1,1,1,0,1,1,1,0
"162417",1,0,0,1,0,0,1,0,1,1,1,1,0,1,0
"43",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"6572",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"54187",0,1,1,0,1,1,1,0,1,1,1,1,1,0,0
"26503",1,1,0,0,1,1,0,1,1,1,0,0,1,0,1
"54",0,0,1,1,0,0,0,0,1,1,1,0,1,0,0
"140838",1,0,1,0,1,0,1,1,0,1,0,0,0,1,1
"51205",0,0,0,1,0,1,0,1,1,1,1,1,0,0,0
"36",0,0,1,1,0,1,1,0,0,1,0,1,1,0,1
"34",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"35",0,0,0,1,0,1,1,0,1,0,1,1,0,0,1
"84129",0,0,0,1,0,1,0,0,1,0,0,1,0,1,1
"28976",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
"80724",0,1,0,1,0,1,0,1,1,1,1,1,0,0,1
"27034",0,1,0,0,0,1,1,0,1,0,1,1,0,0,0
"3712",1,1,0,0,1,0,0,1,1,1,0,1,0,0,1
"134526",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"51",1,1,0,0,1,0,0,1,1,1,0,1,0,0,1
"95",0,0,1,0,1,1,0,1,0,1,1,0,0,1,1
"50",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"48",1,0,1,1,0,1,1,1,0,0,0,1,1,0,0
"8309",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"55",1,0,1,0,0,0,0,0,0,1,0,1,1,0,1
"788",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"55902",0,1,1,1,1,0,1,0,1,1,1,1,1,1,0
"65985",0,0,1,1,0,0,0,0,1,1,1,1,0,0,1
"438",0,1,0,1,1,0,1,0,0,0,1,0,1,0,0
"1571",0,1,1,1,0,0,1,0,0,1,1,0,1,0,0
"100",1,1,1,1,0,1,1,0,1,1,1,1,1,1,1
"3177",0,0,1,1,1,0,0,1,1,0,1,1,0,0,0
"205",1,0,0,1,0,0,0,0,0,1,0,0,0,1,1
"204",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"26289",0,1,1,1,0,0,1,0,1,0,1,1,1,0,0
"50808",1,0,1,1,1,1,1,0,1,1,0,1,1,1,1
"262",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"113",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"109",1,1,1,0,1,1,0,0,1,0,1,1,0,0,1
"115",0,1,0,0,0,1,1,0,1,1,1,1,0,0,0
"112",1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
"107",0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
"114",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55811",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"196883",0,1,1,1,0,1,0,1,0,1,0,1,1,0,0
"111",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"108",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2030",1,1,1,0,1,1,0,1,1,1,1,1,0,0,0
"9154",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64078",0,0,1,1,0,0,0,0,0,0,0,1,0,1,1
"9153",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55315",0,1,1,1,0,1,1,0,1,0,1,1,1,0,0
"11164",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"952",1,0,1,1,0,0,1,0,1,1,0,0,1,1,1
"1375",0,1,0,1,0,0,0,1,0,1,0,1,0,0,1
"1374",1,1,0,0,0,1,1,1,0,1,0,1,1,0,1
"126129",0,0,1,1,0,0,0,1,0,1,1,0,1,0,1
"1376",0,1,0,0,0,1,1,0,0,1,1,1,1,0,0
"9061",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"9060",0,0,1,1,0,1,0,1,0,1,0,1,0,1,1
"158",1,0,1,0,1,0,0,0,1,1,0,0,0,1,1
"10331",1,0,1,1,0,0,1,0,0,0,1,1,1,0,0
"374907",0,0,1,0,1,0,0,0,0,1,1,1,0,1,0
"10678",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"79369",0,1,0,1,1,0,1,1,0,1,1,0,0,0,1
"11041",1,0,0,0,1,1,1,1,0,1,1,1,1,0,0
"93010",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"79814",1,0,1,0,1,0,0,0,1,1,1,0,1,0,0
"56894",1,1,0,0,1,1,0,1,1,1,1,1,0,0,1
"10555",0,1,1,0,1,1,1,0,1,0,1,1,0,0,0
"137964",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"56895",0,0,1,1,0,0,0,0,1,1,1,1,0,0,0
"55326",1,0,1,0,1,1,0,1,1,1,0,0,0,1,1
"129642",1,0,1,1,1,0,0,1,1,0,0,0,0,1,1
"64850",1,0,0,1,1,0,1,0,0,0,0,1,0,1,1
"64902",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"189",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3074",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3073",1,1,0,1,0,1,0,1,0,1,1,1,0,0,0
"10606",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"8402",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1468",1,1,1,0,1,1,1,0,0,0,1,1,0,0,0
"64849",1,0,0,0,1,0,0,1,1,0,0,0,0,0,0
"1645",0,0,1,1,0,1,1,0,1,0,0,1,1,0,0
"1109",0,1,0,0,0,0,1,1,0,0,0,1,0,0,0
"6718",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"6510",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"6509",0,1,0,0,1,1,0,0,1,0,0,1,1,0,0
"56301",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6520",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"211",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"23464",0,1,0,1,0,1,1,1,1,0,1,1,0,0,0
"212",0,0,0,1,1,1,0,0,0,1,1,0,0,0,1
"59272",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6542",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6541",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"84889",1,0,0,1,0,0,0,0,1,0,0,1,1,1,0
"54407",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"81539",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"340024",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11254",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57393",0,1,1,0,1,0,0,1,0,1,1,0,1,1,0
"55089",1,0,1,0,0,0,0,0,1,0,0,1,1,0,1
"2875",0,0,1,0,0,1,0,0,0,0,1,1,0,0,0
"84706",1,1,0,0,0,1,0,0,0,1,1,1,0,0,0
"92745",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
"10991",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"284273",1,0,0,1,0,1,0,0,1,1,1,0,0,1,1
"10327",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"8854",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"224",1,1,0,1,0,0,0,1,1,0,0,0,0,1,1
"223",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"216",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"501",0,1,0,1,0,0,1,0,1,0,1,0,0,1,0
"217",0,1,1,0,0,1,0,1,0,1,0,1,1,0,0
"219",1,1,1,0,1,0,0,1,1,1,1,1,0,1,0
"239",0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
"247",0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
"246",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"231",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"8574",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"23600",0,1,0,0,0,0,1,1,0,1,1,1,0,1,0
"115286",0,1,0,0,1,1,1,0,0,1,0,1,1,1,0
"271",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"272",0,0,0,1,0,1,0,0,1,1,0,0,0,1,1
"270",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"290",0,1,0,0,0,1,0,0,0,1,0,0,1,0,1
"278",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"277",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"279",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"280",0,0,1,1,0,0,0,1,0,1,0,0,1,1,1
"6519",0,0,1,0,0,0,0,0,1,1,0,0,0,1,0
"276",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11136",1,1,0,0,0,1,0,1,0,1,1,1,1,0,1
"10998",0,0,1,1,0,0,0,1,0,1,1,1,1,0,0
"113451",0,1,1,1,0,0,0,1,0,0,1,1,0,0,0
"9057",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"384",1,0,1,1,1,0,1,0,1,0,1,1,1,0,0
"445",0,0,1,1,0,1,0,0,1,0,1,1,1,0,0
"83884",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10166",1,0,1,0,1,1,0,1,1,0,0,1,0,1,1
"410",0,0,1,1,0,0,1,0,0,1,1,1,0,0,0
"427",1,0,0,1,1,0,0,1,1,1,0,0,1,1,1
"9963",0,0,1,0,1,0,1,0,0,1,0,1,1,0,1
"9962",1,1,0,0,0,1,0,0,1,0,1,1,0,0,1
"80150",0,1,1,1,0,1,0,1,0,1,0,1,1,1,0
"440",0,0,1,0,1,1,0,0,1,1,0,0,0,1,1
"790",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"6505",0,1,1,1,0,0,0,0,1,0,0,1,0,1,0
