"","Transcriptomics","Proteomics","Final"
"314",0,NA,0
"26",1,0,0
"8639",0,NA,0
"1591",0,NA,0
"1594",0,2,1
"10993",0,2,1
"6818",0,1,0
"89874",0,NA,0
"3945",2,2,2
"3948",0,NA,0
"55293",0,1,0
"160287",0,NA,0
"92483",0,NA,0
"3939",2,2,2
"9194",0,1,0
"6566",1,1,1
"9123",0,1,0
"57835",1,NA,0
"8671",0,2,1
"1738",2,2,2
"4967",1,2,2
"1743",2,2,2
"8050",2,1,2
"128",1,2,2
"137872",0,NA,0
"130",0,NA,0
"127",0,1,0
"131",0,NA,0
"126",0,NA,0
"124",0,NA,0
"125",0,NA,0
"1312",0,2,1
"117247",0,2,1
"220",0,NA,0
"221",0,0,0
"218",2,NA,1
"222",0,NA,0
"3242",0,NA,0
"18",0,1,0
"2531",1,1,1
"23498",1,0,0
"55268",0,1,0
"883",0,1,0
"51166",0,NA,0
"1644",0,NA,0
"4128",0,1,0
"4129",0,0,0
"8604",1,2,2
"10165",1,1,1
"2572",1,NA,0
"2571",2,NA,1
"51380",0,NA,0
"2805",2,1,2
"2806",2,2,2
"8659",0,1,0
"6817",0,1,0
"6799",1,NA,0
"6822",0,NA,0
"6573",0,0,0
"316",2,NA,1
"6570",1,NA,0
"6571",0,2,1
"2348",2,NA,1
"2352",0,2,1
"4125",2,1,2
"53947",2,NA,1
"51146",1,NA,0
"28",0,NA,0
"206358",1,0,0
"6538",2,NA,1
"6529",0,NA,0
"6539",2,2,2
"6540",2,NA,1
"3032",2,2,2
"10449",1,2,2
"38",0,2,1
"3030",2,2,2
"39",2,2,2
"30",2,2,2
"32",0,NA,0
"9197",0,1,0
"79611",2,NA,1
"84532",0,1,0
"64841",0,1,0
"55577",2,2,2
"5238",0,1,0
"9487",2,NA,1
"162417",0,NA,0
"43",1,NA,0
"6572",2,NA,1
"47",2,1,2
"54187",1,1,1
"26503",1,1,1
"54",2,1,2
"140838",0,1,0
"51205",0,1,0
"36",1,2,2
"34",2,2,2
"35",1,2,2
"84129",0,NA,0
"28976",0,1,0
"80724",0,1,0
"27034",1,1,1
"3712",1,1,1
"134526",0,NA,0
"51",0,1,0
"95",0,1,0
"50",2,2,2
"48",0,1,0
"8309",0,NA,0
"52",2,2,2
"55",0,0,0
"788",2,2,2
"55902",0,1,0
"65985",2,0,1
"438",0,NA,0
"1571",0,NA,0
"100",2,2,2
"3177",0,NA,0
"205",1,1,1
"204",2,2,2
"26289",0,1,0
"50808",2,2,2
"262",2,2,2
"113",2,1,2
"109",0,NA,0
"115",1,NA,0
"112",2,2,2
"107",0,NA,0
"114",1,NA,0
"55811",0,NA,0
"196883",1,NA,0
"111",0,NA,0
"108",2,NA,1
"2030",1,1,1
"9154",2,NA,1
"64078",1,2,2
"9153",2,NA,1
"55315",0,0,0
"11164",1,2,2
"952",2,0,1
"1375",0,NA,0
"1374",0,1,0
"126129",0,NA,0
"1376",1,1,1
"9061",2,1,2
"9060",0,1,0
"158",2,2,2
"10331",1,NA,0
"374907",0,2,1
"10678",2,0,1
"79369",0,NA,0
"11041",1,2,2
"93010",0,NA,0
"79814",0,1,0
"56894",1,1,1
"10555",1,2,2
"137964",2,1,2
"56895",1,1,1
"55326",1,1,1
"129642",1,1,1
"64850",0,NA,0
"64902",0,NA,0
"189",0,NA,0
"3074",2,1,2
"3073",0,1,0
"10606",2,2,2
"8402",2,2,2
"1468",0,1,0
"64849",0,NA,0
"1645",0,2,1
"1109",0,NA,0
"6718",0,2,1
"6510",2,1,2
"6509",1,2,2
"56301",2,NA,1
"6520",2,1,2
"211",2,1,2
"23464",1,0,0
"212",0,NA,0
"59272",0,NA,0
"6542",0,NA,0
"6541",1,1,1
"84889",0,NA,0
"54407",2,1,2
"81539",2,1,2
"340024",1,NA,0
"11254",0,NA,0
"57393",0,NA,0
"55089",0,NA,0
"2875",0,NA,0
"84706",0,0,0
"92745",1,2,2
"10991",2,NA,1
"284273",0,1,0
"10327",2,2,2
"8854",0,2,1
"224",0,1,0
"223",2,2,2
"216",0,1,0
"501",0,1,0
"217",0,1,0
"219",0,1,0
"239",0,0,0
"247",2,1,2
"246",0,1,0
"231",2,2,2
"8574",2,2,2
"23600",0,0,0
"115286",1,1,1
"271",2,1,2
"272",0,0,0
"270",0,NA,0
"290",1,1,1
"278",0,NA,0
"277",0,2,1
"279",0,2,1
"280",1,2,2
"6519",0,NA,0
"276",0,2,1
"11136",0,NA,0
"10998",1,NA,0
"113451",0,NA,0
"9057",1,1,1
"384",1,2,2
"445",1,2,2
"83884",0,NA,0
"10166",1,1,1
"410",2,1,2
"427",0,1,0
"9963",0,NA,0
"9962",1,NA,0
"80150",0,2,1
"440",1,1,1
"790",2,2,2
"6505",0,NA,0
"6512",0,NA,0
"6511",0,NA,0
"6507",1,2,2
"6506",0,2,1
"9296",2,1,2
"51606",2,1,2
"533",2,NA,1
"90423",0,2,1
"528",1,1,1
"525",0,NA,0
"10312",2,1,2
"127124",0,NA,0
"245973",0,NA,0
"50617",0,NA,0
"9114",2,1,2
"23545",1,1,1
"8992",2,NA,1
"535",0,1,0
"527",2,1,2
"526",2,2,2
"523",2,2,2
"529",2,1,2
"9550",2,1,2
"51382",2,1,2
"245972",0,1,0
"957",0,NA,0
"956",0,NA,0
"955",1,NA,0
"953",1,1,1
"954",0,NA,0
"377841",2,NA,1
"293",2,2,2
"291",0,1,0
"292",2,2,2
"4126",0,1,0
"8706",0,NA,0
"10317",1,NA,0
"84002",0,NA,0
"3141",0,1,0
"140679",0,NA,0
"8424",0,NA,0
"53630",0,NA,0
"635",2,2,2
"23743",0,NA,0
"10599",0,NA,0
"1244",1,NA,0
"8714",0,1,0
"28234",0,NA,0
"645",1,1,1
"644",2,2,2
"9488",1,2,2
"10380",0,2,1
"686",0,0,0
"8884",2,2,2
"80704",0,NA,0
"51733",0,NA,0
"7108",0,0,0
"50814",1,1,1
"3295",1,1,1
"6307",2,1,2
"493",2,1,2
"492",0,1,0
"491",0,NA,0
"490",2,1,2
"847",2,2,2
"6543",2,NA,1
"6547",0,NA,0
"6546",1,2,2
"166785",0,1,0
"2538",0,NA,0
"92579",0,0,0
"1373",0,1,0
"873",2,2,2
"10423",1,1,1
"8760",1,1,1
"1040",0,NA,0
"56994",1,2,2
"10390",2,1,2
"64781",2,2,2
"10087",0,1,0
"6565",0,NA,0
"9023",0,NA,0
"1103",2,NA,1
"162466",0,2,1
"9468",0,NA,0
"5130",0,1,0
"6579",0,NA,0
"6555",1,NA,0
"6554",0,NA,0
"55349",2,0,1
"1120",1,1,1
"1119",0,NA,0
"60482",2,NA,1
"6582",2,NA,1
"6584",1,NA,0
"6820",1,NA,0
"10948",1,1,1
"19",0,1,0
"1118",2,1,2
"27159",1,NA,0
"54682",0,NA,0
"9058",2,NA,1
"6576",2,2,2
"1159",1,0,0
"548596",1,0,0
"1160",0,NA,0
"1158",0,0,0
"1152",0,0,0
"5172",0,NA,0
"65010",1,NA,0
"54675",2,NA,1
"10559",1,1,1
"55907",1,2,2
"8034",0,1,0
"8824",2,NA,1
"51805",1,1,1
"51004",0,1,0
"10229",1,1,1
"2650",1,2,2
"9245",0,NA,0
"51301",2,0,1
"192134",0,NA,0
"386757",2,NA,1
"6535",1,NA,0
"1384",1,1,1
"6583",0,2,1
"1431",2,2,2
"54677",1,1,1
"8140",2,0,1
"23428",0,NA,0
"1036",0,NA,0
"23657",0,2,1
"57379",0,2,1
"978",2,2,2
"7371",1,0,0
"83549",0,1,0
"51727",2,2,2
"129607",1,1,1
"160851",0,1,0
"8526",0,1,0
"1606",2,2,2
"8527",2,2,2
"1607",0,1,0
"1608",2,1,2
"1609",0,1,0
"8525",2,1,2
"9162",0,NA,0
"1610",2,NA,1
"51022",2,NA,1
"2745",1,2,2
"8528",1,NA,0
"10455",1,1,1
"1632",1,2,2
"1633",2,2,2
"1638",0,NA,0
"6319",1,2,2
"9415",0,2,1
"3992",0,1,0
"8694",0,1,0
"84649",0,0,0
"1716",2,1,2
"6513",2,1,2
"6517",1,NA,0
"6515",2,1,2
"1718",1,2,2
"1581",0,NA,0
"1717",1,1,1
"8560",2,1,2
"123099",0,NA,0
"11309",2,2,2
"6783",0,0,0
"1723",1,0,0
"1809",2,NA,1
"1808",2,2,2
"1807",0,NA,0
"23539",1,NA,0
"2224",2,1,2
"29958",0,NA,0
"60386",0,1,0
"84920",0,1,0
"79087",1,1,1
"26002",0,NA,0
"1621",1,2,2
"7299",2,NA,1
"6530",2,NA,1
"6581",0,NA,0
"669",2,1,2
"5224",1,NA,0
"5223",2,2,2
"4597",1,1,1
"51071",1,1,1
"1806",2,1,2
"7083",1,2,2
"7084",0,0,0
"1854",2,2,2
"3704",2,2,2
"10682",2,1,2
"1892",2,2,2
"549",2,1,2
"1962",0,1,0
"1891",2,2,2
"11001",2,1,2
"28231",1,NA,0
"53919",0,NA,0
"10257",1,1,1
"28232",0,NA,0
"2109",2,2,2
"2108",2,0,1
"2110",0,1,0
"55500",2,1,2
"55224",1,NA,0
"8790",0,0,0
