"","GSM565281","GSM565282","GSM565283","GSM565284","GSM565285","GSM565286","GSM1070755","GSM1070756","GSM1070759","GSM1070760","GSM1070763","GSM1070764"
"314",0,0,1,0,1,0,0,1,0,0,0,1
"26",0,0,0,0,0,0,0,1,0,0,0,0
"8639",0,0,0,0,0,0,0,0,0,0,0,1
"1591",0,0,0,0,0,0,0,0,0,0,0,0
"1594",1,1,1,0,0,0,0,1,0,1,0,1
"10993",0,1,0,0,0,1,0,1,0,1,0,1
"6818",1,1,1,1,1,0,1,0,1,0,1,0
"89874",0,0,0,0,0,0,0,0,0,0,0,0
"3945",1,1,1,1,1,1,1,1,1,1,1,1
"3948",1,1,0,0,0,1,0,1,0,1,1,1
"55293",0,1,1,0,0,1,0,1,0,1,0,0
"160287",0,0,0,0,0,0,0,0,0,0,0,0
"92483",0,0,0,0,0,0,0,0,0,0,0,0
"3939",1,1,1,1,1,1,1,1,1,1,1,1
"9194",1,1,0,1,1,0,1,0,0,0,1,1
"6566",1,1,1,0,1,0,0,1,0,1,0,1
"9123",0,0,0,1,1,1,0,1,1,0,0,1
"57835",1,1,0,1,0,1,0,0,1,1,0,1
"8671",0,0,1,0,0,0,0,0,0,0,0,0
"1738",1,1,1,1,1,1,1,1,1,1,1,1
"4967",0,0,0,1,1,1,1,0,0,1,0,0
"1743",1,1,1,1,1,1,1,1,1,1,1,1
"8050",0,1,1,1,1,1,0,1,0,1,1,1
"128",0,0,0,0,1,1,1,0,1,0,1,0
"137872",0,0,0,0,0,0,1,0,1,0,1,0
"130",0,0,0,0,1,0,0,0,0,0,0,0
"127",0,0,0,0,0,0,0,0,0,0,0,0
"131",0,0,0,0,0,0,0,0,0,0,0,0
"126",0,0,0,0,0,0,0,0,0,0,0,0
"124",0,0,0,0,0,0,0,0,0,0,0,0
"125",0,0,0,0,0,0,0,0,0,0,0,0
"1312",1,1,1,0,0,0,1,0,1,0,1,0
"117247",0,0,0,0,0,0,0,0,0,0,0,0
"220",0,0,0,0,0,0,0,0,0,0,0,0
"221",1,1,1,1,1,0,1,1,0,1,0,1
"218",1,0,0,0,1,1,1,1,0,1,1,1
"222",0,0,0,0,0,0,0,0,0,0,0,0
"3242",0,0,0,0,0,0,0,0,0,0,0,0
"18",0,0,0,1,0,1,0,0,0,1,1,1
"2531",0,1,0,0,1,0,0,1,0,1,1,1
"23498",1,0,1,0,0,1,0,0,0,1,0,1
"55268",0,0,0,1,0,0,1,0,1,0,1,0
"883",0,0,1,0,1,0,1,0,1,0,1,0
"51166",0,0,0,0,0,0,0,0,0,0,0,0
"1644",0,0,1,0,1,1,0,1,0,0,0,0
"4128",0,1,0,0,0,0,0,1,0,0,1,1
"4129",1,1,1,0,1,0,0,0,0,0,1,1
"8604",0,1,0,0,1,1,1,1,1,0,1,0
"10165",0,0,1,0,0,1,0,1,0,1,1,1
"2572",0,1,0,0,0,0,0,0,0,1,0,0
"2571",0,1,1,0,0,0,0,1,1,1,0,1
"51380",0,0,0,1,0,0,1,0,1,0,1,0
"2805",0,0,1,0,1,1,1,0,1,1,0,0
