"","ImmProt_Th2_01","ImmProt_Th2_02","ImmProt_Th2_03","ImmProt_Th2_04"
"314",NA,NA,NA,NA
"26",0,1,0,0
"8639",NA,NA,NA,NA
"1591",NA,NA,NA,NA
"1594",1,1,1,1
"10993",1,1,1,1
"6818",1,1,0,0
"89874",NA,NA,NA,NA
"3945",1,1,1,1
"3948",NA,NA,NA,NA
"55293",1,1,0,1
"160287",NA,NA,NA,NA
"92483",NA,NA,NA,NA
"3939",1,1,1,1
"9194",1,0,0,1
"6566",1,1,0,1
"9123",1,1,1,0
"57835",NA,NA,NA,NA
"8671",1,1,1,1
"1738",1,1,1,1
"4967",1,1,1,1
"1743",1,1,1,1
"8050",1,1,0,0
"128",1,1,1,1
"137872",NA,NA,NA,NA
"130",NA,NA,NA,NA
"127",1,0,1,0
"131",NA,NA,NA,NA
"126",NA,NA,NA,NA
"124",NA,NA,NA,NA
"125",NA,NA,NA,NA
"1312",1,1,1,1
"117247",1,1,1,1
"220",NA,NA,NA,NA
"221",0,0,0,1
"218",NA,NA,NA,NA
"222",NA,NA,NA,NA
"3242",NA,NA,NA,NA
"18",1,0,0,1
"2531",1,0,0,1
"23498",1,0,0,0
"55268",0,1,0,1
"883",0,1,0,1
"51166",NA,NA,NA,NA
"1644",NA,NA,NA,NA
"4128",0,1,0,1
"4129",0,0,1,0
"8604",1,1,1,1
"10165",1,0,0,1
"2572",NA,NA,NA,NA
"2571",NA,NA,NA,NA
"51380",NA,NA,NA,NA
"2805",1,1,0,1
"2806",1,1,1,1
"8659",0,1,1,0
"6817",0,1,1,0
"6799",NA,NA,NA,NA
"6822",NA,NA,NA,NA
"6573",0,1,0,0
"316",NA,NA,NA,NA
"6570",NA,NA,NA,NA
"6571",1,1,1,1
"2348",NA,NA,NA,NA
"2352",1,1,1,1
"4125",0,1,0,1
"53947",NA,NA,NA,NA
"51146",NA,NA,NA,NA
"28",NA,NA,NA,NA
"206358",0,0,0,1
"6538",NA,NA,NA,NA
"6529",NA,NA,NA,NA
"6539",1,1,1,1
"6540",NA,NA,NA,NA
"3032",1,1,1,1
"10449",1,1,1,1
"38",1,1,1,1
"3030",1,1,1,1
"39",1,1,1,1
"30",1,1,1,1
"32",NA,NA,NA,NA
"9197",1,0,1,1
"79611",NA,NA,NA,NA
"84532",1,1,0,1
"64841",0,1,0,1
"55577",1,1,1,1
"5238",0,1,0,1
"9487",NA,NA,NA,NA
"162417",NA,NA,NA,NA
"43",NA,NA,NA,NA
"6572",NA,NA,NA,NA
"47",1,1,0,1
"54187",1,1,0,1
"26503",1,0,1,1
"54",1,1,0,1
"140838",0,1,0,1
"51205",0,1,0,1
"36",1,1,1,1
"34",1,1,1,1
"35",1,1,1,1
"84129",NA,NA,NA,NA
"28976",1,1,0,1
"80724",1,1,0,1
"27034",0,1,0,1
"3712",1,1,0,1
"134526",NA,NA,NA,NA
"51",1,1,0,0
"95",0,1,0,1
"50",1,1,1,1
"48",0,1,0,1
"8309",NA,NA,NA,NA
"52",1,1,1,1
"55",0,1,0,0
"788",1,1,1,1
"55902",0,1,0,1
"65985",0,0,0,1
"438",NA,NA,NA,NA
"1571",NA,NA,NA,NA
"100",1,1,1,1
"3177",NA,NA,NA,NA
"205",0,1,0,1
"204",1,1,1,1
"26289",0,1,0,1
"50808",1,1,1,1
"262",1,1,1,1
"113",1,0,0,1
"109",NA,NA,NA,NA
"115",NA,NA,NA,NA
"112",1,1,1,1
"107",NA,NA,NA,NA
"114",NA,NA,NA,NA
"55811",NA,NA,NA,NA
"196883",NA,NA,NA,NA
"111",NA,NA,NA,NA
"108",NA,NA,NA,NA
"2030",1,0,0,1
"9154",NA,NA,NA,NA
"64078",1,1,1,1
"9153",NA,NA,NA,NA
"55315",0,1,0,0
"11164",1,1,1,1
"952",1,0,0,0
"1375",NA,NA,NA,NA
"1374",1,0,0,1
"126129",NA,NA,NA,NA
"1376",1,0,0,1
"9061",0,1,0,1
"9060",1,1,0,1
"158",1,1,1,1
"10331",NA,NA,NA,NA
"374907",1,1,1,1
"10678",0,0,1,0
"79369",NA,NA,NA,NA
"11041",1,1,1,1
"93010",NA,NA,NA,NA
"79814",0,1,0,1
"56894",1,0,0,1
"10555",1,1,1,1
"137964",1,0,0,1
"56895",1,0,0,1
"55326",1,0,1,1
"129642",1,0,1,0
"64850",NA,NA,NA,NA
"64902",NA,NA,NA,NA
"189",NA,NA,NA,NA
"3074",0,1,0,1
"3073",0,1,0,1
"10606",1,1,1,1
"8402",1,1,1,1
"1468",1,0,1,1
"64849",NA,NA,NA,NA
"1645",1,1,1,1
"1109",NA,NA,NA,NA
