"","GSM2859423","GSM2859451","GSM2859480","GSM2859515"
"314",0,1,0,1
"26",1,1,1,1
"8639",0,0,1,0
"1591",1,0,1,0
"1594",0,0,1,1
"10993",1,0,0,0
"6818",0,1,0,0
"89874",1,1,1,1
"3945",1,1,1,1
"3948",0,0,0,1
"55293",1,0,0,1
"160287",0,0,1,1
"92483",1,1,1,1
"3939",1,1,1,1
"9194",0,1,0,0
"6566",1,0,1,1
"9123",1,0,1,0
"57835",0,1,0,1
"8671",1,0,0,0
"1738",1,1,1,1
"4967",1,1,1,1
"1743",1,1,1,0
"8050",1,0,1,1
"128",1,1,1,1
"137872",0,1,0,1
"130",0,1,1,1
"127",0,1,0,0
"131",1,1,1,1
"126",1,1,1,1
"124",0,0,1,0
"125",1,1,1,1
"1312",0,1,0,1
"117247",0,0,0,1
"220",1,1,1,1
"221",0,0,0,1
"218",1,1,1,1
"222",1,1,1,1
"3242",0,1,0,1
"18",0,0,1,1
"2531",1,0,1,1
"23498",1,1,0,1
"55268",1,1,0,0
"883",1,0,0,0
"51166",1,1,1,1
"1644",0,0,1,0
"4128",1,0,0,0
"4129",1,0,0,0
"8604",1,0,0,1
"10165",0,1,1,1
"2572",1,1,1,1
"2571",1,1,1,1
"51380",0,1,0,0
"2805",1,1,1,1
"2806",1,1,1,1
"8659",0,0,1,1
"6817",0,1,0,1
"6799",1,1,0,1
"6822",1,1,1,1
"6573",1,0,0,0
"316",1,1,1,1
"6570",1,1,1,1
"6571",1,1,0,0
"2348",1,1,1,1
"2352",1,0,0,0
"4125",1,1,1,1
"53947",1,1,1,1
"51146",1,1,1,1
"28",0,1,0,0
"206358",0,1,1,1
"6538",1,1,1,1
"6529",1,1,1,1
"6539",1,1,1,1
"6540",1,1,1,1
"3032",1,1,1,1
"10449",1,0,1,1
"38",1,0,0,1
"3030",1,1,1,1
"39",1,1,1,1
"30",1,1,1,1
"32",0,0,1,0
"9197",0,0,1,1
"79611",1,1,1,1
"84532",0,0,1,1
"64841",1,0,1,1
"55577",0,1,1,0
"5238",0,1,0,1
"9487",1,1,1,1
"162417",1,1,1,0
"43",1,1,1,1
"6572",1,1,1,1
"47",1,1,1,1
"54187",0,0,1,0
"26503",1,0,1,1
"54",1,1,1,1
"140838",1,1,1,0
"51205",0,1,0,0
"36",1,1,1,1
"34",1,1,1,1
"35",1,0,1,0
"84129",0,0,0,1
"28976",1,0,1,0
"80724",0,1,0,1
"27034",1,1,1,1
"3712",0,1,1,1
"134526",0,0,1,1
"51",1,0,1,0
"95",1,0,0,1
"50",1,1,1,1
"48",1,0,1,0
"8309",1,0,0,0
"52",1,1,1,1
"55",1,0,0,0
"788",1,0,1,1
"55902",1,1,0,1
"65985",1,1,0,1
"438",1,1,1,1
"1571",1,0,1,0
"100",1,1,1,1
"3177",1,0,0,0
"205",1,0,1,0
"204",1,1,1,1
"26289",1,0,1,0
"50808",1,1,1,1
"262",1,1,1,1
"113",1,1,1,1
"109",0,1,1,0
"115",1,0,1,0
"112",1,1,1,1
"107",1,0,1,0
"114",1,1,1,1
"55811",0,0,1,1
"196883",0,1,0,1
"111",0,1,0,1
"108",1,1,1,1
"2030",1,0,1,1
"9154",1,1,1,1
"64078",1,1,1,1
"9153",1,1,1,1
"55315",1,0,0,1
"11164",1,1,1,1
"952",0,1,1,1
"1375",1,0,0,1
"1374",0,0,1,1
"126129",0,1,0,0
"1376",1,0,1,1
"9061",1,1,1,1
"9060",0,0,1,0
"158",0,1,1,1
"10331",1,0,0,1
"374907",1,1,0,1
"10678",1,0,1,1
"79369",1,0,1,0
"11041",0,1,1,1
"93010",1,0,0,0
"79814",0,0,1,1
"56894",1,1,1,0
"10555",1,1,1,0
"137964",1,1,1,1
"56895",1,0,1,1
"55326",0,0,1,0
"129642",1,0,1,1
"64850",1,1,1,1
"64902",1,1,1,1
"189",1,1,1,1
"3074",1,1,1,1
"3073",0,0,0,1
"10606",1,0,1,1
"8402",1,1,1,1
"1468",0,0,1,1
"64849",0,0,1,1
"1645",0,1,1,0
"1109",0,1,0,0
"6718",1,1,1,1
"6510",1,0,1,1
"6509",1,0,1,0
"56301",1,1,1,1
"6520",1,1,1,1
"211",1,1,1,1
"23464",1,1,1,0
"212",1,0,0,1
"59272",1,1,1,1
"6542",1,1,1,1
"6541",1,0,1,0
"84889",1,1,1,1
"54407",1,1,1,1
"81539",1,1,1,1
"340024",1,1,1,1
"11254",1,1,1,1
"57393",0,0,1,0
"55089",0,0,1,0
"2875",0,1,0,0
"84706",0,0,1,0
"92745",1,1,1,1
"10991",1,1,1,1
"284273",0,0,1,0
"10327",1,1,1,1
"8854",0,0,1,0
"224",0,0,1,1
"223",1,1,1,1
"216",1,1,1,1
"501",1,0,1,1
"217",1,0,0,1
"219",0,1,0,1
"239",1,0,0,1
"247",1,1,1,1
"246",1,1,1,1
"231",1,1,1,1
"8574",1,1,1,1
"23600",0,0,1,1
"115286",0,1,0,1
"271",1,1,1,1
"272",0,0,1,0
"270",1,1,1,1
"290",1,1,1,1
"278",1,1,1,1
"277",1,1,1,1
"279",1,1,1,1
"280",0,1,1,0
"6519",1,0,1,1
"276",1,1,1,1
"11136",0,0,0,1
"10998",1,1,0,0
"113451",0,1,1,0
"9057",0,1,1,1
"384",0,1,1,0
"445",1,1,1,1
"83884",1,1,1,1
"10166",1,0,1,1
"410",1,1,1,1
"427",0,1,1,0
"9963",1,1,0,0
"9962",1,0,0,1
"80150",1,0,0,1
"440",1,0,1,0
"790",1,1,1,1
"6505",0,1,1,0
"6512",1,0,0,0
"6511",1,1,1,1
"6507",1,1,1,1
"6506",0,1,0,0
"9296",1,1,1,1
"51606",1,1,1,1
"533",1,1,1,1
"90423",0,1,0,1
"528",1,0,1,1
"525",1,1,1,1
"10312",1,1,1,1
"127124",0,0,0,1
"245973",1,1,0,0
"50617",1,1,1,1
"9114",1,1,1,1
"23545",1,0,1,0
"8992",1,1,1,1
"535",1,1,0,0
"527",1,0,1,1
"526",1,1,1,1
"523",1,1,1,1
"529",1,1,1,1
"9550",1,1,1,1
"51382",1,1,1,1
"245972",1,1,1,1
"957",1,0,0,1
"956",1,0,0,0
"955",1,0,1,1
"953",1,1,0,1
"954",0,0,1,0
"377841",1,1,1,1
"293",1,1,1,1
"291",1,1,0,0
"292",1,1,1,1
"4126",1,1,0,0
"8706",0,1,1,0
