"","ImmProt_mTregs_01","ImmProt_mTregs_02","ImmProt_mTregs_03","ImmProt_mTregs_04","ImmProt_mTregs_01_activated","ImmProt_mTregs_02_activated","ImmProt_mTregs_03_activated","ImmProt_nTregs_01","ImmProt_nTregs_02","ImmProt_nTregs_03","ImmProt_nTregs_04","ImmProt_nTregs_01_activated","ImmProt_nTregs_02_activated","ImmProt_nTregs_03_activated"
"314",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"8639",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1591",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1594",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10993",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6818",0,1,1,1,1,1,1,1,1,0,0,1,0,0
"89874",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3945",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3948",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55293",0,1,1,1,1,0,1,0,0,0,0,0,0,1
"160287",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92483",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3939",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"9194",1,1,0,1,1,0,0,1,0,1,1,0,1,1
"6566",0,1,0,0,1,0,1,1,1,0,0,0,0,1
"9123",0,0,1,1,1,1,0,1,0,1,0,1,1,0
"57835",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8671",0,0,0,1,0,0,0,0,0,1,0,0,0,0
"1738",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4967",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1743",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"8050",0,1,1,0,1,0,0,0,1,1,1,0,1,0
"128",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"137872",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127",0,0,0,0,1,1,1,1,0,1,1,0,1,1
"131",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1312",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"117247",0,1,1,1,0,0,0,1,0,1,0,0,0,0
"220",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221",0,0,0,0,0,0,0,1,0,1,0,0,1,0
"218",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3242",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",0,1,1,1,0,1,1,0,1,1,1,0,1,1
"2531",0,1,0,1,1,0,0,1,1,0,0,0,1,0
"23498",0,1,0,0,1,1,0,0,0,0,0,0,0,0
"55268",1,1,1,0,1,1,1,0,1,0,1,0,0,1
"883",0,1,1,0,1,0,0,0,1,0,1,1,0,0
"51166",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1644",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4128",0,0,0,1,1,1,1,1,1,1,1,1,1,0
"4129",0,0,0,1,0,0,0,1,0,1,0,0,1,1
"8604",0,1,0,1,1,0,0,0,1,1,1,1,1,0
"10165",0,1,0,1,0,1,1,0,1,0,1,0,1,0
"2572",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2571",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51380",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2805",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"2806",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"8659",0,1,1,0,1,1,0,0,1,1,0,0,0,1
"6817",1,0,1,1,1,1,1,1,0,0,1,0,1,1
"6799",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6822",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6573",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"316",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6570",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6571",1,0,0,0,0,0,0,0,1,1,0,0,0,0
"2348",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2352",0,0,0,0,0,0,0,0,0,1,1,0,0,0
"4125",0,1,1,1,0,1,0,0,0,1,1,0,1,0
"53947",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51146",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206358",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6538",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6529",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6539",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6540",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3032",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"10449",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3030",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"39",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"30",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9197",0,0,1,1,0,1,1,1,0,1,0,1,1,0
"79611",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84532",0,1,1,0,0,1,1,0,1,1,0,0,0,1
"64841",0,1,1,0,0,1,1,0,1,1,1,0,0,1
"55577",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"5238",0,0,1,1,1,1,1,0,1,1,1,1,0,1
"9487",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162417",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6572",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"54187",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"26503",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54",0,1,1,1,0,1,1,1,1,1,0,0,1,1
"140838",0,0,0,0,0,0,0,1,0,0,0,0,0,1
"51205",0,1,1,0,1,1,1,0,1,1,0,0,0,1
"36",0,1,1,0,1,0,1,0,1,1,1,1,0,1
"34",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"35",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"84129",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28976",0,1,1,0,0,1,1,0,1,1,1,0,1,1
"80724",0,1,1,0,0,0,1,0,1,1,1,1,0,1
"27034",0,1,0,1,1,1,0,0,1,0,1,1,0,0
"3712",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"134526",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",0,1,1,0,1,1,0,0,1,1,1,1,0,0
"95",1,0,1,0,1,0,1,0,1,0,1,1,1,0
"50",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"48",0,1,1,0,0,1,0,0,1,1,1,0,1,0
"8309",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"55",0,1,0,0,0,0,0,0,0,0,0,1,0,1
"788",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"55902",1,0,1,1,1,0,1,0,1,1,1,1,0,1
"65985",0,0,1,0,0,0,0,0,1,1,1,0,1,0
"438",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1571",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
