"","GSM2859419","GSM2859447","GSM2859476","GSM2859511","GSM3319770","GSM3319879","GSM3319880","GSM3319893","GSM3319899","GSM2302911","GSM2302912","GSM2302915","GSM2302918","GSM2302919","GSM2302922","GSM2302923","GSM2616452","GSM2616676","GSM2616686","GSM2616689","GSM2616692"
"314",1,1,0,1,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1
"26",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"8639",0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,1
"1591",1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1
"1594",1,1,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0
"10993",0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1
"6818",0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0
"89874",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3945",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3948",1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1
"55293",1,1,0,1,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1
"160287",1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
"92483",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3939",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"9194",0,0,1,1,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1
"6566",1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0
"9123",0,1,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0
"57835",1,0,0,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,1
"8671",1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1
"1738",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
"4967",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1743",1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0
"8050",0,1,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0
"128",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0
"137872",0,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0,1,1,1,1,1
"130",1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,1,1,1,1
"127",0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1
"131",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"126",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"124",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"125",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1312",0,1,0,0,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1
"117247",1,0,0,1,0,0,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0
"220",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"221",0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
"218",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"222",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3242",0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
"18",1,0,1,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0
"2531",1,1,0,1,0,0,0,1,1,1,0,1,1,0,1,0,0,0,1,1,0
"23498",0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0
"55268",1,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1
"883",0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1
"51166",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1644",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"4128",1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1
"4129",0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0
"8604",0,1,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0
"10165",1,0,0,1,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1
"2572",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2571",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51380",0,0,1,1,1,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0
"2805",1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"2806",1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"8659",0,1,1,1,1,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1
"6817",1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0
"6799",1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1
"6822",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"6573",1,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0
"316",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6570",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6571",0,1,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0
"2348",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2352",1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"4125",0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,0
"53947",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51146",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0
"206358",1,0,1,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0
"6538",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"6529",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"6539",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"6540",0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
"3032",1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
"10449",1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
"38",1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
"3030",1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
"39",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
"30",1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1
"32",0,0,1,1,0,0,0,1,1,0,1,1,0,1,0,1,0,0,0,0,1
"9197",1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0,0,1
"79611",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"84532",0,0,1,1,1,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1
"64841",0,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,0,1,1,0,0
"55577",0,0,1,1,1,0,1,0,1,1,1,1,0,0,1,1,0,0,0,0,1
"5238",0,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0
"9487",1,0,0,1,1,0,0,1,1,0,1,1,0,1,1,1,0,0,0,1,1
"162417",0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
"43",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6572",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47",1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
"54187",0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
"26503",1,0,0,1,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1
"54",0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1
