"","GSM2579315","GSM2579319","GSM2579323","GSM2579327","GSM2579331","GSM2579335","GSM3045784","GSM1414742","GSM1414743","GSM1414744","GSM1414745"
"314",1,0,0,0,1,0,0,0,1,1,1
"26",1,1,1,1,1,1,1,1,0,1,0
"8639",0,0,0,1,0,0,1,0,1,1,1
"1591",0,0,1,0,0,0,0,0,0,0,0
"1594",1,0,0,0,0,0,1,0,1,1,1
"10993",1,0,0,0,0,1,1,0,1,1,0
"6818",0,0,0,0,0,0,0,1,1,0,0
"89874",0,0,0,0,0,0,0,0,0,0,0
"3945",1,1,1,1,1,1,1,1,1,1,1
"3948",0,0,0,1,0,0,0,0,0,1,0
"55293",0,0,0,1,1,0,0,0,0,1,1
"160287",1,0,1,0,1,0,1,0,0,1,1
"92483",0,0,0,0,0,0,0,0,0,1,0
"3939",1,1,1,1,1,1,1,1,1,1,1
"9194",1,1,0,1,0,1,1,0,1,0,1
"6566",0,0,1,0,1,1,1,0,1,1,1
"9123",1,0,1,0,0,0,1,1,1,0,0
"57835",0,0,0,1,1,1,0,0,0,1,1
"8671",0,0,0,0,0,0,0,0,0,0,0
"1738",1,1,1,1,1,1,1,1,1,1,1
"4967",1,1,1,1,1,1,1,1,1,1,1
"1743",1,1,0,0,0,0,1,1,1,1,0
"8050",0,1,1,0,0,0,1,0,1,1,1
"128",1,1,1,1,1,1,1,1,1,1,1
"137872",0,0,0,1,0,1,0,0,0,1,1
"130",0,0,0,0,0,1,1,0,0,1,1
"127",0,0,0,0,0,0,0,0,0,0,0
"131",0,0,0,0,0,0,0,0,0,0,0
"126",0,0,0,0,0,0,0,0,0,0,0
"124",0,0,0,0,0,0,0,0,0,0,1
"125",0,0,0,0,0,0,0,0,0,0,0
"1312",1,1,1,1,1,1,1,1,1,1,1
"117247",0,0,0,1,1,1,0,0,1,1,1
"220",0,0,0,0,0,0,0,0,0,0,1
"221",1,1,1,1,0,0,1,0,0,1,1
"218",0,0,0,0,0,0,0,1,0,1,0
"222",0,0,0,0,0,0,0,0,0,0,0
"3242",1,1,1,0,0,0,1,1,1,0,0
"18",0,0,0,1,1,1,1,1,0,1,0
"2531",1,1,0,0,0,1,1,0,1,1,1
"23498",0,0,1,0,1,0,1,0,0,1,1
"55268",1,0,0,1,1,1,1,0,0,1,1
"883",0,1,1,0,0,1,1,0,0,1,0
"51166",0,0,0,0,0,0,0,0,0,0,0
"1644",0,0,0,1,1,1,1,0,1,1,0
"4128",0,0,0,0,0,0,0,1,0,1,0
"4129",1,1,1,1,1,1,0,0,0,1,0
"8604",1,0,0,1,0,1,1,0,1,1,1
"10165",0,1,1,0,1,0,1,0,0,1,1
"2572",1,1,1,1,1,1,0,0,1,1,0
"2571",0,0,0,0,0,0,0,0,0,0,0
"51380",1,0,0,1,1,1,0,0,0,1,1
"2805",1,1,1,1,1,1,1,1,1,1,1
"2806",1,1,1,1,1,1,1,1,1,1,1
"8659",1,0,1,0,0,0,1,1,0,0,0
"6817",1,1,0,1,0,0,1,1,0,0,0
"6799",0,1,0,1,1,0,0,1,0,1,0
"6822",0,0,0,0,0,0,0,0,0,0,0
"6573",1,1,0,0,0,1,1,1,1,1,0
"316",0,0,0,0,0,0,0,0,0,0,0
"6570",0,0,1,0,0,0,0,0,0,0,0
"6571",1,0,0,0,1,0,0,0,0,1,0
"2348",0,0,0,0,0,0,0,0,0,0,0
"2352",0,0,0,1,0,0,0,0,0,0,0
"4125",1,1,1,1,0,1,1,1,1,1,1
"53947",0,0,0,0,0,0,0,1,0,0,1
"51146",0,0,0,0,0,0,0,0,0,0,1
"28",1,0,1,0,1,0,1,0,0,0,1
"206358",1,0,0,1,0,1,0,0,0,1,1
"6538",1,1,1,1,1,1,1,1,1,1,1
"6529",0,0,0,0,0,0,0,0,0,0,0
"6539",0,0,0,0,0,1,0,0,0,0,0
"6540",0,0,0,0,1,0,1,0,0,0,1
"3032",1,1,1,1,1,1,1,1,1,1,1
"10449",1,1,0,0,0,0,0,0,1,0,0
"38",0,1,1,0,0,1,0,0,1,0,1
"3030",1,1,1,1,1,1,1,1,1,1,1
"39",1,1,1,1,1,1,1,1,1,1,1
"30",1,1,1,1,1,1,1,1,1,1,1
"32",1,1,0,0,1,0,1,1,1,0,0
"9197",0,0,1,0,1,1,0,0,0,1,1
"79611",0,0,0,0,0,0,0,0,0,0,0
"84532",1,0,1,1,1,0,0,1,1,0,0
"64841",1,1,0,0,1,0,0,0,1,1,0
"55577",1,1,1,1,1,1,1,1,1,1,1
"5238",0,1,0,0,0,1,1,0,0,0,1
"9487",1,0,0,1,0,0,1,0,0,1,1
"162417",1,1,0,0,0,1,1,1,1,0,0
"43",0,0,0,0,1,0,0,1,0,1,0
"6572",0,0,0,0,0,0,0,0,0,0,0
"47",1,1,1,1,1,1,1,1,1,1,1
"54187",1,1,1,0,1,1,1,1,1,1,1
"26503",1,1,0,1,0,1,1,1,1,0,0
"54",1,1,1,0,1,1,1,1,1,1,1
"140838",1,1,0,0,0,1,1,0,1,1,1
"51205",0,0,0,0,1,1,1,0,0,1,0
"36",1,0,0,1,0,1,1,0,1,1,1
"34",1,1,1,1,1,1,1,1,1,1,1
"35",1,1,1,1,1,1,1,1,1,1,0
"84129",0,0,0,1,0,1,0,0,1,1,0
"28976",0,0,1,0,1,1,1,1,1,1,0
"80724",0,1,0,0,1,0,0,1,1,1,0
"27034",0,0,1,0,1,1,0,0,1,1,0
"3712",1,1,1,1,1,0,1,1,1,1,0
"134526",1,1,0,0,0,0,1,1,1,1,0
"51",1,1,0,1,0,1,1,0,1,1,0
"95",0,1,0,0,1,0,1,1,0,1,0
"50",1,1,1,1,1,1,1,1,1,1,1
"48",0,1,0,1,1,1,1,0,1,0,1
"8309",0,0,0,0,0,0,0,0,0,0,0
"52",1,1,1,1,1,1,1,1,1,1,1
"55",0,0,0,1,0,0,0,0,0,1,0
"788",1,1,1,1,1,1,1,1,1,1,1
"55902",0,0,1,1,1,1,1,1,1,0,0
"65985",0,0,0,1,0,1,0,1,0,1,0
"438",1,1,1,1,1,1,1,0,0,1,1
"1571",1,0,0,0,1,1,1,1,1,0,0
"100",1,1,1,1,1,1,1,1,1,1,1
"3177",1,0,1,1,1,0,1,1,1,0,0
"205",0,1,0,0,0,0,0,0,0,1,1
"204",1,1,1,1,1,1,1,1,1,1,1
"26289",1,0,0,1,0,0,1,1,1,0,0
"50808",1,1,1,1,0,1,1,1,1,1,1
"262",1,1,1,1,1,1,1,1,1,1,1
"113",1,0,0,1,0,1,1,0,1,0,0
"109",1,0,1,0,0,1,1,1,1,0,0
"115",0,1,0,0,1,1,1,1,1,0,1
"112",0,0,0,0,0,0,0,0,0,1,1
"107",0,0,0,0,0,0,0,0,0,0,0
"114",0,0,0,0,0,0,0,0,0,0,0
"55811",1,0,1,0,1,0,0,0,1,0,1
"196883",0,1,0,0,1,0,1,1,1,0,0
"111",1,0,0,0,0,0,1,0,0,0,1
"108",0,0,0,0,0,0,0,0,0,0,0
"2030",1,0,0,0,0,0,0,1,0,1,1
"9154",0,0,0,0,0,0,0,0,0,0,0
"64078",0,0,0,0,0,0,0,1,0,0,0
"9153",1,0,1,0,0,0,0,0,1,0,0
"55315",1,0,1,1,1,0,0,1,1,0,0
"11164",1,1,1,1,1,1,1,1,1,1,1
"952",1,1,1,1,1,1,1,1,1,1,1
"1375",1,0,1,1,0,0,1,0,1,1,0
"1374",1,1,0,1,0,0,1,0,1,0,1
"126129",1,0,0,0,1,0,1,0,0,1,0
"1376",0,1,0,0,1,0,1,1,0,0,0
"9061",1,1,1,1,1,0,1,0,1,1,1
"9060",1,1,0,1,0,1,1,0,0,1,1
"158",0,0,0,0,1,1,0,0,0,1,1
"10331",1,0,0,0,1,1,0,1,1,0,0
"374907",0,0,1,0,0,1,0,1,1,1,0
"10678",1,1,1,1,1,1,1,1,1,1,1
"79369",1,1,0,0,0,0,1,1,1,0,1
"11041",0,1,0,1,1,0,1,1,1,0,0
"93010",1,1,0,0,0,0,0,1,0,0,0
"79814",1,1,1,1,1,1,1,1,1,1,1
"56894",0,0,0,1,1,1,0,1,1,0,0
"10555",1,1,0,0,1,0,1,1,0,0,0
"137964",0,1,0,1,1,1,1,1,1,0,0
"56895",0,1,0,0,1,1,0,0,0,1,1
"55326",1,0,0,1,1,0,0,0,1,1,1
"129642",1,0,0,0,1,1,1,0,0,1,1
"64850",1,0,0,0,0,0,0,0,0,0,0
"64902",0,0,0,0,0,0,0,0,0,0,0
"189",0,0,0,0,0,0,0,0,0,0,0
"3074",1,1,1,1,1,1,1,1,1,1,1
"3073",0,0,1,1,1,0,0,1,0,1,0
"10606",1,1,1,1,1,1,1,1,1,1,1
"8402",1,1,1,1,1,1,1,1,1,1,1
"1468",1,0,0,1,1,0,1,1,1,0,0
"64849",0,0,0,0,1,0,1,1,0,1,0
"1645",1,1,0,1,1,1,1,0,1,0,0
"1109",0,1,0,0,1,0,1,0,1,1,0
"6718",0,0,0,0,0,0,0,0,0,0,0
"6510",0,1,0,0,0,1,0,1,1,0,0
"6509",0,1,1,0,0,0,1,1,0,0,0
"56301",0,0,1,0,0,0,0,0,0,1,1
"6520",1,1,1,1,1,1,1,1,1,1,1
"211",1,1,0,1,1,1,1,1,1,1,1
"23464",1,0,0,1,1,1,1,1,1,0,0
"212",1,0,0,1,0,1,1,0,1,1,1
"59272",0,0,0,0,0,0,0,0,0,0,0
"6542",0,0,0,0,0,0,0,0,0,0,0
"6541",1,1,1,0,1,1,1,1,1,1,0
"84889",0,0,0,0,0,0,0,1,0,0,0
"54407",1,1,1,1,1,1,1,1,1,1,1
"81539",1,1,1,1,1,1,1,1,1,1,1
"340024",0,0,0,0,0,0,0,0,0,0,0
"11254",0,0,0,0,1,0,0,0,0,0,0
"57393",1,1,1,0,0,0,1,1,0,0,1
"55089",0,0,0,0,1,1,0,0,0,0,0
"2875",1,1,0,0,1,0,0,1,0,0,0
"84706",1,0,0,0,0,1,0,1,0,0,1
"92745",1,1,1,0,0,0,1,1,1,1,0
"10991",0,0,0,0,0,0,0,0,0,0,0
"284273",0,1,0,1,0,0,1,0,0,1,0
"10327",1,1,1,1,1,1,1,1,1,1,1
"8854",0,0,0,0,0,0,0,0,0,0,0
"224",0,1,1,0,1,1,1,0,1,1,0
"223",1,1,1,1,1,1,1,1,1,1,1
"216",0,0,0,0,0,1,1,0,0,1,1
"501",1,0,0,1,0,1,1,1,0,1,0
"217",0,0,1,1,0,1,1,1,0,0,0
"219",1,0,1,0,1,0,1,1,1,0,0
"239",0,1,0,1,0,1,0,1,0,1,0
"247",1,0,0,0,0,0,0,0,1,0,0
"246",0,1,1,1,0,0,0,1,1,0,1
"231",1,1,1,1,1,1,1,1,1,1,1
"8574",1,1,1,1,1,1,1,1,1,1,1
"23600",0,1,1,0,1,0,0,0,1,1,0
"115286",1,0,0,0,0,1,0,1,1,0,0
"271",0,0,1,0,1,1,1,1,1,0,0
"272",1,0,1,1,0,0,1,0,1,0,1
"270",0,0,0,0,0,0,0,0,1,0,0
"290",0,1,0,0,0,1,1,1,0,1,0
"278",0,0,0,0,0,0,0,0,0,0,0
"277",0,0,0,0,0,0,0,0,0,0,0
