"","ImmProt_T4.naive_01","ImmProt_T4.naive_02","ImmProt_T4.naive_03","ImmProt_T4.naive_04","ImmProt_T4.naive_01_activated","ImmProt_T4.naive_02_activated","ImmProt_T4.naive_03_activated","ImmProt_T4.naive_04_activated"
"26",1,1,1,1,1,1,1,1
"314",NA,NA,NA,NA,NA,NA,NA,NA
"8639",NA,NA,NA,NA,NA,NA,NA,NA
"1591",NA,NA,NA,NA,NA,NA,NA,NA
"1594",1,1,1,1,1,1,1,1
"10993",0,0,0,0,1,1,0,0
"6818",0,1,0,1,0,0,0,1
"89874",NA,NA,NA,NA,NA,NA,NA,NA
"55293",0,0,0,0,1,1,1,0
"3945",1,1,1,1,1,1,1,1
"92483",NA,NA,NA,NA,NA,NA,NA,NA
"160287",NA,NA,NA,NA,NA,NA,NA,NA
"3948",NA,NA,NA,NA,NA,NA,NA,NA
"3939",0,0,0,0,1,1,0,0
"134526",NA,NA,NA,NA,NA,NA,NA,NA
"51",0,0,0,0,1,1,1,0
"95",0,0,0,0,1,1,1,0
"50",1,1,1,1,1,1,1,1
"48",0,0,0,1,1,1,1,0
"8309",NA,NA,NA,NA,NA,NA,NA,NA
"52",1,1,1,1,1,1,1,1
"55",0,0,0,0,1,0,1,1
"788",1,1,1,1,1,1,1,1
"9194",0,1,1,0,1,1,1,0
"55902",0,0,0,0,1,1,1,0
"9123",0,0,0,0,1,1,1,1
"6566",0,0,0,0,1,1,1,1
"57835",NA,NA,NA,NA,NA,NA,NA,NA
"65985",0,0,0,0,1,1,1,0
"8671",1,1,1,1,1,1,1,1
"438",NA,NA,NA,NA,NA,NA,NA,NA
"1571",NA,NA,NA,NA,NA,NA,NA,NA
"4967",1,1,1,1,1,1,1,1
"100",1,1,1,1,1,1,1,1
"8050",0,0,1,1,1,1,0,0
"1738",1,1,1,1,1,1,1,1
"3177",NA,NA,NA,NA,NA,NA,NA,NA
"1743",1,1,1,1,1,1,1,1
"126",NA,NA,NA,NA,NA,NA,NA,NA
"205",0,0,0,0,1,1,1,0
"128",1,1,1,1,1,1,1,1
"204",1,1,1,1,1,1,1,1
"130",NA,NA,NA,NA,NA,NA,NA,NA
"127",1,1,1,1,1,0,0,0
"131",NA,NA,NA,NA,NA,NA,NA,NA
"124",NA,NA,NA,NA,NA,NA,NA,NA
"125",NA,NA,NA,NA,NA,NA,NA,NA
"26289",1,1,1,1,0,0,0,0
"137872",NA,NA,NA,NA,NA,NA,NA,NA
"1312",1,1,1,1,1,1,1,1
"50808",1,1,1,1,1,1,1,1
"262",1,1,1,1,1,1,1,1
"117247",0,1,0,0,0,0,0,1
"222",NA,NA,NA,NA,NA,NA,NA,NA
"113",0,0,0,1,1,0,1,0
"218",NA,NA,NA,NA,NA,NA,NA,NA
"108",NA,NA,NA,NA,NA,NA,NA,NA
"220",NA,NA,NA,NA,NA,NA,NA,NA
"221",0,0,0,1,1,1,1,0
"114",NA,NA,NA,NA,NA,NA,NA,NA
"111",NA,NA,NA,NA,NA,NA,NA,NA
"3242",NA,NA,NA,NA,NA,NA,NA,NA
"115",NA,NA,NA,NA,NA,NA,NA,NA
"18",0,1,1,1,0,1,0,0
"109",NA,NA,NA,NA,NA,NA,NA,NA
"55811",NA,NA,NA,NA,NA,NA,NA,NA
"196883",NA,NA,NA,NA,NA,NA,NA,NA
"2531",0,1,0,1,0,1,0,0
"107",NA,NA,NA,NA,NA,NA,NA,NA
"23498",0,0,1,0,1,0,0,1
"112",0,0,0,0,1,0,0,0
"55268",0,1,1,1,0,0,0,0
"51166",NA,NA,NA,NA,NA,NA,NA,NA
"2030",0,0,0,0,0,1,1,1
"883",1,1,0,1,0,0,1,0
"1644",NA,NA,NA,NA,NA,NA,NA,NA
"4129",1,1,0,1,0,0,0,0
"9154",NA,NA,NA,NA,NA,NA,NA,NA
"64078",1,1,1,1,1,1,1,1
"4128",1,0,0,0,0,0,0,0
"9153",NA,NA,NA,NA,NA,NA,NA,NA
"10165",1,1,1,1,0,0,0,0
"55315",1,1,1,1,1,1,1,1
"8604",1,1,1,1,0,0,0,0
"245972",1,0,1,1,1,0,0,0
"2572",NA,NA,NA,NA,NA,NA,NA,NA
"9114",0,0,0,0,1,1,1,1
"11164",1,1,1,1,1,1,1,1
"2571",NA,NA,NA,NA,NA,NA,NA,NA
"952",0,0,0,0,1,1,1,1
"51380",NA,NA,NA,NA,NA,NA,NA,NA
"1375",NA,NA,NA,NA,NA,NA,NA,NA
"533",NA,NA,NA,NA,NA,NA,NA,NA
"2805",1,1,1,1,1,1,1,1
"50617",NA,NA,NA,NA,NA,NA,NA,NA
"1374",0,0,0,0,1,1,1,1
"2806",1,1,1,1,1,1,1,1
"8659",1,0,0,0,1,1,0,0
"126129",NA,NA,NA,NA,NA,NA,NA,NA
"10312",0,0,0,0,1,1,1,1
"6817",0,1,0,1,0,0,0,0
"535",0,0,0,0,1,0,0,1
"127124",NA,NA,NA,NA,NA,NA,NA,NA
"523",1,1,1,1,1,1,1,1
"1376",0,0,1,1,1,0,1,0
"6799",NA,NA,NA,NA,NA,NA,NA,NA
"9060",0,0,1,1,0,0,0,0
"8992",NA,NA,NA,NA,NA,NA,NA,NA
"9061",0,0,0,0,1,1,1,0
"158",1,1,1,1,1,1,1,1
"9550",1,0,0,1,1,1,1,1
"4363",0,0,0,0,1,1,1,1
"529",0,1,0,1,1,1,1,1
"6822",NA,NA,NA,NA,NA,NA,NA,NA
"6573",0,0,0,0,1,1,1,1
"146712",NA,NA,NA,NA,NA,NA,NA,NA
"528",0,0,1,1,0,1,1,1
"316",NA,NA,NA,NA,NA,NA,NA,NA
"10678",0,1,0,0,0,0,1,1
"6571",1,1,1,1,1,1,1,1
"6570",NA,NA,NA,NA,NA,NA,NA,NA
"10331",NA,NA,NA,NA,NA,NA,NA,NA
"51382",0,0,0,0,1,1,1,0
"2348",NA,NA,NA,NA,NA,NA,NA,NA
"90423",0,0,0,0,0,0,1,0
"534",NA,NA,NA,NA,NA,NA,NA,NA
"374907",1,1,1,1,1,1,1,1
"2352",1,1,1,1,1,1,1,1
"51606",0,0,0,1,1,1,0,1
"11041",0,1,0,0,1,1,1,1
"93010",NA,NA,NA,NA,NA,NA,NA,NA
"9296",0,0,0,1,1,1,1,1
"79369",NA,NA,NA,NA,NA,NA,NA,NA
"4125",0,0,0,0,1,1,1,1
"954",NA,NA,NA,NA,NA,NA,NA,NA
"79814",0,1,1,1,1,1,1,0
"53947",NA,NA,NA,NA,NA,NA,NA,NA
"51146",NA,NA,NA,NA,NA,NA,NA,NA
"28",NA,NA,NA,NA,NA,NA,NA,NA
"953",0,0,0,0,1,0,0,0
"206358",1,1,1,1,1,1,1,1
"957",NA,NA,NA,NA,NA,NA,NA,NA
"56895",0,0,0,0,0,0,1,1
"6540",NA,NA,NA,NA,NA,NA,NA,NA
"137964",1,1,0,1,0,0,1,1
"129642",0,0,0,0,1,1,0,0
"956",NA,NA,NA,NA,NA,NA,NA,NA
"955",NA,NA,NA,NA,NA,NA,NA,NA
"6539",1,1,1,1,1,1,1,1
"56894",0,0,1,1,0,1,1,0
"10555",0,0,0,1,0,0,1,0
"55326",1,0,1,0,0,1,1,0
"10554",1,1,1,1,0,0,0,0
"6529",NA,NA,NA,NA,NA,NA,NA,NA
"6538",NA,NA,NA,NA,NA,NA,NA,NA
"10449",1,1,1,1,1,1,1,1
"38",0,0,0,0,0,0,1,0
"64850",NA,NA,NA,NA,NA,NA,NA,NA
"377841",NA,NA,NA,NA,NA,NA,NA,NA
"3032",1,1,1,1,1,1,1,1
