"","ImmProt_T8.naive_01","ImmProt_T8.naive_02","ImmProt_T8.naive_03","ImmProt_T8.naive_04","ImmProt_T8.naive_02_activated","ImmProt_T8.naive_03_activated","ImmProt_T8.naive_04_activated"
"314",NA,NA,NA,NA,NA,NA,NA
"26",0,0,1,0,1,0,0
"8639",NA,NA,NA,NA,NA,NA,NA
"1591",NA,NA,NA,NA,NA,NA,NA
"1594",0,0,0,0,0,0,0
"10993",0,0,0,0,0,0,0
"6818",1,0,0,1,0,1,0
"89874",NA,NA,NA,NA,NA,NA,NA
"3945",1,1,1,1,1,1,1
"3948",NA,NA,NA,NA,NA,NA,NA
"55293",0,0,1,1,0,1,1
"160287",NA,NA,NA,NA,NA,NA,NA
"92483",NA,NA,NA,NA,NA,NA,NA
"3939",0,0,0,0,0,0,0
"9194",1,1,0,1,0,1,1
"6566",1,1,0,1,0,1,1
"9123",0,1,0,1,0,1,1
"57835",NA,NA,NA,NA,NA,NA,NA
"8671",0,0,0,1,0,0,0
"1738",1,1,1,1,1,1,1
"4967",1,1,1,1,1,1,1
"1743",1,1,1,1,1,1,1
"8050",0,0,1,0,1,1,0
"128",1,1,1,1,1,1,1
"137872",NA,NA,NA,NA,NA,NA,NA
"130",NA,NA,NA,NA,NA,NA,NA
"127",1,1,0,0,0,0,0
"131",NA,NA,NA,NA,NA,NA,NA
"126",NA,NA,NA,NA,NA,NA,NA
"124",NA,NA,NA,NA,NA,NA,NA
"125",NA,NA,NA,NA,NA,NA,NA
"1312",1,1,1,1,0,1,1
"117247",0,0,1,1,1,1,0
"220",NA,NA,NA,NA,NA,NA,NA
"221",0,0,0,1,0,0,0
"218",NA,NA,NA,NA,NA,NA,NA
"222",NA,NA,NA,NA,NA,NA,NA
"3242",NA,NA,NA,NA,NA,NA,NA
"18",0,0,1,1,1,1,0
"2531",1,1,0,1,0,1,1
"23498",1,0,1,1,0,1,1
"55268",0,0,1,1,1,0,1
"883",1,0,1,0,0,1,1
"51166",NA,NA,NA,NA,NA,NA,NA
"1644",NA,NA,NA,NA,NA,NA,NA
"4128",1,0,1,0,0,0,0
"4129",1,0,0,0,0,0,0
"8604",1,1,1,1,1,1,1
"10165",0,0,1,0,0,1,1
"2572",NA,NA,NA,NA,NA,NA,NA
"2571",NA,NA,NA,NA,NA,NA,NA
"51380",NA,NA,NA,NA,NA,NA,NA
"2805",1,1,1,1,1,1,1
"2806",1,1,1,1,1,1,1
"8659",1,1,0,0,0,0,1
"6817",0,1,1,0,0,0,0
"6799",NA,NA,NA,NA,NA,NA,NA
"6822",NA,NA,NA,NA,NA,NA,NA
"6573",0,0,0,0,0,0,0
"316",NA,NA,NA,NA,NA,NA,NA
"6570",NA,NA,NA,NA,NA,NA,NA
"6571",0,0,0,1,0,0,0
"2348",NA,NA,NA,NA,NA,NA,NA
"2352",0,0,0,0,0,0,0
"4125",1,0,1,0,0,1,1
"53947",NA,NA,NA,NA,NA,NA,NA
"51146",NA,NA,NA,NA,NA,NA,NA
"28",NA,NA,NA,NA,NA,NA,NA
"206358",0,0,0,0,0,0,0
"6538",NA,NA,NA,NA,NA,NA,NA
"6529",NA,NA,NA,NA,NA,NA,NA
"6539",0,0,0,0,0,0,0
"6540",NA,NA,NA,NA,NA,NA,NA
"3032",1,1,1,1,1,1,1
"10449",0,0,0,0,0,0,0
"38",0,0,0,0,0,1,1
"3030",1,1,1,1,1,1,1
"39",1,1,1,1,1,1,1
"30",1,1,1,0,0,1,1
"32",NA,NA,NA,NA,NA,NA,NA
"9197",1,0,1,0,0,1,1
"79611",NA,NA,NA,NA,NA,NA,NA
"84532",0,0,1,0,1,0,0
