"","GSM2359395","GSM2359396","GSM3109316","GSM3109317","GSM3109318","GSM3109319","GSM3319756","GSM3319795","GSM3319830","GSM3319865","GSM3387272","GSM3387276","GSM3387280","GSM3387282"
"314",1,0,1,1,1,1,0,1,0,0,0,1,0,1
"26",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8639",1,0,1,1,1,1,0,1,0,0,1,0,0,1
"1591",0,1,0,0,0,0,0,0,0,0,1,0,1,0
"1594",0,1,1,1,1,1,0,1,0,0,1,0,0,1
"10993",1,0,1,1,1,1,0,1,0,0,1,0,0,1
"6818",0,1,1,0,0,1,1,1,0,0,0,0,0,1
"89874",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3945",1,1,1,1,1,1,0,1,1,1,1,1,1,1
"3948",0,1,1,1,1,1,1,0,0,0,1,0,1,0
"55293",1,0,0,1,0,1,0,1,0,0,1,0,1,0
"160287",1,0,0,0,0,0,0,0,0,0,0,1,0,1
"92483",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3939",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"9194",1,0,1,0,1,1,1,1,0,0,0,1,1,0
"6566",0,1,0,1,0,1,0,1,0,1,1,0,1,0
"9123",0,1,1,1,1,0,0,0,0,1,1,0,0,1
"57835",0,1,0,0,1,0,0,1,0,0,0,1,0,1
"8671",0,1,0,0,1,0,0,0,0,0,1,0,0,1
"1738",1,1,1,1,1,0,1,1,1,1,1,1,1,1
"4967",1,1,1,0,1,1,1,1,0,1,1,1,1,1
"1743",1,0,0,1,1,0,0,1,0,0,1,0,1,0
"8050",1,0,1,0,0,0,1,1,0,0,1,1,1,0
"128",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"137872",1,0,0,0,1,1,1,0,0,1,0,1,1,0
"130",1,0,0,0,0,1,1,1,1,1,0,1,1,0
"127",0,1,0,0,0,1,0,0,0,0,1,0,0,1
"131",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"126",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"124",1,1,0,1,0,0,0,1,0,0,1,0,1,1
"125",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1312",1,0,1,1,0,1,1,1,0,0,1,0,0,1
"117247",0,1,0,1,0,0,0,0,1,1,1,0,0,1
"220",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"221",1,0,1,1,1,1,1,0,0,0,0,1,0,1
"218",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"222",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3242",1,0,1,1,1,1,0,0,0,1,1,0,0,1
"18",0,1,1,0,0,0,1,1,0,0,0,1,0,1
"2531",1,0,0,0,1,0,1,1,0,0,0,1,0,1
"23498",1,0,1,1,1,1,1,1,1,1,1,0,0,1
"55268",0,1,0,1,1,0,1,0,1,0,0,1,0,1
"883",0,1,1,0,0,0,0,1,0,0,0,1,0,1
"51166",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1644",0,1,0,0,0,0,0,1,0,0,1,0,1,0
"4128",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"4129",1,0,1,0,0,0,0,1,0,0,1,0,0,1
"8604",0,1,1,1,0,0,0,1,0,1,0,1,0,1
"10165",0,1,0,0,1,1,1,0,0,0,0,1,1,0
"2572",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2571",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51380",1,0,0,1,0,1,1,1,0,0,0,1,0,1
"2805",1,1,0,1,1,0,1,1,0,1,1,1,1,1
"2806",1,1,1,1,1,1,1,1,0,1,1,1,1,1
"8659",1,0,0,0,0,1,0,1,0,0,0,1,0,1
"6817",0,1,1,0,1,0,1,0,0,1,0,1,0,1
"6799",0,1,0,0,0,1,1,0,0,0,1,0,0,1
"6822",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6573",0,1,1,0,1,0,1,1,0,0,1,0,0,1
"316",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"6570",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6571",0,1,0,1,0,0,0,1,0,0,0,1,0,1
"2348",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2352",0,1,1,1,1,1,0,0,0,0,0,0,0,1
"4125",1,0,0,0,1,1,1,1,0,0,1,0,0,1
"53947",0,0,0,0,0,0,0,0,0,0,0,1,1,0
"51146",1,0,0,0,0,0,0,0,0,0,0,0,1,0
"28",1,0,1,0,0,0,0,0,0,1,1,0,1,0
"206358",1,0,0,0,0,1,1,0,0,1,0,1,0,1
"6538",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6529",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6539",1,0,0,0,0,0,0,0,0,0,0,0,0,1
"6540",1,0,0,0,0,0,0,0,0,0,1,0,0,1
"3032",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"10449",1,0,1,1,0,1,1,1,0,0,1,0,1,0
"38",1,0,1,1,0,1,0,1,0,1,0,1,1,0
"3030",1,1,1,1,1,1,1,1,0,1,1,1,1,1
"39",1,1,0,1,1,1,1,1,1,1,1,1,1,1
"30",1,1,1,0,1,1,1,1,0,0,1,1,0,1
"32",1,0,1,0,1,0,1,1,0,0,0,1,0,1
"9197",1,0,1,1,1,0,0,1,0,1,0,1,0,1
"79611",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84532",1,1,1,0,1,0,1,1,0,1,0,1,0,1
"64841",0,1,1,0,0,1,0,0,1,0,0,1,1,0
"55577",1,0,0,0,1,1,1,1,0,1,0,1,0,1
"5238",0,1,0,1,1,0,1,1,0,1,0,1,1,0
"9487",0,1,1,1,0,0,1,1,0,1,1,0,0,1
"162417",0,1,0,0,0,0,0,0,0,0,1,0,0,1
"43",0,1,1,1,1,1,1,1,1,1,1,0,0,1
"6572",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47",1,1,1,1,1,0,1,1,0,0,1,1,0,1
"54187",0,1,0,1,0,1,0,0,1,0,0,1,1,0
"26503",1,0,0,1,1,0,1,1,0,1,0,1,1,0
"54",0,1,1,1,0,1,1,1,0,0,1,0,0,1
"140838",0,1,1,1,0,0,1,1,0,0,1,0,1,0
"51205",1,0,1,0,0,1,0,1,0,0,0,1,0,1
"36",1,0,1,0,0,1,1,1,0,0,1,0,1,0
"34",1,1,1,1,1,0,1,1,1,0,1,1,1,1
"35",1,0,0,1,1,1,1,1,0,0,1,1,0,1
"84129",1,0,1,0,0,1,0,0,0,0,0,1,1,0
"28976",1,0,1,0,1,1,1,1,0,0,1,0,0,1
"80724",1,0,1,0,0,1,1,1,0,0,0,1,0,1
"27034",1,1,1,1,1,0,1,1,0,1,1,1,0,1
"3712",1,1,0,1,1,0,1,1,0,1,1,1,0,1
"134526",0,1,0,0,0,0,0,0,0,0,0,1,1,0
"51",0,1,1,1,0,1,0,0,0,1,0,1,0,1
"95",1,0,0,1,0,0,1,1,0,0,1,0,0,1
"50",1,1,1,1,0,1,1,1,0,1,1,1,0,1
"48",0,1,0,0,1,1,0,1,0,1,0,1,0,1
"8309",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"55",1,0,1,1,1,1,1,0,0,0,0,1,1,0
"788",1,0,1,1,0,1,1,1,0,0,1,1,0,1
"55902",1,0,0,0,1,0,1,1,0,0,1,0,0,1
"65985",0,1,1,0,0,1,1,1,0,0,0,1,0,1
"438",0,1,0,1,0,0,1,1,1,1,0,1,1,0
"1571",0,1,1,1,1,1,0,1,0,0,1,0,0,1
"100",1,1,1,0,1,1,1,1,0,0,1,1,1,1
"3177",1,0,1,1,0,0,1,0,0,0,1,0,0,1
"205",1,0,1,1,1,1,0,1,0,0,0,1,1,0
"204",1,1,1,1,0,0,1,1,0,0,1,1,0,1
"26289",1,0,1,0,0,1,0,1,0,1,1,0,0,1
"50808",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"262",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"113",1,0,1,1,1,0,1,0,0,1,0,1,0,1
"109",1,0,0,0,1,0,1,1,0,0,1,0,0,1
"115",1,0,0,0,1,0,1,0,0,0,0,1,0,1
"112",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"107",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"114",0,0,0,0,0,0,0,1,0,0,0,0,1,0
"55811",0,1,0,0,0,0,0,1,0,0,0,0,1,0
"196883",1,0,1,0,0,1,1,1,1,1,0,1,0,1
"111",1,0,0,0,0,0,0,0,0,0,0,1,0,1
"108",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2030",1,0,1,0,0,0,0,1,0,0,1,0,0,1
"9154",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64078",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9153",0,1,1,1,1,1,1,1,1,1,0,1,0,1
"55315",1,0,0,1,1,0,1,0,0,0,0,1,0,1
"11164",1,1,1,1,1,1,1,1,0,1,1,1,1,1
"952",1,0,0,0,0,1,1,0,0,1,0,1,1,0
"1375",1,0,1,0,0,1,1,0,0,0,1,0,0,1
"1374",1,0,0,1,1,0,1,1,0,1,0,1,0,1
"126129",0,1,1,1,1,1,0,1,0,0,0,1,0,1
"1376",1,0,1,0,0,1,1,1,0,0,1,0,0,1
"9061",1,1,0,0,1,1,0,0,1,1,1,1,0,1
"9060",1,0,0,0,0,1,1,0,0,0,0,1,1,0
"158",0,1,0,1,0,1,1,1,0,1,1,0,1,0
"10331",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"374907",1,0,1,1,1,1,1,1,1,1,0,1,0,1
"10678",1,1,1,1,1,0,1,1,1,1,1,1,1,1
"79369",0,1,1,1,1,1,1,1,0,0,1,0,0,1
"11041",1,0,1,1,0,0,0,1,0,0,1,0,0,1
"93010",0,1,0,1,1,0,1,0,0,1,1,0,0,1
"79814",1,0,0,1,1,0,0,1,1,0,1,0,0,1
"56894",1,0,0,1,1,0,1,1,0,0,0,1,0,1
"10555",1,0,0,0,1,1,1,0,0,1,1,0,0,1
"137964",1,1,0,1,1,0,1,1,1,0,1,1,0,1
"56895",0,1,0,0,1,1,1,0,0,0,0,1,1,0
"55326",0,1,0,0,0,1,1,1,0,0,1,0,0,1
"129642",1,0,1,1,1,1,0,0,0,0,1,0,0,1
"64850",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64902",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"189",0,0,0,0,0,0,0,0,0,1,0,0,0,0
