"Gene_stable_ID","Transcript_stable_ID","Protein_stable_ID","UniProtKB_Swiss_Prot_ID","Gene_name","NCBI_gene_ID"
"ENSG00000000419","ENST00000371582","ENSP00000360638","","DPM1",8813
"ENSG00000000419","ENST00000371584","ENSP00000360640","","DPM1",8813
"ENSG00000000419","ENST00000371588","ENSP00000360644","O60762","DPM1",8813
"ENSG00000000419","ENST00000413082","ENSP00000394921","","DPM1",8813
"ENSG00000000938","ENST00000374003","ENSP00000363115","P09769","FGR",2268
"ENSG00000000938","ENST00000374004","ENSP00000363116","P09769","FGR",2268
"ENSG00000000938","ENST00000374005","ENSP00000363117","P09769","FGR",2268
"ENSG00000000938","ENST00000399173","ENSP00000382126","P09769","FGR",2268
"ENSG00000000938","ENST00000457296","ENSP00000407670","","FGR",2268
"ENSG00000001036","ENST00000002165","ENSP00000002165","Q9BTY2","FUCA2",2519
"ENSG00000001036","ENST00000451668","ENSP00000398119","","FUCA2",2519
"ENSG00000001084","ENST00000229416","ENSP00000229416","P48506","GCLC",2729
"ENSG00000001084","ENST00000504525","ENSP00000421228","","GCLC",2729
"ENSG00000001084","ENST00000505197","ENSP00000427403","","GCLC",2729
"ENSG00000001084","ENST00000509541","ENSP00000495056","","GCLC",2729
"ENSG00000001084","ENST00000513939","ENSP00000424211","","GCLC",2729
"ENSG00000001084","ENST00000514004","ENSP00000421908","","GCLC",2729
"ENSG00000001084","ENST00000616923","ENSP00000482756","","GCLC",2729
"ENSG00000001084","ENST00000643939","ENSP00000495686","","GCLC",2729
"ENSG00000001084","ENST00000650454","ENSP00000497574","","GCLC",2729
"ENSG00000001630","ENST00000003100","ENSP00000003100","","CYP51A1",1595
"ENSG00000001630","ENST00000422867","ENSP00000394268","","CYP51A1",1595
"ENSG00000001630","ENST00000450723","ENSP00000406757","Q16850","CYP51A1",1595
"ENSG00000002549","ENST00000226299","ENSP00000226299","P28838","LAP3",51056
"ENSG00000002549","ENST00000509583","ENSP00000423350","","LAP3",51056
"ENSG00000002549","ENST00000513105","ENSP00000424724","","LAP3",51056
"ENSG00000002549","ENST00000606142","ENSP00000476028","P28838","LAP3",51056
"ENSG00000002549","ENST00000618908","ENSP00000481000","P28838","LAP3",51056
"ENSG00000002587","ENST00000002596","ENSP00000002596","O14792","HS3ST1",9957
"ENSG00000002587","ENST00000510712","ENSP00000422629","","HS3ST1",9957
"ENSG00000002587","ENST00000514690","ENSP00000425673","","HS3ST1",9957
"ENSG00000002726","ENST00000360937","ENSP00000354193","P19801","AOC1",26
"ENSG00000002726","ENST00000416793","ENSP00000411613","P19801","AOC1",26
"ENSG00000002726","ENST00000460213","ENSP00000418557","","AOC1",26
"ENSG00000002726","ENST00000467291","ENSP00000418328","P19801","AOC1",26
"ENSG00000002726","ENST00000483043","ENSP00000417392","","AOC1",26
"ENSG00000002726","ENST00000493429","ENSP00000418614","P19801","AOC1",26
"ENSG00000002746","ENST00000395891","ENSP00000379228","Q76N89","HECW1",23072
"ENSG00000002746","ENST00000429529","ENSP00000413336","","HECW1",23072
"ENSG00000002746","ENST00000453890","ENSP00000407774","Q76N89","HECW1",23072
"ENSG00000003137","ENST00000001146","ENSP00000001146","Q9NR63","CYP26B1",56603
"ENSG00000003137","ENST00000412253","ENSP00000401465","","CYP26B1",56603
"ENSG00000003137","ENST00000461519","ENSP00000430871","","CYP26B1",56603
"ENSG00000003137","ENST00000474509","ENSP00000430888","","CYP26B1",56603
"ENSG00000003137","ENST00000546307","ENSP00000443304","Q9NR63","CYP26B1",56603
"ENSG00000003987","ENST00000180173","ENSP00000180173","Q9Y216","MTMR7",9108
"ENSG00000003987","ENST00000517317","ENSP00000431000","","MTMR7",9108
"ENSG00000003987","ENST00000521857","ENSP00000429733","Q9Y216","MTMR7",9108
"ENSG00000003989","ENST00000004531","ENSP00000004531","P52569","SLC7A2",6542
"ENSG00000003989","ENST00000398090","ENSP00000381164","P52569","SLC7A2",6542
"ENSG00000003989","ENST00000470360","ENSP00000419873","P52569","SLC7A2",6542
"ENSG00000003989","ENST00000494857","ENSP00000419140","P52569","SLC7A2",6542
"ENSG00000003989","ENST00000522656","ENSP00000430464","P52569","SLC7A2",6542
"ENSG00000003989","ENST00000640220","ENSP00000492016","","SLC7A2",6542
"ENSG00000004455","ENST00000354858","ENSP00000346921","P54819","AK2",204
"ENSG00000004455","ENST00000373449","ENSP00000362548","P54819","AK2",204
"ENSG00000004455","ENST00000467905","ENSP00000447082","","AK2",204
"ENSG00000004455","ENST00000480134","ENSP00000450109","","AK2",204
"ENSG00000004455","ENST00000487289","ENSP00000446849","","AK2",204
"ENSG00000004455","ENST00000548033","ENSP00000449003","","AK2",204
"ENSG00000004455","ENST00000550338","ENSP00000450008","","AK2",204
"ENSG00000004455","ENST00000626911","ENSP00000486342","","AK2",204
"ENSG00000004455","ENST00000629371","ENSP00000486507","","AK2",204
"ENSG00000004468","ENST00000226279","ENSP00000226279","P28907","CD38",952
"ENSG00000004468","ENST00000502843","ENSP00000427277","P28907","CD38",952
"ENSG00000004468","ENST00000510674","ENSP00000423047","","CD38",952
"ENSG00000004478","ENST00000001008","ENSP00000001008","Q02790","FKBP4",2288
"ENSG00000004478","ENST00000538622","ENSP00000446368","","FKBP4",2288
"ENSG00000004478","ENST00000539181","ENSP00000438491","","FKBP4",2288
"ENSG00000004478","ENST00000543769","ENSP00000439703","","FKBP4",2288
"ENSG00000004478","ENST00000544366","ENSP00000442193","","FKBP4",2288
"ENSG00000004478","ENST00000630279","ENSP00000486800","","FKBP4",2288
"ENSG00000004660","ENST00000158166","ENSP00000158166","Q8N5S9","CAMKK1",84254
"ENSG00000004660","ENST00000348335","ENSP00000323118","Q8N5S9","CAMKK1",84254
"ENSG00000004660","ENST00000381769","ENSP00000371188","","CAMKK1",84254
"ENSG00000004779","ENST00000007516","ENSP00000007516","O14561","NDUFAB1",4706
"ENSG00000004779","ENST00000484769","ENSP00000454812","","NDUFAB1",4706
"ENSG00000004779","ENST00000562133","ENSP00000454891","","NDUFAB1",4706
"ENSG00000004779","ENST00000567761","ENSP00000461693","","NDUFAB1",4706
"ENSG00000004779","ENST00000570319","ENSP00000458770","O14561","NDUFAB1",4706
"ENSG00000004799","ENST00000005178","ENSP00000005178","Q16654","PDK4",5166
"ENSG00000004809","ENST00000330550","ENSP00000328583","Q86VW1","SLC22A16",85413
"ENSG00000004809","ENST00000368919","ENSP00000357915","Q86VW1","SLC22A16",85413
"ENSG00000004809","ENST00000424139","ENSP00000401007","","SLC22A16",85413
"ENSG00000004809","ENST00000434949","ENSP00000409306","","SLC22A16",85413
"ENSG00000004809","ENST00000437378","ENSP00000416310","","SLC22A16",85413
"ENSG00000004809","ENST00000451557","ENSP00000395642","","SLC22A16",85413
"ENSG00000004864","ENST00000265631","ENSP00000265631","Q9UJS0","SLC25A13",10165
"ENSG00000004864","ENST00000416240","ENSP00000400101","Q9UJS0","SLC25A13",10165
"ENSG00000004864","ENST00000472162","ENSP00000473505","","SLC25A13",10165
"ENSG00000004939","ENST00000262418","ENSP00000262418","P02730","SLC4A1",6521
"ENSG00000004939","ENST00000399246","ENSP00000382190","","SLC4A1",6521
"ENSG00000004939","ENST00000631130","ENSP00000486787","","SLC4A1",6521
"ENSG00000004961","ENST00000321143","ENSP00000326579","P53701","HCCS",3052
"ENSG00000004961","ENST00000380762","ENSP00000370139","P53701","HCCS",3052
"ENSG00000004961","ENST00000380763","ENSP00000370140","P53701","HCCS",3052
"ENSG00000005022","ENST00000317881","ENSP00000360671","P05141","SLC25A5",292
